[b15-r6-adaptive-refine/m0.004] [gmean] 2026-07-21T11:04:56 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/refine_reliable/margin_0p004
[b15-r6-adaptive-refine/m0.004] [gmean] 2026-07-21T11:04:56 budgets=iscas99__b15_1:278
[b15-r6-adaptive-refine/m0.004] [gmean] 2026-07-21T11:04:56 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive-refine/m0.004] [gmean] 2026-07-21T11:04:56 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.259795 sequence=8.117860
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.309967
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.756061
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=5 node=N4520 type=control0 q_typed_reliable_context=1.337016 sequence=13.093077
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.301060 sequence=14.394137
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=7 node=N3756 type=control0 q_typed_reliable_context=1.029454 sequence=15.423591
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.154307 sequence=16.577897
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_reliable_context=1.146883 sequence=17.724781
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.548011 sequence=19.272791
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_reliable_context=1.320130 sequence=20.592922
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_reliable_context=1.798840 sequence=22.391762
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=13 node=N5723 type=control0 q_typed_reliable_context=0.921205 sequence=23.312968
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=14 node=N7511 type=control1 q_typed_reliable_context=1.498062 sequence=24.811030
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=15 node=N2082 type=observe q_typed_reliable_context=2.028963 sequence=26.839993
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=16 node=N496 type=control1 q_typed_reliable_context=1.410494 sequence=28.250487
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=17 node=N5234 type=observe q_typed_reliable_context=0.618810 sequence=28.869297
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_reliable_context=1.866439 sequence=30.735736
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_reliable_context=1.555742 sequence=32.291478
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_reliable_context=2.399756 sequence=34.691234
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=2.260773 sequence=36.952007
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_reliable_context=2.227489 sequence=39.179496
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=1.784969 sequence=40.964465
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_reliable_context=1.541261 sequence=42.505725
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=25 node=N583 type=control1 q_typed_reliable_context=1.462511 sequence=43.968236
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=1.112408 sequence=45.080644
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.792870 sequence=45.873514
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=1.795458 sequence=47.668972
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=29 node=N576 type=observe q_typed_reliable_context=1.811691 sequence=49.480663
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=0.502996 sequence=49.983659
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=31 node=N7413 type=control1 q_typed_reliable_context=0.188144 sequence=50.171802
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=32 node=N7882 type=control1 q_typed_reliable_context=1.061988 sequence=51.233790
[b15-r6-adaptive-refine/m0.004] [plan iscas99__b15_1] [plan] step=33 node=N7883 type=control1 q_typed_reliable_context=0.594464 sequence=51.828255
