[typed-five-r2/b17_C] [gmean] 2026-07-20T19:28:59 out_dir=autoresearch/loop-260720-0945/typed_winner_round2_five/b17_C
[typed-five-r2/b17_C] [gmean] 2026-07-20T19:28:59 budgets=iscas99__b17:994
[typed-five-r2/b17_C] [gmean] 2026-07-20T19:28:59 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r2/b17_C] [gmean] 2026-07-20T19:28:59 [1/1] plan_start benchmark=iscas99__b17 budget=994 planner=greedy score=q_typed_residual_context
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] torch_deterministic=true
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b17_C/exact_candidate_nodes.txt nodes=29334
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.925308
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=1 node=N2219 type=control1 q_typed_residual_context=2.831632 sequence=2.831632
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=2 node=N14033 type=control1 q_typed_residual_context=2.762260 sequence=5.593891
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=3 node=N5319 type=control0 q_typed_residual_context=1.259153 sequence=6.853044
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=4 node=N6992 type=control0 q_typed_residual_context=1.731287 sequence=8.584331
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=5 node=N6780 type=control0 q_typed_residual_context=1.771134 sequence=10.355465
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=6 node=N2849 type=control0 q_typed_residual_context=2.318524 sequence=12.673990
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=7 node=N13662 type=control0 q_typed_residual_context=2.470702 sequence=15.144691
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=8 node=N16937 type=control0 q_typed_residual_context=2.091944 sequence=17.236636
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=9 node=N11983 type=control0 q_typed_residual_context=2.229303 sequence=19.465939
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=10 node=N7781 type=observe q_typed_residual_context=2.819976 sequence=22.285915
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=11 node=N18172 type=control0 q_typed_residual_context=1.542500 sequence=23.828416
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=12 node=N12015 type=control0 q_typed_residual_context=2.261283 sequence=26.089699
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=13 node=N11975 type=control0 q_typed_residual_context=2.819275 sequence=28.908974
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=14 node=N12055 type=control0 q_typed_residual_context=2.576448 sequence=31.485423
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=15 node=N12071 type=control0 q_typed_residual_context=1.986716 sequence=33.472138
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=16 node=N12039 type=control0 q_typed_residual_context=1.781559 sequence=35.253697
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=17 node=N8089 type=observe q_typed_residual_context=2.615560 sequence=37.869257
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=18 node=N19193 type=control0 q_typed_residual_context=2.164073 sequence=40.033330
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=19 node=N19195 type=control0 q_typed_residual_context=2.512352 sequence=42.545682
[typed-five-r2/b17_C] [plan iscas99__b17] [plan] step=20 node=N13626 type=control0 q_typed_residual_context=3.799916 sequence=46.345598
