[typed-five-r2/b20_C] [gmean] 2026-07-20T19:28:59 out_dir=autoresearch/loop-260720-0945/typed_winner_round2_five/b20_C
[typed-five-r2/b20_C] [gmean] 2026-07-20T19:28:59 budgets=iscas99__b20:616
[typed-five-r2/b20_C] [gmean] 2026-07-20T19:28:59 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r2/b20_C] [gmean] 2026-07-20T19:28:59 [1/1] plan_start benchmark=iscas99__b20 budget=616 planner=greedy score=q_typed_residual_context
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] torch_deterministic=true
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b20_C/exact_candidate_nodes.txt nodes=19175
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.929140
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=1 node=N1762 type=control0 q_typed_residual_context=6.837018 sequence=6.837018
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=2 node=N4805 type=control1 q_typed_residual_context=1.685864 sequence=8.522882
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=3 node=N1911 type=control0 q_typed_residual_context=2.108761 sequence=10.631642
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=4 node=N3980 type=control0 q_typed_residual_context=1.499023 sequence=12.130665
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=5 node=N4134 type=observe q_typed_residual_context=1.302328 sequence=13.432993
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=6 node=N3410 type=control0 q_typed_residual_context=1.551803 sequence=14.984796
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=7 node=N5778 type=control0 q_typed_residual_context=1.765609 sequence=16.750404
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=8 node=N2900 type=control0 q_typed_residual_context=1.524600 sequence=18.275004
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=9 node=N4143 type=control0 q_typed_residual_context=1.875295 sequence=20.150299
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=10 node=N4175 type=observe q_typed_residual_context=1.533857 sequence=21.684156
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=11 node=N4561 type=observe q_typed_residual_context=1.538293 sequence=23.222449
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=12 node=N4557 type=observe q_typed_residual_context=1.664596 sequence=24.887045
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=13 node=N826 type=observe q_typed_residual_context=1.852780 sequence=26.739825
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=14 node=N4587 type=observe q_typed_residual_context=1.624373 sequence=28.364198
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=15 node=N2682 type=control0 q_typed_residual_context=1.164491 sequence=29.528689
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=16 node=N4130 type=control0 q_typed_residual_context=1.111467 sequence=30.640156
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=17 node=N4618 type=control1 q_typed_residual_context=1.017616 sequence=31.657772
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=18 node=N4144 type=observe q_typed_residual_context=1.546036 sequence=33.203808
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=19 node=N4145 type=observe q_typed_residual_context=1.413646 sequence=34.617454
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=20 node=N4163 type=observe q_typed_residual_context=1.114454 sequence=35.731908
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=21 node=N962 type=observe q_typed_residual_context=1.106413 sequence=36.838321
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=22 node=N3995 type=control0 q_typed_residual_context=1.112796 sequence=37.951117
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=23 node=N3408 type=control0 q_typed_residual_context=3.166814 sequence=41.117931
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=24 node=N3333 type=control0 q_typed_residual_context=1.755415 sequence=42.873347
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=25 node=N4142 type=observe q_typed_residual_context=1.483708 sequence=44.357055
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=26 node=N4147 type=observe q_typed_residual_context=1.125947 sequence=45.483001
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=27 node=N4160 type=observe q_typed_residual_context=1.622885 sequence=47.105887
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=28 node=N4161 type=observe q_typed_residual_context=1.600573 sequence=48.706460
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=29 node=N4162 type=observe q_typed_residual_context=1.517918 sequence=50.224378
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=30 node=N4164 type=observe q_typed_residual_context=1.473244 sequence=51.697622
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=31 node=N4165 type=observe q_typed_residual_context=1.488989 sequence=53.186611
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=32 node=N4166 type=observe q_typed_residual_context=1.511260 sequence=54.697870
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=33 node=N4182 type=observe q_typed_residual_context=1.155483 sequence=55.853353
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=34 node=N4141 type=observe q_typed_residual_context=0.961831 sequence=56.815184
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=35 node=N4148 type=observe q_typed_residual_context=0.943317 sequence=57.758501
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=36 node=N4146 type=observe q_typed_residual_context=0.947327 sequence=58.705828
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=37 node=N4139 type=observe q_typed_residual_context=0.925661 sequence=59.631489
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=38 node=N4173 type=observe q_typed_residual_context=0.940277 sequence=60.571767
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=39 node=N4174 type=observe q_typed_residual_context=0.904749 sequence=61.476516
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=40 node=N4176 type=observe q_typed_residual_context=1.368028 sequence=62.844543
[typed-five-r2/b20_C] [plan iscas99__b20] [plan] step=41 node=N4177 type=observe q_typed_residual_context=1.072989 sequence=63.917533
