[gmean] 2026-07-16T13:44:00 out_dir=autoresearch/improve-260716-1344/round1_b15/union_d002
[gmean] 2026-07-16T13:44:00 budgets=iscas99__b15_1:278
[gmean] 2026-07-16T13:44:00 variant_start id=greedy__cumulative__q_pred_lcb__bw1__d1__c96__g1p0__candhard_fault_recall_union__div0p02__s0
[gmean] 2026-07-16T13:44:00 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_lcb
[plan iscas99__b15_1] [plan] ensemble_checkpoints=3 score_field=q_pred_lcb lcb_alpha=0.75
[plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[plan iscas99__b15_1] [plan] step=1 node=N2184 type=observe q_pred_lcb=0.346765 sequence=0.346765
[plan iscas99__b15_1] [plan] step=2 node=N2225 type=observe q_pred_lcb=0.323114 sequence=0.669879
[plan iscas99__b15_1] [plan] step=3 node=N2204 type=observe q_pred_lcb=0.479247 sequence=1.149125
[plan iscas99__b15_1] [plan] step=4 node=N593 type=observe q_pred_lcb=0.511300 sequence=1.660425
[plan iscas99__b15_1] [plan] step=5 node=N2219 type=observe q_pred_lcb=0.448969 sequence=2.109394
[plan iscas99__b15_1] [plan] step=6 node=N889 type=observe q_pred_lcb=0.398335 sequence=2.507729
[plan iscas99__b15_1] [plan] step=7 node=N892 type=observe q_pred_lcb=0.302496 sequence=2.806225
[plan iscas99__b15_1] [plan] step=8 node=N864 type=observe q_pred_lcb=0.258905 sequence=3.061129
[plan iscas99__b15_1] [plan] step=9 node=N707 type=observe q_pred_lcb=0.220368 sequence=3.281497
[plan iscas99__b15_1] [plan] step=10 node=N871 type=observe q_pred_lcb=0.207417 sequence=3.484914
[plan iscas99__b15_1] [plan] step=11 node=N869 type=observe q_pred_lcb=0.178251 sequence=3.659165
[plan iscas99__b15_1] [plan] step=12 node=N7511 type=observe q_pred_lcb=0.137403 sequence=3.796568
[plan iscas99__b15_1] [plan] step=13 node=N855 type=observe q_pred_lcb=0.072779 sequence=3.865347
[plan iscas99__b15_1] [plan] step=14 node=N867 type=observe q_pred_lcb=0.022404 sequence=3.883750
[plan iscas99__b15_1] [plan] step=15 node=N701 type=observe q_pred_lcb=-0.029390 sequence=3.850361
[plan iscas99__b15_1] [plan] step=16 node=N865 type=observe q_pred_lcb=-0.056867 sequence=3.789493
[plan iscas99__b15_1] [plan] step=17 node=N866 type=observe q_pred_lcb=-0.063425 sequence=3.722068
[plan iscas99__b15_1] [plan] step=18 node=N2259 type=observe q_pred_lcb=-0.148019 sequence=3.574049
[plan iscas99__b15_1] [plan] step=19 node=N868 type=observe q_pred_lcb=-0.189039 sequence=3.381011
[plan iscas99__b15_1] [plan] step=20 node=N870 type=observe q_pred_lcb=-0.194238 sequence=3.182773
[plan iscas99__b15_1] [plan] step=21 node=N885 type=observe q_pred_lcb=-0.222033 sequence=2.956740
[plan iscas99__b15_1] [plan] step=22 node=N886 type=observe q_pred_lcb=-0.238705 sequence=2.714035
[plan iscas99__b15_1] [plan] step=23 node=N888 type=observe q_pred_lcb=-0.229670 sequence=2.480365
[plan iscas99__b15_1] [plan] step=24 node=N2242 type=observe q_pred_lcb=-0.293317 sequence=2.183048
[plan iscas99__b15_1] [plan] step=25 node=N2254 type=observe q_pred_lcb=-0.324100 sequence=1.858948
[plan iscas99__b15_1] [plan] step=26 node=N2241 type=observe q_pred_lcb=-0.341511 sequence=1.512437
[plan iscas99__b15_1] [plan] step=27 node=N2269 type=observe q_pred_lcb=-0.363471 sequence=1.148966
[plan iscas99__b15_1] [plan] step=28 node=N2271 type=observe q_pred_lcb=-0.391882 sequence=0.753084
[plan iscas99__b15_1] [plan] step=29 node=N2257 type=observe q_pred_lcb=-0.425374 sequence=0.323710
[plan iscas99__b15_1] [plan] step=30 node=N7379 type=observe q_pred_lcb=0.075939 sequence=0.392982
[plan iscas99__b15_1] [plan] step=31 node=N7380 type=observe q_pred_lcb=-0.336868 sequence=0.049447
[plan iscas99__b15_1] [plan] step=32 node=N7382 type=observe q_pred_lcb=-0.349052 sequence=-0.306271
[plan iscas99__b15_1] [plan] step=33 node=N7383 type=observe q_pred_lcb=0.221505 sequence=-0.091433
[plan iscas99__b15_1] [plan] step=34 node=N2220 type=observe q_pred_lcb=-0.306166 sequence=-0.402599
[plan iscas99__b15_1] [plan] step=35 node=N7512 type=observe q_pred_lcb=-0.409466 sequence=-0.812065
[plan iscas99__b15_1] [plan] step=36 node=N7404 type=observe q_pred_lcb=0.033577 sequence=-0.785155
[plan iscas99__b15_1] [plan] step=37 node=N7388 type=observe q_pred_lcb=-0.399889 sequence=-1.191711
[plan iscas99__b15_1] [plan] step=38 node=N7385 type=observe q_pred_lcb=-0.458281 sequence=-1.656658
[plan iscas99__b15_1] [plan] step=39 node=N2212 type=observe q_pred_lcb=-0.518426 sequence=-2.180084
[plan iscas99__b15_1] [plan] step=40 node=N2082 type=observe q_pred_lcb=-0.546076 sequence=-2.726160
[plan iscas99__b15_1] [plan] step=41 node=N890 type=observe q_pred_lcb=-0.573581 sequence=-3.303741
[plan iscas99__b15_1] [plan] step=42 node=N887 type=observe q_pred_lcb=-0.554049 sequence=-3.861791
[plan iscas99__b15_1] [plan] step=43 node=N891 type=observe q_pred_lcb=-0.543527 sequence=-4.409317
[plan iscas99__b15_1] [plan] step=44 node=N2216 type=observe q_pred_lcb=-0.567965 sequence=-4.982283
[plan iscas99__b15_1] [plan] step=45 node=N2203 type=observe q_pred_lcb=-0.607825 sequence=-5.595107
[plan iscas99__b15_1] [plan] step=46 node=N2199 type=observe q_pred_lcb=-0.639635 sequence=-6.239742
[plan iscas99__b15_1] [plan] step=47 node=N5456 type=observe q_pred_lcb=-0.674930 sequence=-6.914673
[plan iscas99__b15_1] [plan] step=48 node=N2207 type=observe q_pred_lcb=-0.581878 sequence=-7.501551
[plan iscas99__b15_1] [plan] step=49 node=N5373 type=observe q_pred_lcb=-0.634722 sequence=-8.136273
[plan iscas99__b15_1] [plan] step=50 node=N2183 type=observe q_pred_lcb=-0.536302 sequence=-8.677575
[plan iscas99__b15_1] [plan] step=51 node=N5390 type=observe q_pred_lcb=-0.604078 sequence=-9.281653
[plan iscas99__b15_1] [plan] step=52 node=N2224 type=observe q_pred_lcb=-0.516212 sequence=-9.802864
[plan iscas99__b15_1] [plan] step=53 node=N6675 type=observe q_pred_lcb=0.259094 sequence=-9.543771
