[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [gmean] 2026-07-21T10:51:53 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist/c64_range_m0p0005
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [gmean] 2026-07-21T10:51:53 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [gmean] 2026-07-21T10:51:53 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [gmean] 2026-07-21T10:51:53 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.896190 sequence=4.896190
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.373446 sequence=8.269635
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.268365 sequence=10.538000
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.382832 sequence=11.920832
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=0.875767 sequence=12.796599
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.067994 sequence=13.864593
[b15-r6-adaptive/cone_toplist/c64/range/0.0005] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.992841 sequence=14.857433
