[b15-r6-adaptive/incumbent/c64/range/0.005] [gmean] 2026-07-21T10:48:23 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/incumbent/c64_range_m0p005
[b15-r6-adaptive/incumbent/c64/range/0.005] [gmean] 2026-07-21T10:48:23 budgets=iscas99__b15_1:278
[b15-r6-adaptive/incumbent/c64/range/0.005] [gmean] 2026-07-21T10:48:23 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/incumbent/c64/range/0.005] [gmean] 2026-07-21T10:48:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.905920 sequence=4.905920
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.347038 sequence=8.252958
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.261354 sequence=10.514312
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.485871 sequence=12.000183
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.908440 sequence=12.908623
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.483165 sequence=14.391787
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=7 node=N3756 type=control0 q_typed_residual_context=1.061057 sequence=15.452844
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.207503 sequence=16.660347
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_residual_context=1.228513 sequence=17.888860
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.138717 sequence=19.027577
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_residual_context=1.514806 sequence=20.542384
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_residual_context=1.856134 sequence=22.398518
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=13 node=N4520 type=control0 q_typed_residual_context=1.999006 sequence=24.397524
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_residual_context=1.531094 sequence=25.928619
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=15 node=N496 type=control1 q_typed_residual_context=3.000734 sequence=28.929353
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=16 node=N7511 type=control1 q_typed_residual_context=1.606102 sequence=30.535455
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=17 node=N1564 type=control1 q_typed_residual_context=2.697941 sequence=33.233396
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=2.407405 sequence=35.640800
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=2.421602 sequence=38.062403
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=3.095912 sequence=41.158315
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=3.512645 sequence=44.670960
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=22 node=N4656 type=control0 q_typed_residual_context=3.736653 sequence=48.407613
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=23 node=N1860 type=observe q_typed_residual_context=4.968720 sequence=53.376333
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_residual_context=3.235902 sequence=56.612235
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=2.134993 sequence=58.747228
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=26 node=N4663 type=control0 q_typed_residual_context=3.814705 sequence=62.561933
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=27 node=N7516 type=observe q_typed_residual_context=2.108400 sequence=64.670333
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=28 node=N5723 type=control0 q_typed_residual_context=1.271065 sequence=65.941399
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=29 node=N766 type=control1 q_typed_residual_context=1.091394 sequence=67.032792
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_residual_context=1.115665 sequence=68.148457
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=31 node=N583 type=control1 q_typed_residual_context=1.111782 sequence=69.260239
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=32 node=N7411 type=control1 q_typed_residual_context=1.027638 sequence=70.287877
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=33 node=N7413 type=control1 q_typed_residual_context=1.396331 sequence=71.684208
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=34 node=N5234 type=observe q_typed_residual_context=0.798532 sequence=72.482740
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=35 node=N2314 type=control1 q_typed_residual_context=0.704081 sequence=73.186821
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=36 node=N4670 type=control0 q_typed_residual_context=4.952515 sequence=78.139336
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=37 node=N4677 type=control0 q_typed_residual_context=2.425733 sequence=80.565069
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=38 node=N713 type=observe q_typed_residual_context=2.400788 sequence=82.965857
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=39 node=N4649 type=control0 q_typed_residual_context=2.347847 sequence=85.313704
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=40 node=N6537 type=observe q_typed_residual_context=3.599160 sequence=88.912865
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_residual_context=3.976465 sequence=92.889330
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=42 node=N8470 type=observe q_typed_residual_context=2.544409 sequence=95.433739
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=43 node=N4635 type=control0 q_typed_residual_context=2.054735 sequence=97.488474
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_residual_context=1.750783 sequence=99.239257
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=45 node=N7889 type=control1 q_typed_residual_context=0.551393 sequence=99.790650
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=46 node=N4691 type=control0 q_typed_residual_context=1.876706 sequence=101.667356
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=47 node=N7887 type=control1 q_typed_residual_context=0.531714 sequence=102.199070
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=48 node=N7885 type=control1 q_typed_residual_context=0.700116 sequence=102.899186
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=49 node=N3911 type=control0 q_typed_residual_context=0.857920 sequence=103.757105
[b15-r6-adaptive/incumbent/c64/range/0.005] [plan iscas99__b15_1] [plan] step=50 node=N4698 type=control0 q_typed_residual_context=1.336035 sequence=105.093140
