[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/incumbent/c64_iqr_m0p002
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 budgets=iscas99__b15_1:278
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [gmean] 2026-07-21T10:48:23 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.905920 sequence=4.905920
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.347038 sequence=8.252958
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.261354 sequence=10.514312
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.485871 sequence=12.000183
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=0.908440 sequence=12.908623
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.483165 sequence=14.391787
[b15-r6-adaptive/incumbent/c64/iqr/0.002] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.942693 sequence=15.334480
