[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist_sa/c64_range_m0p001
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [gmean] 2026-07-21T10:55:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.259795 sequence=8.117860
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.309967
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.756061
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.865053 sequence=12.621114
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.110178
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.021118
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.119060
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.324025 sequence=17.443084
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.000808
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.326385
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.776978
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.032300
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.430969
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.031345
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.898668 sequence=28.930013
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.675055
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.067630
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.066188
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.222884
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.922638
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.281079 sequence=41.203717
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_reliable_context=1.905044 sequence=43.108760
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=1.801230 sequence=44.909990
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=0.970035 sequence=45.880025
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.350897 sequence=47.230922
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=0.794394 sequence=48.025316
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=28 node=N583 type=control1 q_typed_reliable_context=0.264638 sequence=48.289953
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=29 node=N7516 type=observe q_typed_reliable_context=0.486742 sequence=48.776696
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=30 node=N1437 type=control1 q_typed_reliable_context=0.687361 sequence=49.464057
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.339930 sequence=49.803987
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=32 node=N4691 type=control0 q_typed_reliable_context=1.722740 sequence=51.526727
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=33 node=N4677 type=control0 q_typed_reliable_context=1.784454 sequence=53.311181
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.365721 sequence=53.676902
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=35 node=N7891 type=control1 q_typed_reliable_context=0.389065 sequence=54.065966
[b15-r6-adaptive/cone_toplist_sa/c64/range/0.001] [plan iscas99__b15_1] [plan] step=36 node=N4670 type=control0 q_typed_reliable_context=3.130001 sequence=57.195967
