[b15-r6-adaptive/cone_toplist/c64/range/0.001] [gmean] 2026-07-21T10:51:53 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist/c64_range_m0p001
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [gmean] 2026-07-21T10:51:53 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [gmean] 2026-07-21T10:51:53 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [gmean] 2026-07-21T10:51:53 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.896190 sequence=4.896190
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.373446 sequence=8.269635
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.268365 sequence=10.538000
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.382832 sequence=11.920832
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=0.875767 sequence=12.796599
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.067994 sequence=13.864593
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.992841 sequence=14.857433
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.084230 sequence=15.941664
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=9 node=N508 type=control1 q_typed_residual_context=1.334244 sequence=17.275908
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=10 node=N564 type=control1 q_typed_residual_context=1.196130 sequence=18.472038
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=11 node=N3722 type=control0 q_typed_residual_context=0.834928 sequence=19.306966
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_residual_context=2.232129 sequence=21.539094
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_residual_context=1.716554 sequence=23.255649
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=14 node=N5723 type=control0 q_typed_residual_context=1.224324 sequence=24.479973
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=15 node=N5203 type=control1 q_typed_residual_context=1.385007 sequence=25.864980
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.861342 sequence=28.726322
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=1.846549 sequence=30.572871
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=18 node=N496 type=control1 q_typed_residual_context=2.558411 sequence=33.131283
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=2.575728 sequence=35.707011
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=4.896177 sequence=40.603187
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=21 node=N1860 type=observe q_typed_residual_context=2.933423 sequence=43.536610
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=22 node=N1372 type=observe q_typed_residual_context=3.366747 sequence=46.903357
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=3.180000 sequence=50.083357
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=1.502770 sequence=51.586127
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=25 node=N766 type=control1 q_typed_residual_context=1.264799 sequence=52.850927
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=26 node=N7516 type=observe q_typed_residual_context=2.304629 sequence=55.155556
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_residual_context=1.108619 sequence=56.264176
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=28 node=N583 type=control1 q_typed_residual_context=1.831872 sequence=58.096048
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=29 node=N4684 type=control0 q_typed_residual_context=4.083143 sequence=62.179191
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.579706 sequence=62.758896
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=31 node=N7413 type=control1 q_typed_residual_context=0.668769 sequence=63.427666
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=32 node=N4677 type=control0 q_typed_residual_context=2.246508 sequence=65.674173
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=33 node=N7881 type=control1 q_typed_residual_context=0.392735 sequence=66.066908
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=34 node=N7891 type=control1 q_typed_residual_context=0.581920 sequence=66.648828
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=35 node=N7882 type=control1 q_typed_residual_context=0.509720 sequence=67.158548
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=36 node=N7883 type=control1 q_typed_residual_context=0.658296 sequence=67.816845
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=37 node=N7884 type=control1 q_typed_residual_context=0.643717 sequence=68.460562
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=38 node=N7885 type=control1 q_typed_residual_context=0.517562 sequence=68.978124
[b15-r6-adaptive/cone_toplist/c64/range/0.001] [plan iscas99__b15_1] [plan] step=39 node=N7886 type=control1 q_typed_residual_context=0.489656 sequence=69.467780
