[b15-r6-adaptive/cone_toplist/c64/range/0.005] [gmean] 2026-07-21T10:51:53 out_dir=autoresearch/loop-260720-0945/model_training_round6_adaptive/b15_selection/cone_toplist/c64_range_m0p005
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [gmean] 2026-07-21T10:51:53 budgets=iscas99__b15_1:278
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [gmean] 2026-07-21T10:51:53 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [gmean] 2026-07-21T10:51:53 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=4.896190 sequence=4.896190
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=3.373446 sequence=8.269635
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.268365 sequence=10.538000
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.382832 sequence=11.920832
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=5 node=N4520 type=control0 q_typed_residual_context=1.274503 sequence=13.195335
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.320360 sequence=14.515695
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=7 node=N3756 type=control0 q_typed_residual_context=1.020861 sequence=15.536556
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.151987 sequence=16.688543
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.161982 sequence=17.850524
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.541913 sequence=19.392437
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=11 node=N580 type=control1 q_typed_residual_context=1.320130 sequence=20.712567
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=12 node=N564 type=control1 q_typed_residual_context=1.806415 sequence=22.518983
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=13 node=N5723 type=control0 q_typed_residual_context=0.874172 sequence=23.393155
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=14 node=N7511 type=control1 q_typed_residual_context=1.466047 sequence=24.859202
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=15 node=N2082 type=observe q_typed_residual_context=2.077671 sequence=26.936873
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=16 node=N496 type=control1 q_typed_residual_context=1.372107 sequence=28.308979
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=17 node=N5234 type=observe q_typed_residual_context=0.684735 sequence=28.993714
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_residual_context=1.844996 sequence=30.838710
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_residual_context=1.595040 sequence=32.433750
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_residual_context=2.407525 sequence=34.841275
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_residual_context=2.276576 sequence=37.117851
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_residual_context=2.231454 sequence=39.349304
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_residual_context=1.784969 sequence=41.134273
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_residual_context=1.535397 sequence=42.669670
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=25 node=N583 type=control1 q_typed_residual_context=1.417885 sequence=44.087555
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=1.066624 sequence=45.154178
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=0.772563 sequence=45.926742
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_residual_context=1.783253 sequence=47.709995
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=29 node=N576 type=observe q_typed_residual_context=1.810180 sequence=49.520175
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.481792 sequence=50.001967
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=31 node=N7413 type=control1 q_typed_residual_context=0.181285 sequence=50.183252
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=32 node=N7882 type=control1 q_typed_residual_context=1.049410 sequence=51.232662
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=33 node=N7883 type=control1 q_typed_residual_context=0.583412 sequence=51.816074
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=34 node=N7881 type=control1 q_typed_residual_context=0.292128 sequence=52.108202
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=35 node=N7884 type=control1 q_typed_residual_context=0.521908 sequence=52.630110
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=36 node=N7885 type=control1 q_typed_residual_context=0.463516 sequence=53.093625
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=37 node=N4691 type=control0 q_typed_residual_context=1.587199 sequence=54.680824
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=38 node=N4684 type=control0 q_typed_residual_context=1.268829 sequence=55.949654
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=39 node=N4677 type=control0 q_typed_residual_context=0.838305 sequence=56.787959
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=40 node=N4663 type=control0 q_typed_residual_context=0.915773 sequence=57.703732
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=41 node=N4656 type=control0 q_typed_residual_context=0.904207 sequence=58.607938
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=42 node=N4649 type=control0 q_typed_residual_context=1.201253 sequence=59.809191
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=43 node=N704 type=observe q_typed_residual_context=1.331105 sequence=61.140296
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=44 node=N6537 type=observe q_typed_residual_context=2.777379 sequence=63.917674
[b15-r6-adaptive/cone_toplist/c64/range/0.005] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_residual_context=2.400995 sequence=66.318670
