step,node,type,q_pred,q_pred_mean,q_pred_std,q_pred_lcb,q_pred_context,q_pred_type_context,q_pred_lcb_context,q_pred_context_lcb,score_pred,score_pred_mean,score_pred_std,score_pred_lcb,reward_pred,reward_pred_mean,reward_pred_std,reward_pred_lcb,reward_pred_context,reward_pred_type_context,fc_pred,pattern_pred,return_pred,return_pred_mean,return_pred_std,return_pred_lcb,guarded_reward,guarded_reward_mean,guarded_reward_std,guarded_reward_lcb,guarded_reward_context,hard_reduction_total_pred,hard_reduction_total_pred_mean,hard_reduction_total_pred_std,hard_reduction_total_pred_lcb,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,derived_hard_reduction_hybrid_pred_mean,derived_hard_reduction_hybrid_pred_std,derived_hard_reduction_hybrid_pred_lcb,hybrid_pred,hybrid_pred_mean,hybrid_pred_std,hybrid_pred_lcb,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_mean,bounded_residual_hybrid_pred_std,bounded_residual_hybrid_pred_lcb,bounded_residual_hybrid_pred_context,consensus_pred_context,consensus_pred_type_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N2059,observe,0.7234579920768738,0.7234579920768738,0.670948326587677,0.22024674713611603,2.2238352415384726,1.5539659976959228,2.048752492410131,2.0324510173324963,0.7234579920768738,0.7234579920768738,0.670948326587677,0.22024674713611603,0.08454352617263794,0.08454352617263794,0.2879438102245331,-0.13141433149576187,1.1202349414222408,0.34463614225387573,0.0008454352617263794,-0.5923900604248047,-0.042223524302244186,-0.042223524302244186,0.13595758378505707,-0.144191712141037,-0.11626973748207092,-0.11626973748207092,0.19289197027683258,-0.26093871518969536,1.8270563198148737,0.0034552488941699266,0.0034552488941699266,0.11610547453165054,-0.08362385700456798,-0.1694980412721634,-0.14018000662326813,113629.4765625,43352.5703125,70276.90625,112363.6875,43260.19921875,69103.484375,0.011139619164168835,0.0021306946873664856,0.016697119921445847,0.2734379768371582,0.2734379768371582,3.012753486633301,-1.9861271381378174,0.3878449499607086,0.3878449499607086,11.975953102111816,-8.594119876623154,0.4699820890801493,0.35610508918762207,0.35610508918762207,11.701885223388672,-8.420308828353882,0.47031268682447264,1.3285672177560626,1.0348109019035472,0.22024674713611603,0.22024674713611603,0.22024674713611603,greedy,0.22024674713611603,0.0,hard_fault_cluster
2,N1995,observe,0.5831243991851807,0.5831243991851807,0.1567663550376892,0.46554963290691376,2.3035903856158257,2.448584538698196,2.6174302384257317,2.706620273515582,0.5831243991851807,0.5831243991851807,0.1567663550376892,0.46554963290691376,0.128784641623497,0.128784641623497,0.26039132475852966,-0.06650885194540024,0.7006609663367271,0.6611142873764038,0.0012878464162349701,-0.5376889705657959,-0.067868672311306,-0.067868672311306,0.14368098974227905,-0.1756294146180153,-0.10809550434350967,-0.10809550434350967,0.16626621782779694,-0.23279516771435738,0.7488850319385527,0.021272040903568268,0.021272040903568268,0.042421549558639526,-0.010544121265411377,-0.06533852964639664,-0.03614581376314163,112362.796875,43259.29296875,69103.5078125,112502.6640625,43684.6796875,68817.984375,-0.0012447820045053959,-0.00983341783285141,0.004131822846829891,-0.1423458606004715,-0.1423458606004715,0.519878625869751,-0.5322548300027847,2.188120126724243,2.188120126724243,4.583125114440918,-1.2492237091064453,1.122427847981453,2.1424331665039062,2.1424331665039062,4.327395439147949,-1.1031134128570557,1.1246692806482315,1.8472049325704574,1.602784639596939,0.46554963290691376,0.6857963800430298,0.6857963800430298,greedy,0.46554963290691376,0.0,hard_fault_cluster
3,N2076,observe,0.8149951100349426,0.8149951100349426,0.5055534243583679,0.4358300417661667,5.299260902404785,4.496881002187728,3.1311323046684265,4.6517607522010795,0.8149951100349426,0.8149951100349426,0.5055534243583679,0.4358300417661667,0.2373923510313034,0.2373923510313034,0.3461802005767822,-0.022242799401283264,2.61228711605072,1.6185777485370636,0.002373923510313034,-0.5245534181594849,-0.06121093034744263,-0.06121093034744263,0.16340048611164093,-0.18376129493117332,-0.09551849216222763,-0.09551849216222763,0.17928311228752136,-0.22998082637786865,2.651892228126526,0.03526010364294052,0.03526010364294052,0.05034565180540085,-0.002499135211110115,-0.047827716916799545,-0.020723477005958557,112503.609375,43685.60546875,68818.0,112174.0390625,43560.453125,68613.5859375,0.0029294199775904417,0.002864841604605317,0.0029703574255108833,0.4079653024673462,0.4079653024673462,0.08133537322282791,0.34696377255022526,3.7021920680999756,3.7021920680999756,5.49226188659668,-0.4170043468475342,3.735341249704361,3.5700557231903076,3.5700557231903076,5.1489410400390625,-0.29165005683898926,3.6482166635990145,3.8048975020647053,2.7836060159653426,0.4358300417661667,1.1216264218091965,1.1216264218091965,greedy,0.4358300417661667,0.0,hard_fault_cluster
4,N2075,observe,0.9341949820518494,0.9341949820518494,0.7031146883964539,0.40685896575450897,5.823603311181069,4.525316584110259,3.8732767969369895,5.082266528755427,0.9341949820518494,0.9341949820518494,0.7031146883964539,0.40685896575450897,0.3523835241794586,0.3523835241794586,0.45845240354537964,0.00854422152042389,3.5727475944161413,2.0475960671901703,0.003523835241794586,-0.5178213119506836,-0.05727292224764824,-0.05727292224764824,0.1733320653438568,-0.18727197125554085,-0.08618777990341187,-0.08618777990341187,0.1848004162311554,-0.2247880920767784,4.551634963750839,0.03640471771359444,0.03640471771359444,0.05217965692281723,-0.002730024978518486,-0.04348520189523697,-0.01668517291545868,112174.03125,43560.453125,68613.578125,111897.6484375,43420.5859375,68477.0625,0.0024638751056045294,0.0032108754385262728,0.0019896298181265593,0.4246961176395416,0.4246961176395416,0.19313432276248932,0.27984537556767464,3.935582399368286,3.935582399368286,5.806308269500732,-0.4191488027572632,6.344785459041596,3.7142493724823,3.7142493724823,5.3649821281433105,-0.3094872236251831,6.162339885234833,4.202691453695298,3.0258789812028413,0.40685896575450897,1.5284853875637054,1.5284853875637054,greedy,0.40685896575450897,0.0,hard_fault_cluster
5,N5343,control0,0.9502010941505432,0.9502010941505432,0.7970526814460754,0.35241158306598663,5.539207237772644,5.999999999999999,3.829893988184631,4.996649837074802,0.9502010941505432,0.9502010941505432,0.7970526814460754,0.35241158306598663,0.33353543281555176,0.33353543281555176,0.38740456104278564,0.042982012033462524,1.7118517387472092,1.916971880197525,0.0033353543281555175,-0.5328340530395508,-0.08193355053663254,-0.08193355053663254,0.14205552637577057,-0.18847519531846046,-0.09094581753015518,-0.09094581753015518,0.14368601143360138,-0.19871032610535622,2.468613376840949,0.039244648069143295,0.039244648069143295,0.03849649801850319,0.010372274555265903,-0.019195061177015305,0.004550769925117493,111896.71875,43419.578125,68477.140625,111862.640625,43456.55859375,68406.078125,0.00030454981606453657,-0.0008517003152519464,0.00103775504976511,-0.22475993633270264,-0.22475993633270264,0.1960497498512268,-0.37179724872112274,4.1760663986206055,4.1760663986206055,4.31325101852417,0.941128134727478,6.875404965132475,3.9873650074005127,3.9873650074005127,3.965009927749634,1.0136075615882874,6.875404965132475,3.8280154472216967,4.445250285035,0.35241158306598663,1.880896970629692,1.880896970629692,greedy,0.35241158306598663,0.0,hard_fault_cluster
6,N2094,observe,0.841826856136322,0.841826856136322,0.9047479629516602,0.1632658839225769,3.5724782779812814,2.553657579421997,3.3396758154034614,3.5030798328667876,0.841826856136322,0.841826856136322,0.9047479629516602,0.1632658839225769,0.34625229239463806,0.34625229239463806,0.426056444644928,0.026709958910942078,1.9915316426753997,-0.014260280132293746,0.0034625229239463808,-0.5159646272659302,-0.11794546991586685,-0.11794546991586685,0.09722670167684555,-0.19086549617350101,-0.13943924009799957,-0.13943924009799957,0.09602416306734085,-0.2114573623985052,2.594767358005047,0.04603070020675659,0.04603070020675659,0.057670123875141144,0.002778107300400734,-0.030398570001125336,-0.005529560148715973,111863.5703125,43457.5703125,68406.0,111430.5390625,43135.2734375,68295.265625,0.0038710657972842455,0.007416357286274433,0.0016187815926969051,0.30153337121009827,0.30153337121009827,0.07900525629520416,0.24227942898869514,4.831376552581787,4.831376552581787,6.224600315093994,0.1629263162612915,5.986894119381905,4.660146236419678,4.660146236419678,5.881200790405273,0.24924564361572266,5.840156257748604,2.9545198723673822,1.4011684835702183,0.1632658839225769,2.044162854552269,2.044162854552269,greedy,0.1632658839225769,0.0,hard_fault_cluster
7,N2080,observe,0.9201512336730957,0.9201512336730957,1.1564288139343262,0.052829623222351074,4.023667295277119,2.914680430293083,3.6691542223095897,3.880198404863477,0.9201512336730957,0.9201512336730957,1.1564288139343262,0.052829623222351074,0.4777880609035492,0.4777880609035492,0.6156376600265503,0.016059815883636475,2.3009160444140435,1.0093226343393324,0.004777880609035492,-0.5124553442001343,-0.11319408565759659,-0.11319408565759659,0.10667218267917633,-0.19319822266697884,-0.13905459642410278,-0.13905459642410278,0.10941750556230545,-0.22111772559583187,4.159077900499105,0.03846849128603935,0.03846849128603935,0.05692163109779358,-0.004222732037305832,-0.04372069239616394,-0.016432102769613266,111430.546875,43135.26953125,68295.28125,111179.4765625,42951.7421875,68227.734375,0.0022531552240252495,0.004254693165421486,0.0009890416404232383,0.35873982310295105,0.35873982310295105,0.33795952796936035,0.10527017712593079,4.211442947387695,4.211442947387695,6.372219085693359,-0.5677213668823242,6.83765772163868,3.937997579574585,3.937997579574585,5.862100601196289,-0.45857787132263184,6.5317082244157785,3.2147564232349395,2.112275245375931,0.052829623222351074,2.09699247777462,2.09699247777462,greedy,0.052829623222351074,0.0,hard_fault_cluster
8,N2095,observe,0.9450939297676086,0.9450939297676086,1.2390453815460205,0.01580989360809326,3.0622228533029556,1.8788844883441924,3.2522811561822893,3.109320012480021,0.9450939297676086,0.9450939297676086,1.2390453815460205,0.01580989360809326,0.5384109616279602,0.5384109616279602,0.7022280693054199,0.011739909648895264,2.2712713256478305,1.1325106114149093,0.005384109616279602,-0.5085886716842651,-0.11253228038549423,-0.11253228038549423,0.11640030145645142,-0.1998325064778328,-0.14254075288772583,-0.14254075288772583,0.12136764079332352,-0.23356648348271847,3.6375730617344377,0.03158586844801903,0.03158586844801903,0.053310297429561615,-0.008396854624152184,-0.054020073264837265,-0.023775886744260788,111179.4921875,42951.7578125,68227.734375,111008.1484375,42817.4296875,68190.71875,0.0015411452623084188,0.0031274184584617615,0.0005425304989330471,0.18648149073123932,0.18648149073123932,0.16290977597236633,0.06429915875196457,3.584465742111206,3.584465742111206,6.111778736114502,-0.9993683099746704,6.406017184853553,3.265056610107422,3.265056610107422,5.526215553283691,-0.8796050548553467,5.933520532250404,2.736104097962379,1.4058239059895277,0.01580989360809326,2.1128023713827133,2.1128023713827133,greedy,0.01580989360809326,0.0,hard_fault_cluster
9,N1758,observe,1.023410439491272,1.023410439491272,1.3197169303894043,0.03362274169921875,4.051707111299038,2.7643720149993896,4.453569088876248,4.047082727774978,1.023410439491272,1.023410439491272,1.3197169303894043,0.03362274169921875,0.6479536294937134,0.6479536294937134,0.7647181153297424,0.07441504299640656,3.2915875972807402,1.9264205753803252,0.006479536294937134,-0.4758395254611969,-0.0935935452580452,-0.0935935452580452,0.12571626901626587,-0.1878807470202446,-0.11168995499610901,-0.11168995499610901,0.12127078324556351,-0.20264304243028164,6.4949739181995385,0.030240610241889954,0.030240610241889954,0.05035834014415741,-0.007528144866228104,-0.04821391403675079,-0.026576310396194458,111015.03125,42818.44140625,68196.59375,110974.5703125,42750.2578125,68224.3125,0.0003644636017270386,0.0015923884930089116,-0.000406453589675948,0.34674665331840515,0.34674665331840515,0.3169340193271637,0.10904613882303238,3.578420877456665,3.578420877456665,5.86955451965332,-0.8237450122833252,7.1478089380264285,3.1626508235931396,3.1626508235931396,5.2442097663879395,-0.7705065011978149,6.794775729179382,3.3879501730203625,2.50358203522861,0.03362274169921875,2.146425113081932,2.146425113081932,greedy,0.03362274169921875,0.0,hard_fault_cluster
10,N2099,observe,1.0512839555740356,1.0512839555740356,1.4108132123947144,-0.006825953722000122,3.4655811503529548,3.9440351009368895,5.51398334056139,4.183752387240529,1.0512839555740356,1.0512839555740356,1.4108132123947144,-0.006825953722000122,0.6993961334228516,0.6993961334228516,0.837136447429657,0.07154379785060883,2.541192946881056,1.74404958486557,0.0069939613342285155,-0.4710450768470764,-0.09667754918336868,-0.09667754918336868,0.12866896390914917,-0.19317927211523056,-0.11714542657136917,-0.11714542657136917,0.12344322353601456,-0.2097278442233801,6.301476892232895,0.025891138240695,0.025891138240695,0.047416556626558304,-0.009671279229223728,-0.05284237116575241,-0.031109098345041275,110969.0625,42749.4765625,68219.5859375,110822.234375,42629.59375,68192.640625,0.0013231446500867605,0.0028043107595294714,0.0003949791134800762,0.18807637691497803,0.18807637691497803,0.06330381333827972,0.14059851691126823,3.1918325424194336,3.1918325424194336,5.643192291259766,-1.0405616760253906,6.155314478874207,2.739793539047241,2.739793539047241,4.966785907745361,-0.9852958917617798,6.366713318824768,2.934666806459427,2.984459664747119,-0.006825953722000122,2.139599159359932,2.139599159359932,greedy,-0.006825953722000122,0.0,hard_fault_cluster
