[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:16:04 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist_sa/epoch_012/q_typed_residual_context/alpha_0p20_decay_16
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:16:04 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:16:04 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:16:04 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.315647 sequence=5.315647
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.809373 sequence=10.125021
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.941823 sequence=12.066844
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.554087 sequence=13.620931
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.214906 sequence=14.835837
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.052417 sequence=15.888254
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.959482 sequence=16.847736
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.155395 sequence=18.003131
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.914385 sequence=18.917516
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.121708 sequence=20.039224
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.284216 sequence=22.323441
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.530703 sequence=23.854143
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.320616 sequence=27.174760
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.076135 sequence=30.250895
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.710775 sequence=32.961670
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.877486 sequence=34.839156
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.756732 sequence=39.595888
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.623816 sequence=44.219704
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.313157 sequence=49.532862
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.836940 sequence=54.369802
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.215015 sequence=58.584817
[b15-round6/cone_toplist_sa/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.713263 sequence=65.298080
