[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/epoch_012/q_typed_reliable_context/alpha_0p10_decay_16
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [gmean] 2026-07-21T10:06:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=1.223726 sequence=14.769140
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328313 sequence=16.097453
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.905288 sequence=17.002741
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_reliable_context=1.033050 sequence=18.035791
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_reliable_context=1.069778 sequence=19.105569
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=10 node=N3756 type=control0 q_typed_reliable_context=1.155727 sequence=20.261296
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=2.534493 sequence=22.795789
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_reliable_context=1.145860 sequence=23.941649
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_reliable_context=1.239481 sequence=25.181131
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_reliable_context=1.515938 sequence=26.697069
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_reliable_context=2.865551 sequence=29.562620
[b15-round6/cone_toplist/epoch_012/q_typed_reliable_context/a0.10/d16] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_reliable_context=3.089390 sequence=32.652010
