[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T09:54:17 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_rank/best_final_horizon/q_typed_residual_context/alpha_0p02_decay_16
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T09:54:17 budgets=iscas99__b15_1:278
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T09:54:17 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [gmean] 2026-07-21T09:54:17 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.196627 sequence=5.196627
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.651360 sequence=9.847987
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.999129 sequence=11.847116
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.714803 sequence=13.561919
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.219728 sequence=14.781646
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058995 sequence=15.840641
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.978066 sequence=16.818707
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.039238 sequence=17.857945
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.946508 sequence=18.804453
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124438 sequence=19.928890
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290339 sequence=22.219229
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.601464 sequence=23.820693
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.270273 sequence=27.090966
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.123551 sequence=30.214518
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.785810 sequence=33.000328
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.807620 sequence=34.807947
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.695259 sequence=39.503206
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.585381 sequence=44.088587
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.278910 sequence=49.367497
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.782043 sequence=54.149540
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.163445 sequence=58.312985
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.762775 sequence=65.075760
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.124989 sequence=71.200749
[b15-round6/cone_rank/best_final_horizon/q_typed_residual_context/a0.02/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.985675 sequence=77.186423
