[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:06:39 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/epoch_012/q_typed_residual_context/alpha_0p20_decay_16
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:06:39 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:06:39 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [gmean] 2026-07-21T10:06:39 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.318062 sequence=5.318062
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.819604 sequence=10.137666
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=1.928114 sequence=12.065780
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.554087 sequence=13.619867
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.214906 sequence=14.834773
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.053783 sequence=15.888556
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.977925 sequence=16.866481
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.157487 sequence=18.023967
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.934225 sequence=18.958192
[b15-round6/cone_toplist/epoch_012/q_typed_residual_context/a0.20/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.121520 sequence=20.079712
