[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_toplist/best_final_horizon/q_typed_trust_context/alpha_0p05_decay_16
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 budgets=iscas99__b15_1:278
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 variant_start id=greedy__cumulative__q_typed_trust_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [gmean] 2026-07-21T10:03:32 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_trust_context
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_trust_context=5.195585 sequence=5.195585
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_trust_context=4.636675 sequence=9.832260
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_trust_context=1.993262 sequence=11.825522
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_trust_context=1.719893 sequence=13.545415
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_trust_context=1.214906 sequence=14.760321
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_trust_context=1.059240 sequence=15.819561
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_trust_context=0.977934 sequence=16.797495
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_trust_context=1.031711 sequence=17.829207
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_trust_context=0.945978 sequence=18.775185
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_trust_context=1.124554 sequence=19.899739
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_trust_context=2.290324 sequence=22.190063
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_trust_context=1.603809 sequence=23.793871
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_trust_context=3.265034 sequence=27.058905
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_trust_context=3.127520 sequence=30.186425
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_trust_context=2.794148 sequence=32.980573
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_trust_context=1.799788 sequence=34.780360
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_trust_context=4.690240 sequence=39.470601
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_trust_context=4.581054 sequence=44.051654
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_trust_context=5.275425 sequence=49.327080
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_trust_context=4.775944 sequence=54.103023
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_trust_context=4.157715 sequence=58.260738
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_trust_context=6.767092 sequence=65.027830
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_trust_context=6.126657 sequence=71.154486
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_trust_context=5.990425 sequence=77.144911
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_trust_context=5.699024 sequence=82.843935
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_trust_context=6.928035 sequence=89.771970
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_trust_context=5.483612 sequence=95.255583
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_trust_context=4.401708 sequence=99.657291
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_trust_context=4.371657 sequence=104.028948
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_trust_context=4.401966 sequence=108.430913
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_trust_context=7.847518 sequence=116.278431
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_trust_context=2.924233 sequence=119.202664
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_trust_context=6.123002 sequence=125.325666
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_trust_context=4.754734 sequence=130.080400
[b15-round6/cone_toplist/best_final_horizon/q_typed_trust_context/a0.05/d16] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_trust_context=6.225000 sequence=136.305400
