[b15-round3/long32_marginal/decay_0] [gmean] 2026-07-20T21:09:54 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_marginal/decay_0
[b15-round3/long32_marginal/decay_0] [gmean] 2026-07-20T21:09:54 budgets=iscas99__b15_1:278
[b15-round3/long32_marginal/decay_0] [gmean] 2026-07-20T21:09:54 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_marginal/decay_0] [gmean] 2026-07-20T21:09:54 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.216913 sequence=5.216913
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.953587
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.058274 sequence=12.011861
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.762525 sequence=13.774386
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.179745 sequence=14.954130
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.328298 sequence=16.282429
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.940785 sequence=17.223214
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.198289 sequence=18.421503
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.231322 sequence=19.652824
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.459101 sequence=21.111925
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.151096 sequence=22.263021
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.092053 sequence=23.355074
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.092941 sequence=27.448015
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.535274 sequence=29.983289
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.347583 sequence=33.330872
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.320799 sequence=35.651671
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.178340 sequence=40.830011
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.331659 sequence=47.161670
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.912587 sequence=54.074257
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.226709 sequence=59.300966
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.788850 sequence=65.089816
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.768996 sequence=71.858812
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.145086 sequence=78.003897
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.415013 sequence=80.418910
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.182443 sequence=86.601353
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.497889 sequence=94.099241
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.989387 sequence=102.088628
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.926357 sequence=105.014985
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=4.278083 sequence=109.293069
[b15-round3/long32_marginal/decay_0] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=6.734018 sequence=116.027087
