[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_balanced/decay_128
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_balanced/decay_128] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.215589 sequence=5.215589
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.735897 sequence=9.951485
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.072521 sequence=12.024006
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.817576 sequence=13.841582
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.185644 sequence=15.027226
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.329178 sequence=16.356404
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.891271 sequence=17.247675
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.190610 sequence=18.438285
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.237944 sequence=19.676229
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.413947 sequence=21.090176
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.165590 sequence=22.255766
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.070961 sequence=23.326727
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.087545 sequence=27.414271
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.478421 sequence=29.892693
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.302966 sequence=33.195659
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.309741 sequence=35.505400
[b15-round3/long32_balanced/decay_128] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.181272 sequence=40.686672
