[b15-round3/long32_marginal/decay_64] [gmean] 2026-07-20T21:09:54 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_marginal/decay_64
[b15-round3/long32_marginal/decay_64] [gmean] 2026-07-20T21:09:54 budgets=iscas99__b15_1:278
[b15-round3/long32_marginal/decay_64] [gmean] 2026-07-20T21:09:54 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_marginal/decay_64] [gmean] 2026-07-20T21:09:54 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.216913 sequence=5.216913
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.735124 sequence=9.952037
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.056273 sequence=12.008311
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.760572 sequence=13.768883
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.177035 sequence=14.945918
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.328298 sequence=16.274216
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.935503 sequence=17.209719
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.200369 sequence=18.410089
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.227808 sequence=19.637896
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.452127 sequence=21.090023
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.155191 sequence=22.245214
[b15-round3/long32_marginal/decay_64] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.081105 sequence=23.326319
