[b15-round3/long32_balanced/decay_32] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_balanced/decay_32
[b15-round3/long32_balanced/decay_32] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_balanced/decay_32] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_balanced/decay_32] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.215589 sequence=5.215589
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.733598 sequence=9.949187
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.068891 sequence=12.018078
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.810944 sequence=13.829022
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.182290 sequence=15.011312
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.082566 sequence=16.093879
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.945998 sequence=17.039876
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.102224 sequence=18.142100
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.955024 sequence=19.097123
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.128710 sequence=20.225833
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.277936 sequence=22.503769
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.641249 sequence=24.145019
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.196305 sequence=27.341324
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.153931 sequence=30.495255
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.846341 sequence=33.341596
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.862366 sequence=35.203962
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.733167 sequence=39.937129
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.639841 sequence=44.576970
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.332404 sequence=49.909374
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.831169 sequence=54.740542
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.211241 sequence=58.951783
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.803874 sequence=65.755657
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.109662 sequence=71.865319
[b15-round3/long32_balanced/decay_32] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=6.031295 sequence=77.896614
