[b15-round3/long32_balanced/decay_0] [gmean] 2026-07-20T21:06:31 out_dir=autoresearch/loop-260720-0945/model_training_round3/b15_selection/long32_balanced/decay_0
[b15-round3/long32_balanced/decay_0] [gmean] 2026-07-20T21:06:31 budgets=iscas99__b15_1:278
[b15-round3/long32_balanced/decay_0] [gmean] 2026-07-20T21:06:31 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round3/long32_balanced/decay_0] [gmean] 2026-07-20T21:06:31 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.215589 sequence=5.215589
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.952264
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.073769 sequence=12.026033
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.819893 sequence=13.845925
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.187251 sequence=15.033176
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.329213 sequence=16.362389
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_residual_context=0.891727 sequence=17.254116
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_residual_context=1.189050 sequence=18.443166
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_residual_context=1.240300 sequence=19.683466
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_residual_context=1.414530 sequence=21.097996
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.164467 sequence=22.262463
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.075290 sequence=23.337752
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=4.078596 sequence=27.416348
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=2.483034 sequence=29.899382
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=3.309367 sequence=33.208749
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=2.320799 sequence=35.529549
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=5.190998 sequence=40.720546
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=6.331659 sequence=47.052205
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.912587 sequence=53.964793
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.226709 sequence=59.191501
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=5.804274 sequence=64.995776
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.788852 sequence=71.784628
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=6.145086 sequence=77.929713
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=2.279831 sequence=80.209544
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.210352 sequence=86.419896
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.551366 sequence=93.971261
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=7.961264 sequence=101.932525
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.926357 sequence=104.858882
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=4.278083 sequence=109.136965
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=30 node=N5234 type=observe q_typed_residual_context=6.734018 sequence=115.870984
[b15-round3/long32_balanced/decay_0] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.800000 sequence=124.670984
