[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 out_dir=autoresearch/loop-260720-0945/typed_winner_round1_five/b15_C
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 budgets=iscas99__b15_1:278
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 variant_start id=greedy__cumulative__q_pred_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five/b15_C] [gmean] 2026-07-20T16:08:06 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_pred_context
[typed-five/b15_C] [plan iscas99__b15_1] [plan] torch_deterministic=true
[typed-five/b15_C] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[typed-five/b15_C] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_pred_context=5.831974 sequence=5.831974
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_pred_context=3.703273 sequence=9.535247
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_pred_context=6.482823 sequence=16.018070
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_pred_context=8.220071 sequence=24.238141
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=5 node=N893 type=control1 q_pred_context=8.179277 sequence=32.417418
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=6 node=N5203 type=control1 q_pred_context=4.403814 sequence=36.821232
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=7 node=N3605 type=observe q_pred_context=5.177963 sequence=41.999195
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=8 node=N2336 type=control1 q_pred_context=7.898495 sequence=49.897690
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=9 node=N7510 type=control1 q_pred_context=5.825215 sequence=55.722905
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=10 node=N564 type=control1 q_pred_context=8.700000 sequence=64.422905
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=11 node=N5234 type=observe q_pred_context=6.175527 sequence=70.598432
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=12 node=N5605 type=control1 q_pred_context=8.172630 sequence=78.771061
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_pred_context=8.410241 sequence=87.181302
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=14 node=N2328 type=control1 q_pred_context=8.040000 sequence=95.221302
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=15 node=N5143 type=observe q_pred_context=8.078665 sequence=103.299967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=16 node=N1385 type=control1 q_pred_context=8.040000 sequence=111.339967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=17 node=N3644 type=control0 q_pred_context=8.040000 sequence=119.379967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=18 node=N5874 type=observe q_pred_context=8.700000 sequence=128.079967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=19 node=N704 type=observe q_pred_context=8.700000 sequence=136.779967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_pred_context=8.700000 sequence=145.479967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=21 node=N1879 type=observe q_pred_context=8.700000 sequence=154.179967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=22 node=N1598 type=observe q_pred_context=8.700000 sequence=162.879967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=23 node=N1437 type=control1 q_pred_context=8.700000 sequence=171.579967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=24 node=N7878 type=control1 q_pred_context=8.040000 sequence=179.619967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=25 node=N757 type=control1 q_pred_context=8.700000 sequence=188.319967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=26 node=N7587 type=control1 q_pred_context=8.700000 sequence=197.019967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=27 node=N7891 type=control1 q_pred_context=8.040000 sequence=205.059967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=28 node=N7876 type=control1 q_pred_context=8.040000 sequence=213.099967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=29 node=N7874 type=control1 q_pred_context=8.040000 sequence=221.139967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=30 node=N7872 type=control1 q_pred_context=8.040000 sequence=229.179967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=31 node=N7881 type=control1 q_pred_context=8.040000 sequence=237.219967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=32 node=N7882 type=control1 q_pred_context=8.040000 sequence=245.259967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=33 node=N7883 type=control1 q_pred_context=8.040000 sequence=253.299967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=34 node=N7884 type=control1 q_pred_context=8.040000 sequence=261.339967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=35 node=N7885 type=control1 q_pred_context=8.040000 sequence=269.379967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=36 node=N7886 type=control1 q_pred_context=8.040000 sequence=277.419967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=37 node=N7887 type=control1 q_pred_context=8.040000 sequence=285.459967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=38 node=N7888 type=control1 q_pred_context=8.040000 sequence=293.499967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=39 node=N7889 type=control1 q_pred_context=8.040000 sequence=301.539967
[typed-five/b15_C] [plan iscas99__b15_1] [plan] step=40 node=N7890 type=control1 q_pred_context=8.040000 sequence=309.579967
