[typed-five-r3/b21_C] [gmean] 2026-07-21T00:08:11 out_dir=autoresearch/loop-260720-0945/typed_winner_round4_five/b21_C
[typed-five-r3/b21_C] [gmean] 2026-07-21T00:08:11 budgets=iscas99__b21:628
[typed-five-r3/b21_C] [gmean] 2026-07-21T00:08:11 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[typed-five-r3/b21_C] [gmean] 2026-07-21T00:08:11 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=q_typed_residual_context
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] torch_deterministic=true
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b21_C/exact_candidate_nodes.txt nodes=19520
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.923500
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=1 node=N12793 type=observe q_typed_residual_context=2.578398 sequence=2.578398
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=2 node=N1674 type=control1 q_typed_residual_context=4.204200 sequence=6.782598
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=3 node=N4167 type=control0 q_typed_residual_context=2.646397 sequence=9.428995
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=4 node=N4025 type=control0 q_typed_residual_context=2.384716 sequence=11.813711
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=5 node=N905 type=observe q_typed_residual_context=1.432848 sequence=13.246559
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=6 node=N3444 type=control0 q_typed_residual_context=1.561939 sequence=14.808498
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=7 node=N3447 type=control0 q_typed_residual_context=1.574316 sequence=16.382814
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=8 node=N2715 type=control0 q_typed_residual_context=1.651409 sequence=18.034223
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=9 node=N4039 type=control0 q_typed_residual_context=2.126278 sequence=20.160500
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=10 node=N4041 type=control0 q_typed_residual_context=4.038183 sequence=24.198684
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=11 node=N4045 type=control0 q_typed_residual_context=3.781793 sequence=27.980476
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=12 node=N3453 type=control0 q_typed_residual_context=3.415207 sequence=31.395683
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=13 node=N4043 type=control0 q_typed_residual_context=2.655030 sequence=34.050714
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=14 node=N1442 type=observe q_typed_residual_context=2.063170 sequence=36.113883
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=15 node=N4245 type=observe q_typed_residual_context=1.707398 sequence=37.821281
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=16 node=N4193 type=observe q_typed_residual_context=1.721290 sequence=39.542570
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=17 node=N4199 type=observe q_typed_residual_context=1.800185 sequence=41.342756
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=18 node=N4197 type=observe q_typed_residual_context=1.783803 sequence=43.126559
[typed-five-r3/b21_C] [plan iscas99__b21] [plan] step=19 node=N4165 type=observe q_typed_residual_context=1.581201 sequence=44.707759
