deep_node	deep_gate	deep_is_output	status	source_net	source_gate	source_is_output	source_candidate_count	inverted_candidate_count	synthetic_branch	safe_insertable	signature
N0	INPUT	False	primary_input	P2_WR_REG_SCAN_IN		False	0	1	False	False	dfd67d73645fb828
N1	INPUT	False	primary_input	SI_31_		False	0	1	False	False	c8f72a43977eaa92
N2	INPUT	False	primary_input	SI_30_		False	0	1	False	False	f4cb00513a570338
N3	INPUT	False	primary_input	SI_29_		False	0	1	False	False	bbd022d25efc0770
N4	INPUT	False	primary_input	SI_28_		False	0	1	False	False	98dcbd3cb145c81c
N5	INPUT	False	primary_input	SI_27_		False	0	1	False	False	38fbd158cd4a892c
N6	INPUT	False	primary_input	SI_26_		False	0	1	False	False	89f916fb6088e8cd
N7	INPUT	False	primary_input	SI_25_		False	0	1	False	False	ab58c230ed0ba9a2
N8	INPUT	False	primary_input	SI_24_		False	0	1	False	False	d398b6f788cd4f23
N9	INPUT	False	primary_input	SI_23_		False	0	1	False	False	fa12117e3728aaaa
N10	INPUT	False	primary_input	SI_22_		False	0	1	False	False	a0d2488e7621dde1
N11	INPUT	False	primary_input	SI_21_		False	0	1	False	False	38465f73cbc52bcf
N12	INPUT	False	primary_input	SI_20_		False	0	1	False	False	60fb9697ca1c0166
N13	INPUT	False	primary_input	SI_19_		False	0	1	False	False	13826777c5580921
N14	INPUT	False	primary_input	SI_18_		False	0	1	False	False	ac9235d49d370ce7
N15	INPUT	False	primary_input	SI_17_		False	0	1	False	False	1b6084085f3c76ce
N16	INPUT	False	primary_input	SI_16_		False	0	1	False	False	b6cad774bb3480cb
N17	INPUT	False	primary_input	SI_15_		False	0	1	False	False	ead4586febaf6673
N18	INPUT	False	primary_input	SI_14_		False	0	1	False	False	f2c37986c2a15321
N19	INPUT	False	primary_input	SI_13_		False	0	1	False	False	bc4cb013e8141db0
N20	INPUT	False	primary_input	SI_12_		False	0	1	False	False	ad6640cfdb8278c7
N21	INPUT	False	primary_input	SI_11_		False	0	1	False	False	6fc40f0f8dfcd431
N22	INPUT	False	primary_input	SI_10_		False	0	1	False	False	7270490df1bfe80d
N23	INPUT	False	primary_input	SI_9_		False	0	1	False	False	b6cc3229c8f075ff
N24	INPUT	False	primary_input	SI_8_		False	0	1	False	False	f48e321399cb83fb
N25	INPUT	False	primary_input	SI_7_		False	0	1	False	False	094dcdb5689ee27e
N26	INPUT	False	primary_input	SI_6_		False	0	1	False	False	64d90e844366204e
N27	INPUT	False	primary_input	SI_5_		False	0	1	False	False	698413bcdc21de5a
N28	INPUT	False	primary_input	SI_4_		False	0	1	False	False	c7fd28e170250765
N29	INPUT	False	primary_input	SI_3_		False	0	1	False	False	22952940fb25afd2
N30	INPUT	False	primary_input	SI_2_		False	0	1	False	False	db5a1beb32f854ef
N31	INPUT	False	primary_input	SI_1_		False	0	1	False	False	c2e8755cb226564c
N32	INPUT	False	primary_input	SI_0_		False	0	1	False	False	b40469279222dccc
N33	INPUT	False	primary_input	P2_RD_REG_SCAN_IN		False	0	1	False	False	873328a04e8f069a
N34	INPUT	False	primary_input	P2_STATE_REG_SCAN_IN		False	0	1	False	False	fe0b5dbc40b162e2
N35	INPUT	False	primary_input	P2_REG3_REG_7__SCAN_IN		False	0	1	False	False	1deda2a76a43bacf
N36	INPUT	False	primary_input	P2_REG3_REG_27__SCAN_IN		False	1	2	False	False	257a040c1fcdc2bb
N37	INPUT	False	primary_input	P2_REG3_REG_14__SCAN_IN		False	0	1	False	False	910e76e240df9072
N38	INPUT	False	primary_input	P2_REG3_REG_23__SCAN_IN		False	1	2	False	False	08c44acaa8190d6c
N39	INPUT	False	primary_input	P2_REG3_REG_10__SCAN_IN		False	0	1	False	False	639cfca600fc3c64
N40	INPUT	False	primary_input	P2_REG3_REG_3__SCAN_IN		False	0	1	False	False	c2ff9d29ede1af94
N41	INPUT	False	primary_input	P2_REG3_REG_19__SCAN_IN		False	1	2	False	False	0d2de8d08cb9f3c6
N42	INPUT	False	primary_input	P2_REG3_REG_28__SCAN_IN		False	1	2	False	False	71f4b54002e24947
N43	INPUT	False	primary_input	P2_REG3_REG_8__SCAN_IN		False	0	1	False	False	dfdd580a91f588fb
N44	INPUT	False	primary_input	P2_REG3_REG_1__SCAN_IN		False	0	0	False	False	5fd2b208dd7ab1c2
N45	INPUT	False	primary_input	P2_REG3_REG_21__SCAN_IN		False	1	2	False	False	4751d942eb427f7c
N46	INPUT	False	primary_input	P2_REG3_REG_12__SCAN_IN		False	0	1	False	False	f3ed4ad14b60bff2
N47	INPUT	False	primary_input	P2_REG3_REG_25__SCAN_IN		False	1	2	False	False	e834748dd836cd2e
N48	INPUT	False	primary_input	P2_REG3_REG_16__SCAN_IN		False	1	2	False	False	c325643ece0a660f
N49	INPUT	False	primary_input	P2_REG3_REG_5__SCAN_IN		False	0	1	False	False	76b0f31d5f190665
N50	INPUT	False	primary_input	P2_REG3_REG_17__SCAN_IN		False	1	2	False	False	0c90cae608804d0f
N51	INPUT	False	primary_input	P2_REG3_REG_24__SCAN_IN		False	1	2	False	False	521022b1b50fcd93
N52	INPUT	False	primary_input	P2_REG3_REG_4__SCAN_IN		False	0	1	False	False	4565f23ed9ea84e3
N53	INPUT	False	primary_input	P2_REG3_REG_9__SCAN_IN		False	0	1	False	False	b1f4c700a6df3c56
N54	INPUT	False	primary_input	P2_REG3_REG_0__SCAN_IN		False	0	0	False	False	60f34f36c79c8b58
N55	INPUT	False	primary_input	P2_REG3_REG_20__SCAN_IN		False	1	2	False	False	60c5c6faf2fbd086
N56	INPUT	False	primary_input	P2_REG3_REG_13__SCAN_IN		False	0	1	False	False	58c82cf38ce6998a
N57	INPUT	False	primary_input	P2_REG3_REG_22__SCAN_IN		False	1	2	False	False	8541c2a1c50abe98
N58	INPUT	False	primary_input	P2_REG3_REG_11__SCAN_IN		False	0	1	False	False	790b403a7a54d51b
N59	INPUT	False	primary_input	P2_REG3_REG_2__SCAN_IN		False	0	0	False	False	9732723ad8334322
N60	INPUT	False	primary_input	P2_REG3_REG_18__SCAN_IN		False	1	2	False	False	5545204424b2b86b
N61	INPUT	False	primary_input	P2_REG3_REG_6__SCAN_IN		False	0	1	False	False	aba8adbe535dd721
N62	INPUT	False	primary_input	P2_REG3_REG_26__SCAN_IN		False	1	2	False	False	c29def593bc9fb13
N63	INPUT	False	primary_input	P2_REG3_REG_15__SCAN_IN		False	0	2	False	False	d3e38d98805264b0
N64	INPUT	False	primary_input	P2_B_REG_SCAN_IN		False	0	1	False	False	0d7ec3c9c2756774
N65	INPUT	False	primary_input	P2_DATAO_REG_31__SCAN_IN		False	0	0	False	False	03b966991902ff0e
N66	INPUT	False	primary_input	P2_DATAO_REG_30__SCAN_IN		False	0	0	False	False	79096809657b660f
N67	INPUT	False	primary_input	P2_DATAO_REG_29__SCAN_IN		False	0	0	False	False	7db4601b7b0a69ba
N68	INPUT	False	primary_input	P2_DATAO_REG_28__SCAN_IN		False	0	0	False	False	e8b5101421c70b60
N69	INPUT	False	primary_input	P2_DATAO_REG_27__SCAN_IN		False	0	0	False	False	d47f3cf5cad3a9dd
N70	INPUT	False	primary_input	P2_DATAO_REG_26__SCAN_IN		False	0	0	False	False	77c98bfa19661d2e
N71	INPUT	False	primary_input	P2_DATAO_REG_25__SCAN_IN		False	0	0	False	False	6bb6f008cfe241ad
N72	INPUT	False	primary_input	P2_DATAO_REG_24__SCAN_IN		False	0	0	False	False	acda9b225d2a8d64
N73	INPUT	False	primary_input	P2_DATAO_REG_23__SCAN_IN		False	0	0	False	False	5aad0adafac925e1
N74	INPUT	False	primary_input	P2_DATAO_REG_22__SCAN_IN		False	0	0	False	False	e455a282dde40c82
N75	INPUT	False	primary_input	P2_DATAO_REG_21__SCAN_IN		False	0	0	False	False	7265f0d6f0fbbf9c
N76	INPUT	False	primary_input	P2_DATAO_REG_20__SCAN_IN		False	0	0	False	False	94013dfb620d332b
N77	INPUT	False	primary_input	P2_DATAO_REG_19__SCAN_IN		False	0	0	False	False	20ab86dc6ed79fa1
N78	INPUT	False	primary_input	P2_DATAO_REG_18__SCAN_IN		False	0	0	False	False	0300cbccaaff6eb3
N79	INPUT	False	primary_input	P2_DATAO_REG_17__SCAN_IN		False	0	0	False	False	9192c4c300d4064f
N80	INPUT	False	primary_input	P2_DATAO_REG_16__SCAN_IN		False	0	0	False	False	d199dd791e3a75f3
N81	INPUT	False	primary_input	P2_DATAO_REG_15__SCAN_IN		False	0	0	False	False	7b18065bfdfb51eb
N82	INPUT	False	primary_input	P2_DATAO_REG_14__SCAN_IN		False	0	0	False	False	6906bbcd111f7f7c
N83	INPUT	False	primary_input	P2_DATAO_REG_13__SCAN_IN		False	0	0	False	False	e1d5fb76e7c9fb43
N84	INPUT	False	primary_input	P2_DATAO_REG_12__SCAN_IN		False	0	0	False	False	b0128892536fe1b4
N85	INPUT	False	primary_input	P2_DATAO_REG_11__SCAN_IN		False	0	0	False	False	27a8f2326197faef
N86	INPUT	False	primary_input	P2_DATAO_REG_10__SCAN_IN		False	0	0	False	False	89c1ef3178695612
N87	INPUT	False	primary_input	P2_DATAO_REG_9__SCAN_IN		False	0	0	False	False	e9a78c4e2ac51e70
N88	INPUT	False	primary_input	P2_DATAO_REG_8__SCAN_IN		False	0	0	False	False	1a10394034063096
N89	INPUT	False	primary_input	P2_DATAO_REG_7__SCAN_IN		False	0	0	False	False	beef5ee6aea11dd9
N90	INPUT	False	primary_input	P2_DATAO_REG_6__SCAN_IN		False	0	0	False	False	5d3cb8c309532ac0
N91	INPUT	False	primary_input	P1_IR_REG_0__SCAN_IN		False	1	4	False	False	2db00fc0dd17374a
N92	INPUT	False	primary_input	P1_IR_REG_1__SCAN_IN		False	0	1	False	False	7adbd1d14fde9899
N93	INPUT	False	primary_input	P1_IR_REG_2__SCAN_IN		False	0	0	False	False	27fb4db78401091a
N94	INPUT	False	primary_input	P1_IR_REG_3__SCAN_IN		False	0	1	False	False	821f6f2fbd8412a4
