[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/marginal_only/cone_toplist_sa/epoch_012/alpha_0p20_decay_16
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 budgets=iscas99__b15_1:278
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [gmean] 2026-07-21T10:29:18 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.272193 sequence=14.817607
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.145906
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=7 node=N5143 type=observe q_typed_reliable_context=0.911415 sequence=17.057321
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218463 sequence=18.275783
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=9 node=N3742 type=control0 q_typed_reliable_context=0.973034 sequence=19.248817
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.631955 sequence=20.880772
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.172254 sequence=22.053026
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.061053 sequence=23.114079
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=4.394699 sequence=27.508778
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.196223 sequence=29.705001
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=2.870865 sequence=32.575866
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_reliable_context=1.835264 sequence=34.411130
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_reliable_context=4.846944 sequence=39.258074
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=18 node=N1372 type=observe q_typed_reliable_context=6.584243 sequence=45.842317
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=19 node=N1532 type=observe q_typed_reliable_context=6.657343 sequence=52.499660
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=20 node=N2082 type=observe q_typed_reliable_context=5.730000 sequence=58.229660
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=6.838155 sequence=65.067815
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_reliable_context=7.875690 sequence=72.943504
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_reliable_context=7.149741 sequence=80.093245
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_reliable_context=2.378970 sequence=82.472215
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_reliable_context=6.245268 sequence=88.717482
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=6.681520 sequence=95.399002
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=7.884149 sequence=103.283151
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_reliable_context=3.026778 sequence=106.309929
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=3.199267 sequence=109.509196
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=2.435670 sequence=111.944866
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.370000 sequence=120.314866
[b15-r6-marginal/cone_toplist_sa/epoch_012/a0.20] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=1.795357 sequence=122.110223
