* Log file for the circuit netlist_full_scan.bench.
* Number of faults detected by each test pattern:

test    1: 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 00000010000000000000000000000000000001010000000000000000000000000000000011101110000000000000000000000000000000000000000000000000000000000000000000000011000000000000000000010000000000010100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010001001000000110000000001001000010000000000100000100001000010000010000000000000000000000000000000001000000000000000000000000000000 1520 faults detected
test    2: 11101001100100001001001000010011011010110110000010010001011001000100101111001001100001110100001011011011111110011110111100010101101110111101010110101100110010001101100011011010011010111010111000100000100011101110111011100011111110001010001100110100011100011101111011110000101001000100100111010001011001000000011101101001111101101000110001100011010010000100010011011011001111110101000111100001000110100110010100110100000100001100101011000011100101011000111110010110000010101001001010011 01010010000000000000000000000000000001110110110100001011100001100100111011001001110011011011001000100001001011100001111000101011101100101100010000001010110011100101100010001101010010101110001000001000111010111010110010110110001101100010011001101011010011111011110111000111000101100110001010001111111000111011101110111011100000110011010000011100101100000011111101010101101011100101111011000001000010001000100110001000100010001100110110101000000110010 1451 faults detected
test    3: 01001110100101101101001110110110000010010110011001011001100100010010101110001110111010101001000111101001101111100110011110100101110100100010011110111111100001011010000110010101101100100001001110101010010111010011001110010100000100010001010001100100100001001010101100100110111001011001100110100101010111111011001011111001000000000010111001001101000001010001101001001101111100010101101010100001011110101010100010011110101011110111100110100110011111011111110000000010001100110101010000101 01011010100101110100101111001100111110100101111000100101010111011100011100100000111110110010010110001010000010111001010101101010001010101111010000110100011101001110010100100001010111001101010010101101101011011011101101010011000010110100001111111011110100100110101010010000100100110001010001000100000101001110011001011101111111110011101001110101101110011101000101111000110001111111000010010111110010111010000110010110011001100000011111000011111000100 1753 faults detected
test    4: 00100011101100111101001111110011101010100101100111001010011000001100000111011101011111110101101001101100101010111101001110011101110110011110010001111101101000010010111111010011110110101110010001000011111001100000110010111110001010010111011101111000010000001110001111011111100010111101110110110110010011100111010000101010110101011010101100011110111111011110011011000110001010111101010000011110100100001110000011000101110001111001100000110100011100001110001000001100110011100011001010001 00000010000000000000000000000000000001111101100101101011111110101110111011111011010001100011011001111011111101000101111110111100110110001100010110001000101100101010000101100100000101011110111110000100010011101011011110010111111010010000101101111100010111011110001110000001000011110111011101001010001111101001100000110011000000010111011010110010011110101011110100001000000011000100001011011011100001110000101101110111001000101001001011111011001101010  422 faults detected
test    5: 01001101000101110000101000101100100001101000101010100110010101000100001000000010001010111010110111011101001111111011010010010111011011000111100010101001111111011100101000011110110101111000010110100110110100101000011100001011110101001010010001000001100000110110101001010100011101111101101001111000110000010100001011111111011111010011010011001001101111000000101000110111101111001011101010000100001001010101110110111110101111011011011110011111100010100000111111101111111110000110101001001 00011100011011011101001001011011111111010110111011010111010100010000000000001111110111101100010100000011110110010000010101110100110101010010000110100001110111001011110010110111011010111101011011001011010000111101011011110000101001110111111100101010001111010010101101100000110000010001001010010101111010000111000010100000111110011111110101101100000011000110100110011011001111110101111011101100000100101111111011100010000111110001011101011100110100100  326 faults detected
test    6: 11000100000101101111101001101001011110111010110100111001001110000011101000101000010110111100111100010101011000001010101110110110110011001101011101101111010000110101100101000011111101010110000001111001110010111100011110011010010110110110101100101101000110110101000110110111100100000101101000010100100011100110100010111111100110001000111101101001100010100000100000000111011001111011111000010111001001001111100110000010000111111011010010111000101111011010101111101001010000011000110011010 11010100011001101101101110101010000011011010001111001111011010000101000010010100011011100000000100000101000110110010000111110111111110010010011100000010100000000000111010101100001001001110011100111100000011010101111110000101001101011000010111101101110111101100010101101100010110100110101101101101001011001111000111101001011101101111100001000100101101001010110010101000101100110000101001110011100101010110011011110010100110101110011110110111000011001  278 faults detected
test    7: 11110110111111111000110111100110101001010010101100010011011101100100110111001000000001000011110100111111111100100110111011100001111011001111011010101001001000010101000000101010101010101101011000110011000010101010111011011110010111000100111000111000001101100111101010111000010000001001100000000000000000010010001011110010000101000000110110100000001101111000011011101110111001101110011000101011001101010100011001111001100001001111111010000001011100010000100100100100110000100010000101100 01101000011011110000111011101100100110100111001011110000100000000100111110010010011101110111011000011110110000100101000110011101100101010110011011000011010010110011010101000001000011111000000110011000110101101010101010101000000101010000100100101010110111101010111100110110000011100011100100011101001111011011101010101001110010000110100000000001110010010000100000001000000000100100011010000100001011001110110110000000100010010101011011111101000010000  178 faults detected
test    8: 11000010101011001001010101101111111000011001101010010001001010110110000100011000000101011011000011111110011000100101001000111001011110010110000100011110011110010111110010011101011111100111001010111011111010010101000101000100000011101001110100111101111110110111111110011000110000110111101000001011000010000010110011110011101001010111000010101100101011101110000111010111100101011010111101011000001001011011111110010110000100001111011001100110010010110110111011001010110001000101101011101 00101101001111010011100010010100100010001000101101011101110110101001000011001010100111101011100001110111010100100001010111011100001110101111001011000100101111011000110100110111100000001110111110111010100111001111110101110010011111010011110011110001000101001111111101101111110111100101110010111000000100010100010101001010111100011110111101001100101000111000010001110010001001100011111111001000101110100011101000011110100000010111001000110101000010011  165 faults detected
test    9: 11001101100110010010010011001100001001110010111101000010001011100000000001111001110010000000111111011000011000011101110010110010010100000110011011101110001100100100111010010011010110100111000010111110010000000111100001100110000001101110000011010010011000101101101110100100000111110101110111101011111001110111111001101110001111110011001000011111111001111011100001100001100000011011101110000000011100010101110011010111100110010111111000101001001000010011111111111000000000101111101000010 00001010000000000000000000000000000001010110111111000000010011100111100011110000000110000110000111011110011111101111110011110111000011000011000010100001110010101001000001111101001111011110010011111010000111001011010110010010111001001001100011101110110100101110110110100011001001011000001110110000001100110000111100000010101000010111010001111010110011101001101111010111111100110000110001101111001110101111101101010111000010100010101001100111001000011   72 faults detected
test   10: 00101110111111000011111101111001110001011010010000011110010010000010000101001011101110101011110111011110111001011001100001000000010101010100111001110101101011010011101001011011011010100000010111011011011100100101110001010000010001001100000010000111000101011011001011001101110001111000110000010110100111010001000001000101110100001010010001011011001010001000000001001110011100100011110100100101110110111010000011011001000101111100110110101011010101011101011110010000100011111011100111011 00000101010101000000010000110011010010001111011100111011100000100100111110000010111001110010000000010001010011101001001011110001001011101101110101101101101001101111001101101001000110010111110110110111010000001010110110110100101110010110101101011100111000011010010011110100111100001000000110010001000001010001110100100011101010100010101000000111111101100010110010111000111011000100101001110101110010110000000110010011000011101011110101000100101111000  313 faults detected
test   11: 00010010101000101101010010111101000101110101011100011101101011010001001011011111001011111100100111111001000100100100000110001100000100010110011001110110011001011110100001001011011000011110100111111011010101100011011011101111110001001100000111111000100110110110101111101010100111101011100100000110011010111100001000101010000110000101011110000101001101001100100011110110110100000101100000111111110000011010011111000110100100010111111110100000011100101011110100000110010001110001101001111 10011011000100000110001100000100100101010111111001001111110100111110110001010000101101101111000100110010110010101010011010011001000111101101101001010101111010110010101101100000101111001011010110111111001011110000110110100100001011110100110011011100110100111110101101101100100011111100000110010001111110111011011000110111001000010111110101010000000110111000101100010000111101101011010100000110100011011011000111010100010011110110011000111110100011000   40 faults detected
test   12: 01101000011011000010101110110000010011011000011110101101101101011111001111010101000010110011010100000100101100101011100111110011000110111111000111100100110011101001000001100001000110111111010010101001010101111101110100111111011101111000101001010010001011000111110010101011111000100110010110001011100011011111100011101011001001000011010100000000000100010001111010111000000011111110010001010110011010011000110111111001101001000010010011110100100011100010011011100110011110000000001010110 10011100000000000000000000000000000001110000001010110011010000101010111100011101000000011101011110001000100000111010100010011111100011001011001100101001100110000000110011100101100010101101010100101010010111111011000100001100000100101110011001001111000010101001111100011010001001010010100011110111011111100101110111110000100110100101010100011110011010111101000011111010100000001011100011000101100101101111110011111000011000000100010000111101111101101  107 faults detected
test   13: 01101011011011101011010110110100011010110101000001111000000110000000000100011111111011101101001100111100011101110000011111011000100111100101111101001100000010111011111001111111000010001011110011100101111110100100101000001000001101001010000100011101101110001110000101010000100001011011111001011110110101000000110111101010101110000001001000001010011110111010101011111010010100001101010100011110011011011011110010110010110010011000100110101111011000110101011110010010000000001110010110110 00000010000000000000000000000000000001110111001100101101110111111110001011100100101001011111010101011101111001110110001010101100011011011011001100001000100111001111010100111001100011111111111101001110011110100010000111111100111110111010000001100101111101010100001110001110110111000100001010010110000010000010100100101100100001001111001111001011101010110010110110010011110100010001101001100001010000010001010100010010000011100010110000000010000011011  102 faults detected
test   14: 00010000001110011110001011101001111011110111100011100001100111110010110011100011000010011100111011011110111111111101000100111111100110111101011101100100110111110000001011111011100010010000001101101100110001001001100111001111110110100000111001010011111011001010110111000111110100011000011110101001010110000110100111010100100111110100000010000111000011010111100000000010010110010100001101010010101000010111011101110111010100110101111000011110110101111101001010011100101100011110100101110 11100101101100111111100100010111111110001011110100101110100111110011000111101111101001000000000111101011000011100010101100001010011101000010101000000011100111011110111111011011001000110110011001101101100000010010001110111110100000011111011001001101110010011101101010011011111001010011100000101101111110011100110010010001111000111000101111110011110101010001110101100110111100000010110101111000111010001000111101100100010000110111101000001101010000101   62 faults detected
