[v4_hybrid gpu6] [2026-07-04T16:17:42+08:00] start name=v4_hybrid gpu=6 score_field=hybrid_pred checkpoint=runs/mainline_accuracy_improve_v4_reduction_sign/best.pt
[v4_hybrid gpu6] [gmean] 2026-07-04T16:17:42 out_dir=autoresearch/improve-260704-1035/b21_world_rerank_hard_scores/v4_hybrid
[v4_hybrid gpu6] [gmean] 2026-07-04T16:17:42 budgets=iscas99__b21:628
[v4_hybrid gpu6] [gmean] 2026-07-04T16:17:42 variant_start id=greedy__cumulative__hybrid_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[v4_hybrid gpu6] [gmean] 2026-07-04T16:17:42 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=hybrid_pred
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=1 node=N14400 type=observe hybrid_pred=-1.076758 sequence=-1.076758
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=2 node=__buf_split_217 type=control1 hybrid_pred=-1.086528 sequence=-2.163286
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=3 node=__buf_split_184 type=control1 hybrid_pred=-1.277782 sequence=-3.441068
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=4 node=__buf_split_184 type=control0 hybrid_pred=0.367341 sequence=-3.073727
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=5 node=N857 type=observe hybrid_pred=0.808153 sequence=-2.265573
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=6 node=__buf_split_217 type=control0 hybrid_pred=0.957362 sequence=-1.308211
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=7 node=N42299 type=observe hybrid_pred=1.060756 sequence=-0.247455
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=8 node=N48467 type=observe hybrid_pred=1.082799 sequence=0.835344
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=9 node=N48468 type=observe hybrid_pred=-0.068165 sequence=0.767179
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=10 node=N29757 type=observe hybrid_pred=-0.648093 sequence=0.119086
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=11 node=N29794 type=observe hybrid_pred=-0.414198 sequence=-0.295112
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=12 node=N29819 type=observe hybrid_pred=3.013114 sequence=2.718002
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=13 node=N8840 type=observe hybrid_pred=16.197540 sequence=18.915543
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=14 node=N8667 type=observe hybrid_pred=21.633381 sequence=40.548924
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=15 node=N8745 type=observe hybrid_pred=27.226770 sequence=67.775694
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=16 node=N14782 type=observe hybrid_pred=33.761307 sequence=101.537001
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=17 node=N42301 type=observe hybrid_pred=42.492913 sequence=144.029913
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=18 node=N48469 type=observe hybrid_pred=54.319466 sequence=198.349379
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=19 node=N42300 type=observe hybrid_pred=65.849148 sequence=264.198526
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=20 node=N8644 type=observe hybrid_pred=87.063184 sequence=351.261711
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=21 node=N8687 type=observe hybrid_pred=125.603108 sequence=476.864819
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=22 node=N34078 type=observe hybrid_pred=175.559941 sequence=652.424760
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=23 node=N8682 type=observe hybrid_pred=236.335312 sequence=888.760072
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=24 node=N8662 type=observe hybrid_pred=315.631724 sequence=1204.391796
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=25 node=N8672 type=observe hybrid_pred=408.785216 sequence=1613.177013
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=26 node=N8677 type=observe hybrid_pred=528.224724 sequence=2141.401736
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=27 node=N22482 type=observe hybrid_pred=656.107624 sequence=2797.509360
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=28 node=N22470 type=observe hybrid_pred=817.863554 sequence=3615.372914
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=29 node=N8815 type=observe hybrid_pred=1019.273527 sequence=4634.646442
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=30 node=N22433 type=observe hybrid_pred=1269.971418 sequence=5904.617860
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=31 node=N22446 type=observe hybrid_pred=1582.436218 sequence=7487.054078
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=32 node=N21937 type=observe hybrid_pred=1972.505424 sequence=9459.559503
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=33 node=N21946 type=observe hybrid_pred=2459.230106 sequence=11918.789609
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=34 node=N22481 type=observe hybrid_pred=3065.728695 sequence=14984.518304
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=35 node=N22458 type=observe hybrid_pred=3823.397438 sequence=18807.915742
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=36 node=N21039 type=observe hybrid_pred=4769.741776 sequence=23577.657518
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=37 node=N21048 type=observe hybrid_pred=5952.387291 sequence=29530.044809
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=38 node=N22469 type=observe hybrid_pred=7430.429764 sequence=36960.474572
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=39 node=N38623 type=observe hybrid_pred=9277.719421 sequence=46238.193994
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=40 node=N22432 type=observe hybrid_pred=11584.412735 sequence=57822.606729
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=41 node=N38593 type=observe hybrid_pred=14465.920593 sequence=72288.527322
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=42 node=N38500 type=observe hybrid_pred=18067.892639 sequence=90356.419961
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=43 node=N1241 type=observe hybrid_pred=22603.680328 sequence=112960.100289
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=44 node=N22420 type=observe hybrid_pred=28240.220642 sequence=141200.320932
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=45 node=N21038 type=observe hybrid_pred=35289.579773 sequence=176489.900705
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=46 node=N21047 type=observe hybrid_pred=44103.808777 sequence=220593.709481
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=47 node=N38491 type=observe hybrid_pred=55125.025024 sequence=275718.734506
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=48 node=N38608 type=observe hybrid_pred=68906.176514 sequence=344624.911019
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=49 node=N38578 type=observe hybrid_pred=86138.833984 sequence=430763.745004
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=50 node=N21936 type=observe hybrid_pred=107687.648926 sequence=538451.393930
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=51 node=N21945 type=observe hybrid_pred=134634.324219 sequence=673085.718148
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=52 node=N38482 type=observe hybrid_pred=168331.441406 sequence=841417.159555
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=53 node=N1442 type=observe hybrid_pred=210470.220703 sequence=1051887.380258
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=54 node=N1437 type=observe hybrid_pred=263166.188965 sequence=1315053.569223
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=55 node=N4490 type=observe hybrid_pred=329122.286133 sequence=1644175.855355
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=56 node=N29792 type=observe hybrid_pred=411561.572266 sequence=2055737.427621
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=57 node=N4687 type=observe hybrid_pred=514640.308594 sequence=2570377.736215
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=58 node=N8692 type=observe hybrid_pred=643548.453125 sequence=3213926.189340
[v4_hybrid gpu6] [plan iscas99__b21] [plan] step=59 node=__buf_split_19583 type=observe hybrid_pred=804788.150391 sequence=4018714.339730
