[v4_derived_hard_reduction_hybrid gpu5] [2026-07-04T16:17:42+08:00] start name=v4_derived_hard_reduction_hybrid gpu=5 score_field=derived_hard_reduction_hybrid_pred checkpoint=runs/mainline_accuracy_improve_v4_reduction_sign/best.pt
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 out_dir=autoresearch/improve-260704-1035/b21_world_rerank_hard_scores/v4_derived_hard_reduction_hybrid
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 budgets=iscas99__b21:628
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 variant_start id=greedy__cumulative__derived_hard_reduction_hybrid_pred__bw1__d1__c96__g1p0__candheuristic_recall_pool__div0p0__s0
[v4_derived_hard_reduction_hybrid gpu5] [gmean] 2026-07-04T16:17:42 [1/1] plan_start benchmark=iscas99__b21 budget=628 planner=greedy score=derived_hard_reduction_hybrid_pred
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=1 node=N29819 type=observe derived_hard_reduction_hybrid_pred=-6.329024 sequence=-6.329024
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=2 node=N29757 type=observe derived_hard_reduction_hybrid_pred=-0.288714 sequence=-6.617738
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=3 node=N29794 type=observe derived_hard_reduction_hybrid_pred=1.797600 sequence=-4.820138
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=4 node=N8840 type=observe derived_hard_reduction_hybrid_pred=6.484488 sequence=1.664349
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=5 node=N21937 type=observe derived_hard_reduction_hybrid_pred=3.115837 sequence=4.780186
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=6 node=N8672 type=observe derived_hard_reduction_hybrid_pred=3.438774 sequence=8.218960
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=7 node=__buf_split_12980 type=observe derived_hard_reduction_hybrid_pred=8.403718 sequence=16.622678
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=8 node=__buf_split_10165 type=observe derived_hard_reduction_hybrid_pred=16.476282 sequence=33.098960
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=9 node=__buf_split_12981 type=observe derived_hard_reduction_hybrid_pred=24.417390 sequence=57.516350
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=10 node=__buf_split_10166 type=observe derived_hard_reduction_hybrid_pred=34.319547 sequence=91.835897
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=11 node=__buf_split_12982 type=observe derived_hard_reduction_hybrid_pred=48.204759 sequence=140.040656
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=12 node=N4692 type=observe derived_hard_reduction_hybrid_pred=54.388297 sequence=194.428952
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=13 node=__buf_split_184 type=control0 derived_hard_reduction_hybrid_pred=-40.512040 sequence=153.916912
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=14 node=__buf_split_217 type=control0 derived_hard_reduction_hybrid_pred=-36.171100 sequence=117.745812
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=15 node=__buf_split_184 type=control1 derived_hard_reduction_hybrid_pred=-41.951144 sequence=75.794669
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=16 node=__buf_split_217 type=control1 derived_hard_reduction_hybrid_pred=-34.255725 sequence=41.538943
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=17 node=N857 type=observe derived_hard_reduction_hybrid_pred=-37.530267 sequence=4.008676
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=18 node=N27267 type=observe derived_hard_reduction_hybrid_pred=-44.736162 sequence=-40.727486
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=19 node=N24931 type=observe derived_hard_reduction_hybrid_pred=-49.109179 sequence=-89.836664
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=20 node=__buf_split_19584 type=observe derived_hard_reduction_hybrid_pred=-47.644797 sequence=-137.481461
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=21 node=N8163 type=observe derived_hard_reduction_hybrid_pred=-35.074639 sequence=-172.556101
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=22 node=N4112 type=observe derived_hard_reduction_hybrid_pred=-40.261546 sequence=-212.817646
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=23 node=N39437 type=control0 derived_hard_reduction_hybrid_pred=-14.347620 sequence=-227.165267
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=24 node=N39437 type=control1 derived_hard_reduction_hybrid_pred=-3.960879 sequence=-231.126146
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=25 node=N39470 type=control0 derived_hard_reduction_hybrid_pred=-1.363475 sequence=-232.489620
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=26 node=N39470 type=control1 derived_hard_reduction_hybrid_pred=-1.300661 sequence=-233.790282
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=27 node=N26421 type=observe derived_hard_reduction_hybrid_pred=-0.414933 sequence=-234.205215
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=28 node=N4083 type=observe derived_hard_reduction_hybrid_pred=-0.000253 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=29 node=N826 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=30 node=__buf_split_10167 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=31 node=N48468 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=32 node=N42300 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=33 node=N48469 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=34 node=N42301 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=35 node=N48467 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=36 node=N42299 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=37 node=N4687 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=38 node=N1437 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
[v4_derived_hard_reduction_hybrid gpu5] [plan iscas99__b21] [plan] step=39 node=N1442 type=observe derived_hard_reduction_hybrid_pred=0.000000 sequence=-234.205468
