benchmark_id,net,fault_count,hard_fault_count,hard_fault_ratio,status_counts,source_fault_csv_count,source_label_count
iscas99__b21,N14902,3,3,1.0,"{""UNDETECTED"": 3}",1,1
iscas99__b21,__tpi_cp_38_N15872,3,3,1.0,"{""UNDETECTED"": 3}",1,1
iscas99__b21,N10298,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10299,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10333,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10339,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10353,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10430,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10431,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10432,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10435,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N10439,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12517,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12549,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12630,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12633,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12634,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12636,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12637,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N12638,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N1433,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N1434,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14620,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14657,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14658,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14726,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14727,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14728,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14798,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14800,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14802,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14815,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N14901,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N15002,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N15790,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N15871,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N15940,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N15946,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N1672,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21031,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21033,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21035,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21038,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21200,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21201,2,2,1.0,"{""UNDETECTED"": 2}",1,1
iscas99__b21,N21936,2,2,1.0,"{""UNDETECTED"": 2}",1,1
