[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T05:04:46 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T05:04:46 budgets=iscas99__b15_1:278
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T05:04:46 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T05:04:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=1.229502 sequence=14.774917
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328313 sequence=16.103230
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N3722 type=control0 q_typed_reliable_context=0.925872 sequence=17.029102
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218350 sequence=18.247452
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N5143 type=observe q_typed_reliable_context=1.201420 sequence=19.448872
