[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [gmean] 2026-07-21T05:07:44 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [gmean] 2026-07-21T05:07:44 budgets=iscas99__b15_1:278
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [gmean] 2026-07-21T05:07:44 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [gmean] 2026-07-21T05:07:44 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.512523 sequence=15.057937
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_reliable_context=1.373860 sequence=16.431797
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N5143 type=observe q_typed_reliable_context=1.148462 sequence=17.580259
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N3644 type=control0 q_typed_reliable_context=1.790980 sequence=19.371239
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N3722 type=control0 q_typed_reliable_context=1.124525 sequence=20.495765
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.338738 sequence=21.834503
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.206667 sequence=23.041170
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N3911 type=control0 q_typed_reliable_context=0.960268 sequence=24.001438
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N2082 type=observe q_typed_reliable_context=1.068312 sequence=25.069750
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_reliable_context=2.000273 sequence=27.070023
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_reliable_context=2.187255 sequence=29.257278
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N557 type=control1 q_typed_reliable_context=1.708085 sequence=30.965363
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N7511 type=control1 q_typed_reliable_context=1.043420 sequence=32.008783
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N5203 type=control1 q_typed_reliable_context=2.152407 sequence=34.161190
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N2153 type=observe q_typed_reliable_context=2.309801 sequence=36.470991
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N1853 type=observe q_typed_reliable_context=2.642646 sequence=39.113637
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=3.998586 sequence=43.112223
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_reliable_context=3.005141 sequence=46.117364
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=3.356851 sequence=49.474215
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N1532 type=observe q_typed_reliable_context=4.330891 sequence=53.805106
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N583 type=control1 q_typed_reliable_context=3.102367 sequence=56.907473
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=2.554329 sequence=59.461802
[b15-reliable/prefix_toplist_sa/best_final_horizon/a0p40_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N7516 type=observe q_typed_reliable_context=2.360166 sequence=61.821968
