[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p10_h1_c2
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [gmean] 2026-07-21T04:52:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.233835 sequence=14.779250
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.107548
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.905235 sequence=17.012783
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_reliable_context=1.033173 sequence=18.045956
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_reliable_context=1.069766 sequence=19.115722
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_reliable_context=1.155792 sequence=20.271515
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p10_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=2.535033 sequence=22.806547
