[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [gmean] 2026-07-21T04:58:52 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/epoch_012/a0p20_h1_c2
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [gmean] 2026-07-21T04:58:52 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [gmean] 2026-07-21T04:58:52 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [gmean] 2026-07-21T04:58:52 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.316177 sequence=14.861591
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.189890
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N5143 type=observe q_typed_reliable_context=0.972051 sequence=17.161941
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218463 sequence=18.380404
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N3742 type=control0 q_typed_reliable_context=0.973034 sequence=19.353438
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N508 type=control1 q_typed_reliable_context=1.631955 sequence=20.985392
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=1.172254 sequence=22.157646
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.061053 sequence=23.218699
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=4.394699 sequence=27.613398
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.196223 sequence=29.809621
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=2.870865 sequence=32.680486
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_reliable_context=1.835264 sequence=34.515750
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_reliable_context=4.846944 sequence=39.362694
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N1372 type=observe q_typed_reliable_context=6.584243 sequence=45.946937
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N1532 type=observe q_typed_reliable_context=6.657343 sequence=52.604280
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N2082 type=observe q_typed_reliable_context=5.730000 sequence=58.334280
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=6.838155 sequence=65.172435
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_reliable_context=7.875690 sequence=73.048125
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_reliable_context=7.149741 sequence=80.197865
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_reliable_context=2.378970 sequence=82.576835
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_reliable_context=6.245268 sequence=88.822102
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=6.681520 sequence=95.503622
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=7.884149 sequence=103.387771
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_reliable_context=3.026778 sequence=106.414549
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=3.199267 sequence=109.613816
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=2.435670 sequence=112.049487
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.370000 sequence=120.419487
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=1.795357 sequence=122.214843
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=7.148880 sequence=129.363723
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_reliable_context=3.915000 sequence=133.278723
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_reliable_context=0.987440 sequence=134.266163
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N5234 type=observe q_typed_reliable_context=1.695034 sequence=135.961197
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=6.235299 sequence=142.196496
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N3813 type=control0 q_typed_reliable_context=0.830502 sequence=143.026998
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N3911 type=control0 q_typed_reliable_context=0.784866 sequence=143.811864
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_reliable_context=0.898656 sequence=144.710520
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N7891 type=control1 q_typed_reliable_context=1.698705 sequence=146.409225
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N3904 type=control0 q_typed_reliable_context=0.848194 sequence=147.257419
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N4656 type=control0 q_typed_reliable_context=2.793691 sequence=150.051110
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_reliable_context=2.546898 sequence=152.598008
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_reliable_context=2.413257 sequence=155.011265
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N7882 type=control1 q_typed_reliable_context=1.453404 sequence=156.464669
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N7885 type=control1 q_typed_reliable_context=1.678384 sequence=158.143054
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N4663 type=control0 q_typed_reliable_context=3.064279 sequence=161.207333
[b15-reliable/prefix_cql_sa/epoch_012/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N713 type=observe q_typed_reliable_context=3.114709 sequence=164.322042
