[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T04:52:59 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/reliable_stage2/prefix_cql_sa/best_final_horizon/a0p20_h1_c2
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T04:52:59 budgets=iscas99__b15_1:278
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T04:52:59 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [gmean] 2026-07-21T04:52:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=5.195585 sequence=5.195585
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=4.636675 sequence=9.832260
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=1.993262 sequence=11.825522
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.719893 sequence=13.545415
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_reliable_context=1.332654 sequence=14.878069
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.328298 sequence=16.206367
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=7 node=N5143 type=observe q_typed_reliable_context=0.942750 sequence=17.149117
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=8 node=N557 type=control1 q_typed_reliable_context=1.218463 sequence=18.367579
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_reliable_context=0.976661 sequence=19.344240
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_reliable_context=1.149561 sequence=20.493801
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_reliable_context=2.330970 sequence=22.824771
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_reliable_context=1.410721 sequence=24.235492
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_reliable_context=3.581173 sequence=27.816665
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_reliable_context=2.341499 sequence=30.158164
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=2.695543 sequence=32.853707
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_reliable_context=1.863891 sequence=34.717599
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_reliable_context=4.513745 sequence=39.231344
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=18 node=N1372 type=observe q_typed_reliable_context=6.202604 sequence=45.433948
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=19 node=N1532 type=observe q_typed_reliable_context=6.790385 sequence=52.224333
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=20 node=N2082 type=observe q_typed_reliable_context=6.095744 sequence=58.320077
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=7.052405 sequence=65.372482
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=22 node=N1860 type=observe q_typed_reliable_context=7.792356 sequence=73.164838
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_reliable_context=6.824466 sequence=79.989304
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_reliable_context=2.526188 sequence=82.515492
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_reliable_context=6.272700 sequence=88.788191
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_reliable_context=7.296504 sequence=96.084695
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_reliable_context=8.112641 sequence=104.197337
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_reliable_context=2.965181 sequence=107.162518
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=3.497591 sequence=110.660109
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_reliable_context=2.965588 sequence=113.625697
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_reliable_context=8.370000 sequence=121.995697
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_reliable_context=1.952182 sequence=123.947879
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_reliable_context=7.143571 sequence=131.091450
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=34 node=N3903 type=control0 q_typed_reliable_context=1.082558 sequence=132.174008
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=35 node=N4649 type=control0 q_typed_reliable_context=6.214056 sequence=138.388064
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=36 node=N2044 type=observe q_typed_reliable_context=0.959770 sequence=139.347834
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=37 node=N5234 type=observe q_typed_reliable_context=1.903424 sequence=141.251258
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_reliable_context=0.842895 sequence=142.094154
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=2.787427 sequence=144.881581
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=40 node=N7891 type=control1 q_typed_reliable_context=1.103753 sequence=145.985334
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=41 node=N2314 type=control1 q_typed_reliable_context=1.211790 sequence=147.197123
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=42 node=N4663 type=control0 q_typed_reliable_context=3.387666 sequence=150.584789
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=43 node=N2040 type=observe q_typed_reliable_context=1.024822 sequence=151.609611
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=44 node=N7883 type=control1 q_typed_reliable_context=1.772949 sequence=153.382560
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=45 node=N7884 type=control1 q_typed_reliable_context=1.260309 sequence=154.642869
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=46 node=N713 type=observe q_typed_reliable_context=3.372300 sequence=158.015169
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=47 node=N4670 type=control0 q_typed_reliable_context=3.461360 sequence=161.476528
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=48 node=N724 type=observe q_typed_reliable_context=2.897699 sequence=164.374228
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=49 node=N704 type=observe q_typed_reliable_context=3.181031 sequence=167.555259
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=50 node=N4677 type=control0 q_typed_reliable_context=3.607188 sequence=171.162446
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=51 node=N7882 type=control1 q_typed_reliable_context=1.326685 sequence=172.489131
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=52 node=N7886 type=control1 q_typed_reliable_context=1.254997 sequence=173.744128
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=53 node=N7887 type=control1 q_typed_reliable_context=1.370415 sequence=175.114543
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=54 node=N4684 type=control0 q_typed_reliable_context=2.037727 sequence=177.152270
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=55 node=N3701 type=control0 q_typed_reliable_context=0.927568 sequence=178.079838
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=56 node=N3722 type=control0 q_typed_reliable_context=0.980898 sequence=179.060735
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=57 node=N4691 type=control0 q_typed_reliable_context=1.810567 sequence=180.871302
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=58 node=N7885 type=control1 q_typed_reliable_context=1.226553 sequence=182.097855
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=59 node=N7889 type=control1 q_typed_reliable_context=1.087050 sequence=183.184905
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=60 node=N4606 type=control0 q_typed_reliable_context=1.171685 sequence=184.356589
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=61 node=N4698 type=control0 q_typed_reliable_context=1.572604 sequence=185.929193
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=62 node=N4705 type=control0 q_typed_reliable_context=1.392375 sequence=187.321569
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=63 node=N4585 type=control0 q_typed_reliable_context=0.663530 sequence=187.985099
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=64 node=N4712 type=control0 q_typed_reliable_context=1.132205 sequence=189.117305
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=65 node=N7890 type=control1 q_typed_reliable_context=0.893575 sequence=190.010879
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=66 node=N3889 type=control0 q_typed_reliable_context=1.200763 sequence=191.211642
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=67 node=N4716 type=control0 q_typed_reliable_context=1.182094 sequence=192.393736
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=68 node=N3882 type=control0 q_typed_reliable_context=0.914230 sequence=193.307966
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=69 node=N722 type=observe q_typed_reliable_context=1.614247 sequence=194.922213
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=70 node=N3805 type=control0 q_typed_reliable_context=2.193986 sequence=197.116199
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=71 node=N3911 type=control0 q_typed_reliable_context=2.027208 sequence=199.143407
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=72 node=N3862 type=control0 q_typed_reliable_context=2.093033 sequence=201.236440
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=73 node=N3855 type=control0 q_typed_reliable_context=2.316961 sequence=203.553401
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=74 node=N3848 type=control0 q_typed_reliable_context=2.009859 sequence=205.563260
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=75 node=N3827 type=control0 q_typed_reliable_context=2.598086 sequence=208.161346
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=76 node=N3820 type=control0 q_typed_reliable_context=4.431796 sequence=212.593142
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=77 node=N3813 type=control0 q_typed_reliable_context=4.688896 sequence=217.282039
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=78 node=N4557 type=control0 q_typed_reliable_context=4.964689 sequence=222.246728
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=79 node=N7854 type=control0 q_typed_reliable_context=4.323754 sequence=226.570482
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=80 node=N3841 type=control0 q_typed_reliable_context=2.862034 sequence=229.432516
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=81 node=N4578 type=control0 q_typed_reliable_context=2.617670 sequence=232.050186
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=82 node=N4564 type=control0 q_typed_reliable_context=2.316449 sequence=234.366635
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=83 node=N7724 type=control0 q_typed_reliable_context=2.104499 sequence=236.471134
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=84 node=N7721 type=control0 q_typed_reliable_context=2.881257 sequence=239.352391
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=85 node=N7471 type=control0 q_typed_reliable_context=2.910537 sequence=242.262928
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=86 node=N7722 type=control0 q_typed_reliable_context=2.128387 sequence=244.391315
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=87 node=N504 type=control1 q_typed_reliable_context=2.080533 sequence=246.471847
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=88 node=N4520 type=control0 q_typed_reliable_context=2.310582 sequence=248.782429
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=89 node=N7881 type=control1 q_typed_reliable_context=2.529263 sequence=251.311692
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=90 node=N7888 type=control1 q_typed_reliable_context=2.349552 sequence=253.661244
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=91 node=N519 type=control1 q_typed_reliable_context=3.165653 sequence=256.826897
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=92 node=N7723 type=control0 q_typed_reliable_context=2.129407 sequence=258.956304
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=93 node=N2083 type=observe q_typed_reliable_context=1.820967 sequence=260.777271
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=94 node=N516 type=control1 q_typed_reliable_context=3.513798 sequence=264.291069
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=95 node=N7725 type=control0 q_typed_reliable_context=1.440024 sequence=265.731093
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=96 node=N7846 type=control0 q_typed_reliable_context=2.281135 sequence=268.012228
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=97 node=N3904 type=control0 q_typed_reliable_context=2.329216 sequence=270.341444
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=98 node=N7541 type=control0 q_typed_reliable_context=2.431674 sequence=272.773118
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=99 node=N7408 type=control0 q_typed_reliable_context=2.927126 sequence=275.700245
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=100 node=N7847 type=control0 q_typed_reliable_context=5.769986 sequence=281.470230
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=101 node=N7852 type=control0 q_typed_reliable_context=6.707015 sequence=288.177246
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=102 node=N7853 type=control0 q_typed_reliable_context=4.985082 sequence=293.162328
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=103 node=N3897 type=control0 q_typed_reliable_context=5.854364 sequence=299.016692
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=104 node=N8005 type=control0 q_typed_reliable_context=4.718361 sequence=303.735052
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=105 node=N3799 type=control0 q_typed_reliable_context=3.277320 sequence=307.012372
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=106 node=N1533 type=control1 q_typed_reliable_context=2.916970 sequence=309.929342
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=107 node=N3792 type=control0 q_typed_reliable_context=4.841875 sequence=314.771217
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=108 node=N2580 type=control1 q_typed_reliable_context=4.048750 sequence=318.819967
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=109 node=N3681 type=control0 q_typed_reliable_context=3.220721 sequence=322.040688
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=110 node=N3785 type=control0 q_typed_reliable_context=3.072329 sequence=325.113017
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=111 node=N7370 type=control1 q_typed_reliable_context=1.979518 sequence=327.092535
[b15-reliable/prefix_cql_sa/best_final_horizon/a0p20_h1_c2] [plan iscas99__b15_1] [plan] step=112 node=N7421 type=control1 q_typed_reliable_context=1.972498 sequence=329.065033
