* Log file for the circuit netlist_full_scan.bench.
* Number of faults detected by each test pattern:

test    1: 0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 1100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001010111111101110100011100000100000001000010011111000000001111010001111010111110101010011011111111111101010101011001111111111011001101101111010001011111010111100100110010110011111010011111010010010100000000000010000010010000100011100000000000100100000000000000000001101111111010000011010001110011110001 3495 faults detected
test    2: 1110100110010000100100100001001101101011011000001001000101100100010010111100100110000111010000101101101111111001111011110001010110111011110101011010110011001000110110001101101001101011101011100010000010001110111011101110001111111000101000110011010001110001110111101111000010100100010010011101000101100100000001110110100111110110100011000110001101001000010001001101101100111111010100011110000100011010011001010011010000010000110010101100001110010101100011111001011000001010100100101001100100001100011110001001101000100110011 0101111011111111111111111111111110000011011111001001101111110110011011011111111110111001101011010101111011101101010111101111001111111011011010000101001000110110001101101001101011101011100010000010001110111011101100101001000100100111010001011001111111111111111111111111111111001011100101101111011111111111111111111111111111111010110001000011110001010111111011001001110110111101101001110100110011111111111111111001001011101010111111111111111110001111111101100110011011100001100100111101001001001000110000011111001111001100101011100101001010011101011000100011011111001101110111110001110101010010000000100001000010110100110110110110110101001110110111101111000011011110101111010000011100001010001001010001101010100101110011101110011001000011101111010111010111111111110010111101010000000001011100000000110000010010 3413 faults detected
test    3: 0100111010010110110100111011011000001001011001100101100110010001001010111000111011101010100100011110100110111110011001111010010111010010001001111011111110000101101000011001010110110010000100111010101001011101001100111001010000010001000101000110010010000100101010110010011011100101100110011010010101011111101100101111100100000000001011100100110100000101000110100100110111110001010110101010000101111010101010001001111010101111011110011010011001111101111111000000001000110011010101000010100001011110010111010111001100100100000 0001000100000010011111010011011100110111111000011001010100110001010001000100000101001111111011110010001001011101001111001100111110110010111100010010000101101000011001010110110010000100111010101001011101001100111010111001011001100110100101010111101001011001100101100110010001001011000010110100011111010000101000010101011001100010111101000010101011010100011110000111110001000000111000001001011010101000100111101010111101111001101001100111110111111100000000100100000101010111011100011101010010100110001000001011001110101110000000101010111001010111000100011111011001000101001101111001010111100010000101001000011010000001001110110111110111011011101011000001011111111110101110111101101100001010011001010010110110001010100110100011000010000011110010111000100100111011110111111110011000000101000000000000111100001101 2074 faults detected
test    4: 0010001110110011110100111111001110101010010110011100101001100000110000011101110101111111010110100110110010101011110100111001110111011001111001000111110110100001001011111101001111011010111001000100001111100110000011001011111000101001011101110111100001000000111000111101111110001011110111011011011001001110011101000010101011010101101010110001111011111101111001101100011000101011110101000001111010010000111000001100010111000111100110000011010001110000111000100000110011001110001100101000101000001111100011011000000010001111110 0101011110101101010100001011100111111000011111001111100011110111011101001010001111101101111100010011110011011101101110010111101010100110110010110001100001001011111101001111011010111001000100001111100110000011001011100010111101110110110110010011101010110110011100001001100000100101000001011110111110000010100010100110001110011000000000000000000000000000000000111001001100001000000100001111110011100000110001011100011110011000110000111001101001101011000110001111111011111110101110111000001111001111101001010011010111111111111111111111010110101111001111110111100110101100010111110001110101110011011001111101101110010100110111110100111101010010011111101111111110111100111111011111001000000110111010110111110100010110111101011111010101000011010000101111110010011111111111000011010000010001011010000000010000001100 2136 faults detected
test    5: 0100110100010111000010100010110010000110100010101010011001010100010000100000001000101011101011011101110100111111101101001001011101101100011110001010100111111101110010100001111011010111100001011010011011010010100001110000101111010100101001000100000110000011011010100101010001110111110110100111100011000001010000101111111101111101001101001100100110111100000010100011011110111100101110101000010000100101010111011011111010111101101101111001111110001010000011111110111111111000011010100100100010111010000100101111101001010101111 1011111011111111111111111111101011001111111001011101110010010001111011111111111111111100101010001111000110110111010000100000001000101011101110101101111101110010100001111011010111100001011010011011010010100001110000011101111101101001111000110000111111111111111111111111111111111100100100101011001111111111111111111111011111111101001000010000101011101001111010100110101001111000010000010001011101111111111111101011111111111111111111111110101010011111111011110101110111010100010000000100001011100110010010111001111111111111111111111101111110010001010011101111101011001101111111010001010110110010001000110000111011101000100100011111110111011011001111101111011111100111111101111001011100001011011001010000101110001010111010000100011110000001100000001011110100001100000010111101001000000001001100101110010000001010  935 faults detected
test    6: 1100010000010110111110100110100101111011101011010011100100111000001110100010100001011011110011110001010101100000101010111011011011001100110101110110111101000011010110010100001111110101011000000111100111001011110001111001101001011011011010110010110100011011010100011011011110010000010110100001010010001110011010001011111110011000100011110110100110001010000010000000011101100111101111100001011100100100111110011000001000011111101101001011100010111101101010111110100101000001100011001101000110011001000000111000101001100001100 1100010101100111111101000101100110111101100010010110000110100110101101101101001011010111101101110101100110011011001110101010000011010101000111100111000011010110010100001111110101011000000111100111001011110001111011100100000101101000010100100011111011001011010011100100111000011100111001111100010011001100010110011000110000010101001001110100001111101111001100111111110111110101110011010011110011111001100000100001111110110100101110001011110110101011111010000001101111011010000101000101110100001100001101111001101001110101011010010111100110111101110101100111001111011101001101100000000001000100001101101000111100000110000010101011010100011101111110001000011111101101110010111110001101001010011001100011101011011101111110000011000101001111100001001000100101110000111000111101111101000000100101101110011001011101  956 faults detected
test    7: 1111011011111111100011011110011010100101001010110001001101110110010011011100100000000100001111010011111111110010011011101110000111101100111101101010100100100001010100000010101010101010110101100011001100001010101011101101111001011100010011100011100000110110011110101011100001000000100110000000000000000001001000101111001000010100000011011010000000110111100001101110111011100110111001100010101100110101010001100111100110000100111111101000000101110001000010010010010011000010001000010110001111000001000001010001010001110111011 0001111111111111101111111111111110001011000000000100100111110011111101011101111111000100101010110111100110111100010101000000000100000000011010001110100001010100000010101010101010110101100011001100001010101011101100010000001001100000000000000000111111111111111111111111111111000000000000000000001111111111101111111111101111111100000000000000000000000000000010010001010111000010011111110101110101101110010010111000010011111001011011100100101110000100111110010111010000100000000100111011001001110101001011100011010111111101111101111101110111111111001010111101100110011000110111110001110101010010011011010001010011110001111111111111111001001101101011100111100011101100111111110100111010001010011010010011101100010000101101101100010010000000100110110001111110001101000101111111000000000001001100101110110000000010  934 faults detected
test    8: 1100001010101100100101010110111111100001100110101001000100101011011000010001100000010101101100001111111001100010010100100011100101111001011000010001111001111001011111001001110101111110011100101011101111101001010100010100010000001110100111010011110111111011011111111001100011000011011110100000101100001000001011001111001110100101011100001010110010101110111000011101011110010101101011110101100000100101101111111001011000010000111101100110011001001011011011101100101011000100010110101110111100000101000010100000000111001001001 0011111011110111101111101111101011001001011110101011110111100111110011111111111111010011110001000011010011110100111000010001100000010101100010010111111001011111001001110101111110011100101011101111101001010100010100110000110111101000001011000010111111111111111111111111111111000000000000000000001111111111111111111101111110111100000000000000000000000000000010101001000100010001010110010110110110101111010010101011001000100111101011110100101010110010001001101001000110101000000110001000011000111111011110010111010111111101111111111111111111011011001110110111101001111001111111110001110100011010001001110101100110110000111101111110110111100000101111100111110011010110101101111110101011001010111011011110101000111000010110110100010100000111000000000101110100011110110000111100111001010101011110111110000000001010  514 faults detected
test    9: 1100110110011001001001001100110000100111001011110100001000101110000000000111100111001000000011111101100001100001110111001011001001010000011001101110111000110010010011101001001101011010011100001011111001000000011110000110011000000110111000001101001001100010110110111010010000011111010111011110101111100111011111100110111000111111001100100001111111100111101110000110000110000001101110111000000001110001010111001101011110011001011111100010100100100001001111111111100000000010111110100001001010001001000111001000001001010001101 1111111111110111111111111111101101111111111101011111101111011100111111111011111111100011101110110011000001010010010011100001001011101100111001001111110010010011101001001101011010011100001011111001000000011110000100000111110101110111101011111001111111111111111111111111111111000000000000000000001111111111011111111111111111111100011100000000111011101100000010001100001110111100111111110000111101011110110011101001001001110001010111101100111010010010011100010001100000010011100111100000000011101111100011001101011111111101111101111101011111011111111011101001101111011101011111110001010100010010100000010001010011100100101100111111111011110001010011111111000110101111101111010011111101001011111010010000101110101110000010011111010011100000111100011111111101101100000101111111101001000101001110101110010000010010  569 faults detected
test   10: 0010111011111100001111110111100111000101101001000001111001001000001000010100101110111010101111011101111011100101100110000100000001010101010011100111010110101101001110100101101101101010000001011101101101110010010111000101000001000100110000001000011100010101101100101100110111000111100011000001011010011101000100000100010111010000101001000101101100101000100000000100111001110010001111010010010111011011101000001101100100010111110011011010101101010101110101111001000010001111101110011101101101000101110101010011000111110100101 1101111011111111101111101111101000100100110010010000011101011010111111111011111111101101011100111001010101010000011000010100101110111010100100101100101101001110100101101101101010000001011101101101110010010111000101110001111000110000010110100111111111111111111111111111111111100110000110001000101111011111111111111111111110111110110111010010010111100010011111000011100110010100011010000001000110100010110111010011011111001101101010111101010111110111100101010100100101011101110100101000010010100100001000001011110111111111110111111101100110011111011110110111000001011001010111110001110100010010010001110101010010110000111111111110111001111110001111110111000011101110111101110111111111001011111011010011101000011011101011100100011010000011111110011001010110011110110010000001011000010001011100111110010000000010  278 faults detected
