deep_node	original_net	original_gate	original_order
N522	U25	NAND	0
N523	U26	NAND	1
N524	U27	NAND	2
N525	U28	NAND	3
N526	U29	NAND	4
N527	U30	NAND	5
N528	U31	NAND	6
N529	U32	NAND	7
N530	U33	NAND	8
N531	U34	NAND	9
N532	U35	NAND	10
N533	U36	NAND	11
N534	U37	NAND	12
N535	U38	NAND	13
N536	U39	NAND	14
N537	U40	NAND	15
N538	U41	NAND	16
N539	U42	NAND	17
N540	U43	NAND	18
N541	U44	NAND	19
N542	U45	NAND	20
N543	U46	NAND	21
N544	U47	NAND	22
N545	U48	NAND	23
N546	U49	NAND	24
N547	U50	NAND	25
N548	U51	NAND	26
N549	U52	NAND	27
N550	U53	NAND	28
N551	U54	NAND	29
N552	U55	NAND	30
N553	U56	NAND	31
N554	U57	NAND	32
N555	U58	NAND	33
N556	U59	NAND	34
N557	U60	NAND	35
N558	U61	NAND	36
N559	U62	NAND	37
N560	U63	NAND	38
N561	U64	NAND	39
N562	U65	NAND	40
N563	U66	NAND	41
N564	U67	NAND	42
N565	U68	NAND	43
N566	U69	NAND	44
N567	U70	NAND	45
N568	U71	NAND	46
N569	U72	NAND	47
N570	U73	NAND	48
N571	U74	NAND	49
N572	U75	NAND	50
N573	U76	NAND	51
N574	U77	NAND	52
N575	U78	NAND	53
N576	U79	NAND	54
N577	U80	NAND	55
N578	U81	NAND	56
N579	U82	NAND	57
N580	U83	NAND	58
N581	U84	NAND	59
N582	U85	NAND	60
N583	U86	NAND	61
N584	U87	NAND	62
N585	U88	NAND	63
N586	U89	NAND	64
N587	U90	NAND	65
N588	U91	NAND	66
N589	U92	NAND	67
N590	U93	NAND	68
N591	U94	NAND	69
N592	U95	NAND	70
N593	U96	NAND	71
N594	U97	NAND	72
N595	U98	NAND	73
N596	U99	NAND	74
N597	U100	NAND	75
N598	U101	NAND	76
N599	U102	NAND	77
N600	U103	NAND	78
N601	U104	NAND	79
N602	U105	NAND	80
N603	U106	NAND	81
N604	U107	NAND	82
N605	U108	NAND	83
N606	U109	NAND	84
N607	U110	NAND	85
N608	U111	NAND	86
N609	U112	NAND	87
N610	U113	NAND	88
N611	U114	NAND	89
N612	U115	NAND	90
N613	U116	NAND	91
N614	U117	NAND	92
N615	U118	NAND	93
N616	U119	NAND	94
N617	U120	NAND	95
N618	U121	NOT	96
N619	U122	NOT	97
N621	U124	NOT	99
N622	U125	NOT	100
N624	U127	NAND	102
N625	U128	NAND	103
N626	U129	NAND	104
N627	U130	NOT	105
N628	U131	NAND	106
N629	U132	NAND	107
N630	U133	NAND	108
N631	U134	NAND	109
N632	U135	NAND	110
N633	U136	NAND	111
N634	U137	NAND	112
N635	U138	NAND	113
N636	U139	NAND	114
N637	U140	NAND	115
N638	U141	NAND	116
N639	U142	NAND	117
N640	U143	NAND	118
N641	U144	NAND	119
N642	U145	NAND	120
N643	U146	NAND	121
N644	U147	NAND	122
N645	U148	NAND	123
N646	U149	NAND	124
N647	U150	NAND	125
N648	U151	NAND	126
N649	U152	NAND	127
N650	U153	NAND	128
N651	U154	NAND	129
N652	U155	NAND	130
N653	U156	NAND	131
N654	U157	NAND	132
N655	U158	NAND	133
N656	U159	NAND	134
N657	U160	NAND	135
N658	U161	NAND	136
N659	U162	NAND	137
N660	U163	NAND	138
N661	U164	NAND	139
N662	U165	NAND	140
N663	U166	NAND	141
N664	U167	NAND	142
N665	U168	NAND	143
N666	U169	NAND	144
N667	U170	NAND	145
N668	U171	NAND	146
N669	U172	NAND	147
N670	U173	NAND	148
N671	U174	NAND	149
N672	U175	NAND	150
N673	U176	NAND	151
N674	U177	NAND	152
N675	U178	NAND	153
N676	U179	NAND	154
N677	U180	NAND	155
N678	U181	NAND	156
N679	U182	NAND	157
N680	U183	NAND	158
N681	U184	NAND	159
N682	U185	NAND	160
N683	U186	NAND	161
N684	U187	NAND	162
N685	U188	NAND	163
N686	U189	NAND	164
N687	U190	NAND	165
N688	U191	NAND	166
N689	U192	NAND	167
N690	U193	NAND	168
N691	U194	NAND	169
N692	U195	NAND	170
N693	U196	NAND	171
N694	U197	NAND	172
N695	U198	NAND	173
N696	U199	NAND	174
N697	U200	NAND	175
N698	U201	NAND	176
N699	U202	NAND	177
N700	U203	NAND	178
N701	U204	NAND	179
N702	U205	NAND	180
N703	U206	NAND	181
N704	U207	NAND	182
N705	U208	NAND	183
N706	U209	NAND	184
N707	U210	NAND	185
N708	U211	NAND	186
N709	U212	NAND	187
N710	U213	NAND	188
N711	U214	NAND	189
N712	U215	NAND	190
N713	U216	NAND	191
N714	U217	NAND	192
N715	U218	NAND	193
N716	U219	NAND	194
N717	U220	NAND	195
N718	U221	NAND	196
N719	U222	NAND	197
N720	U223	NAND	198
N721	U224	NAND	199
N722	U225	NAND	200
N723	U226	NAND	201
N724	U227	NAND	202
N725	U228	NAND	203
N726	U229	NAND	204
N727	U230	NAND	205
N728	U231	NAND	206
N729	U232	NAND	207
N730	U233	NAND	208
N731	U234	NAND	209
N732	U235	NAND	210
N733	U236	NAND	211
N734	U237	NAND	212
N735	U238	NAND	213
N736	U239	NAND	214
N737	U240	NAND	215
N738	U241	NAND	216
N739	U242	NAND	217
N740	U243	NAND	218
N741	U244	NAND	219
N742	U245	NAND	220
N743	U246	NAND	221
N744	U247	NAND	222
N745	U248	NAND	223
N746	U249	NAND	224
N747	U250	NAND	225
N748	U251	NAND	226
N749	U252	NAND	227
N750	U253	NAND	228
N751	U254	NAND	229
N752	U255	NAND	230
N753	U256	NAND	231
N754	U257	NAND	232
N755	U258	NAND	233
N756	U259	NAND	234
N757	U260	NAND	235
N758	U261	NAND	236
N759	U262	NAND	237
N760	U263	NAND	238
N761	U264	NAND	239
N762	U265	NAND	240
N763	U266	NAND	241
N764	U267	NAND	242
N765	U268	NAND	243
N766	U269	NAND	244
N767	U270	NAND	245
N768	U271	NAND	246
N769	U272	NAND	247
N770	U273	NAND	248
N771	U274	NAND	249
N772	U275	NAND	250
N773	U276	NAND	251
N774	U277	NAND	252
N775	U278	NAND	253
N776	U279	NAND	254
N777	U280	NAND	255
N778	U281	NAND	256
N779	U282	NAND	257
N780	U283	NAND	258
N781	U284	NAND	259
N782	U285	NAND	260
N783	U286	NAND	261
N784	U287	NAND	262
N785	U288	NAND	263
N786	U289	NAND	264
N787	U290	NAND	265
N788	U291	NAND	266
N789	U292	NAND	267
N790	U293	NAND	268
N791	U294	NAND	269
N792	U295	NAND	270
N793	U296	NAND	271
N794	U297	NAND	272
N795	U298	NAND	273
N796	U299	NAND	274
N797	U300	NAND	275
N798	U301	NAND	276
N799	U302	NAND	277
N800	U303	NAND	278
N801	U304	NAND	279
N802	U305	NAND	280
N803	U306	NAND	281
N804	U307	NAND	282
N805	U308	NAND	283
N806	U309	NAND	284
N807	U310	NAND	285
N808	U311	NAND	286
N809	U312	NAND	287
N810	U313	NAND	288
N811	U314	NAND	289
N812	U315	NAND	290
N813	U316	NAND	291
N814	U317	NAND	292
N815	U318	NAND	293
N816	U319	NAND	294
N817	U320	NAND	295
N818	U321	NAND	296
N819	U322	NAND	297
N820	U323	NAND	298
N821	U324	NAND	299
N822	U325	NAND	300
N823	U326	NAND	301
N824	P1_U3014	AND	302
N825	P1_U3015	AND	303
N826	P1_U3016	AND	304
N827	P1_U3017	AND	305
N828	P1_U3018	AND	306
N829	P1_U3019	AND	307
N830	P1_U3020	AND	308
N831	P1_U3021	AND	309
N832	P1_U3022	AND	310
N833	P1_U3023	AND	311
N834	P1_U3024	AND	312
N835	P1_U3025	AND	313
N836	P1_U3026	AND	314
N837	P1_U3027	AND	315
N838	P1_U3028	AND	316
N839	P1_U3029	AND	317
N840	P1_U3030	AND	318
N841	P1_U3031	AND	319
N842	P1_U3032	AND	320
N843	P1_U3033	AND	321
N844	P1_U3034	AND	322
N845	P1_U3035	AND	323
N846	P1_U3036	AND	324
N847	P1_U3037	AND	325
N848	P1_U3038	AND	326
N849	P1_U3039	AND	327
N850	P1_U3040	AND	328
N851	P1_U3041	AND	329
N852	P1_U3042	AND	330
N853	P1_U3043	AND	331
N854	P1_U3044	AND	332
N855	P1_U3045	AND	333
N856	P1_U3046	AND	334
N857	P1_U3047	AND	335
N858	P1_U3048	AND	336
N859	P1_U3049	AND	337
N860	P1_U3050	AND	338
N861	P1_U3051	AND	339
N862	P1_U3052	AND	340
N863	P1_U3053	NAND	341
N864	P1_U3054	NAND	342
N865	P1_U3055	NAND	343
N866	P1_U3056	NAND	344
N867	P1_U3057	NAND	345
N868	P1_U3058	NAND	346
N869	P1_U3059	NAND	347
N870	P1_U3060	NAND	348
N871	P1_U3061	NAND	349
N872	P1_U3062	NAND	350
N873	P1_U3063	NAND	351
N874	P1_U3064	NAND	352
N875	P1_U3065	NAND	353
N876	P1_U3066	NAND	354
N877	P1_U3067	NAND	355
N878	P1_U3068	NAND	356
N879	P1_U3069	NAND	357
N880	P1_U3070	NAND	358
N881	P1_U3071	NAND	359
N882	P1_U3072	NAND	360
N883	P1_U3073	NAND	361
N884	P1_U3074	NAND	362
N885	P1_U3075	NAND	363
N886	P1_U3076	NAND	364
N887	P1_U3077	NAND	365
N888	P1_U3078	NAND	366
N889	P1_U3079	NAND	367
N890	P1_U3080	NAND	368
N891	P1_U3081	NAND	369
N892	P1_U3082	NAND	370
