[b15-moe-decay/d32/a0.05] [gmean] 2026-07-21T15:31:40 out_dir=autoresearch/loop-260720-0945/model_training_round8/b15_selection/moe_long_decay/decay_32/alpha_0p05
[b15-moe-decay/d32/a0.05] [gmean] 2026-07-21T15:31:40 budgets=iscas99__b15_1:278
[b15-moe-decay/d32/a0.05] [gmean] 2026-07-21T15:31:40 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-moe-decay/d32/a0.05] [gmean] 2026-07-21T15:31:40 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254916 sequence=8.112980
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.305087
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.751181
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.880506 sequence=12.631687
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.120751
[b15-moe-decay/d32/a0.05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.031691
