[b15-moe-decay/d32/a0.20] [gmean] 2026-07-21T15:31:40 out_dir=autoresearch/loop-260720-0945/model_training_round8/b15_selection/moe_long_decay/decay_32/alpha_0p20
[b15-moe-decay/d32/a0.20] [gmean] 2026-07-21T15:31:40 budgets=iscas99__b15_1:278
[b15-moe-decay/d32/a0.20] [gmean] 2026-07-21T15:31:40 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-moe-decay/d32/a0.20] [gmean] 2026-07-21T15:31:40 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.260373 sequence=8.118438
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.310544
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.756638
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.926865 sequence=12.683503
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.172567
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.083507
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.181448
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.410464 sequence=17.591912
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.149636
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.475213
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.925806
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.181128
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.579797
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.180173
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.998705 sequence=29.178878
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.923921
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=18 node=N3605 type=observe q_typed_reliable_context=1.486660 sequence=32.410581
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=2.415941 sequence=34.826522
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=1.954320 sequence=36.780842
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_reliable_context=3.030042 sequence=39.810884
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=22 node=N1853 type=observe q_typed_reliable_context=1.926047 sequence=41.736931
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=23 node=N1372 type=observe q_typed_reliable_context=1.897686 sequence=43.634617
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_reliable_context=2.001304 sequence=45.635921
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=25 node=N1532 type=observe q_typed_reliable_context=1.795748 sequence=47.431669
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_reliable_context=1.142084 sequence=48.573753
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=27 node=N5723 type=control0 q_typed_reliable_context=0.940753 sequence=49.514505
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=28 node=N7516 type=observe q_typed_reliable_context=0.751717 sequence=50.266222
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.901967 sequence=51.168189
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.926025 sequence=52.094214
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=31 node=N5234 type=observe q_typed_reliable_context=0.412678 sequence=52.506893
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=32 node=N4670 type=control0 q_typed_reliable_context=1.863766 sequence=54.370658
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=33 node=N4663 type=control0 q_typed_reliable_context=1.676020 sequence=56.046678
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=34 node=N7411 type=control1 q_typed_reliable_context=0.742931 sequence=56.789610
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=35 node=N7413 type=control1 q_typed_reliable_context=0.741420 sequence=57.531030
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=36 node=N7891 type=control1 q_typed_reliable_context=1.059216 sequence=58.590246
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=37 node=N4691 type=control0 q_typed_reliable_context=2.000897 sequence=60.591143
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=38 node=N4677 type=control0 q_typed_reliable_context=3.212145 sequence=63.803288
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_reliable_context=1.972371 sequence=65.775659
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=40 node=N713 type=observe q_typed_reliable_context=2.290611 sequence=68.066270
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=41 node=N4684 type=control0 q_typed_reliable_context=3.099029 sequence=71.165299
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=42 node=N6537 type=observe q_typed_reliable_context=4.595591 sequence=75.760890
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=43 node=N8470 type=observe q_typed_reliable_context=2.273476 sequence=78.034366
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=44 node=N724 type=observe q_typed_reliable_context=2.615271 sequence=80.649637
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=45 node=N4698 type=control0 q_typed_reliable_context=3.717012 sequence=84.366650
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=46 node=N4649 type=control0 q_typed_reliable_context=3.172579 sequence=87.539228
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=47 node=N4635 type=control0 q_typed_reliable_context=3.148838 sequence=90.688066
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=48 node=N2044 type=observe q_typed_reliable_context=1.881839 sequence=92.569906
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=49 node=N4705 type=control0 q_typed_reliable_context=7.590119 sequence=100.160024
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=50 node=N2042 type=observe q_typed_reliable_context=0.936805 sequence=101.096829
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=51 node=N2040 type=observe q_typed_reliable_context=1.143552 sequence=102.240381
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=52 node=N3911 type=control0 q_typed_reliable_context=0.847442 sequence=103.087823
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=53 node=N4712 type=control0 q_typed_reliable_context=3.608948 sequence=106.696771
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=54 node=N899 type=observe q_typed_reliable_context=0.947736 sequence=107.644507
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=55 node=N7889 type=control1 q_typed_reliable_context=0.787965 sequence=108.432472
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=56 node=N4716 type=control0 q_typed_reliable_context=2.002656 sequence=110.435128
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=57 node=N7887 type=control1 q_typed_reliable_context=1.004305 sequence=111.439434
[b15-moe-decay/d32/a0.20] [plan iscas99__b15_1] [plan] step=58 node=N7506 type=observe q_typed_reliable_context=1.974146 sequence=113.413580
