[b15-moe-decay/d0/a0.05] [gmean] 2026-07-21T15:35:46 out_dir=autoresearch/loop-260720-0945/model_training_round8/b15_selection/moe_long_decay/decay_0/alpha_0p05
[b15-moe-decay/d0/a0.05] [gmean] 2026-07-21T15:35:46 budgets=iscas99__b15_1:278
[b15-moe-decay/d0/a0.05] [gmean] 2026-07-21T15:35:46 variant_start id=greedy__cumulative__q_typed_reliable_context__bw1__d1__c64__g1p0__candhard_fault_cluster__div0p0__s0
[b15-moe-decay/d0/a0.05] [gmean] 2026-07-21T15:35:46 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_reliable_context
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_reliable_context=4.858065 sequence=4.858065
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_reliable_context=3.254973 sequence=8.113038
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_reliable_context=2.192107 sequence=10.305145
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_reliable_context=1.446094 sequence=11.751239
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_reliable_context=0.882564 sequence=12.633803
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_reliable_context=1.489064 sequence=14.122867
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_reliable_context=0.910940 sequence=15.033807
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=8 node=N3756 type=control0 q_typed_reliable_context=1.097941 sequence=16.131748
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=9 node=N564 type=control1 q_typed_reliable_context=1.339800 sequence=17.471548
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=10 node=N2336 type=control1 q_typed_reliable_context=1.557724 sequence=19.029272
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=11 node=N5143 type=observe q_typed_reliable_context=1.325577 sequence=20.354849
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=12 node=N7511 type=control1 q_typed_reliable_context=1.450593 sequence=21.805442
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=13 node=N580 type=control1 q_typed_reliable_context=1.255322 sequence=23.060764
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=14 node=N2082 type=observe q_typed_reliable_context=1.398669 sequence=24.459433
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_reliable_context=3.600376 sequence=28.059809
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=16 node=N3722 type=control0 q_typed_reliable_context=0.916428 sequence=28.976237
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=17 node=N496 type=control1 q_typed_reliable_context=1.745042 sequence=30.721280
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=18 node=N5723 type=control0 q_typed_reliable_context=1.392575 sequence=32.113855
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=19 node=N5203 type=control1 q_typed_reliable_context=1.998558 sequence=34.112413
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=20 node=N2153 type=observe q_typed_reliable_context=2.156696 sequence=36.269109
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=21 node=N1853 type=observe q_typed_reliable_context=2.699753 sequence=38.968862
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=22 node=N2101 type=observe q_typed_reliable_context=2.305795 sequence=41.274657
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=23 node=N4656 type=control0 q_typed_reliable_context=2.866512 sequence=44.141170
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=24 node=N1860 type=observe q_typed_reliable_context=2.518051 sequence=46.659221
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=25 node=N1372 type=observe q_typed_reliable_context=1.819977 sequence=48.479199
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=26 node=N1532 type=observe q_typed_reliable_context=1.537273 sequence=50.016472
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=27 node=N582 type=control1 q_typed_reliable_context=1.330602 sequence=51.347074
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=28 node=N766 type=control1 q_typed_reliable_context=0.728204 sequence=52.075278
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=29 node=N1437 type=control1 q_typed_reliable_context=0.837137 sequence=52.912415
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=30 node=N583 type=control1 q_typed_reliable_context=0.936163 sequence=53.848578
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=31 node=N893 type=observe q_typed_reliable_context=0.820322 sequence=54.668901
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=32 node=N4684 type=control0 q_typed_reliable_context=3.296948 sequence=57.965849
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=33 node=N7411 type=control1 q_typed_reliable_context=0.654658 sequence=58.620507
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_reliable_context=0.358449 sequence=58.978956
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=35 node=N4677 type=control0 q_typed_reliable_context=2.065111 sequence=61.044067
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=36 node=N4663 type=control0 q_typed_reliable_context=3.006613 sequence=64.050679
[b15-moe-decay/d0/a0.05] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_reliable_context=1.717735 sequence=65.768414
