[b15-round2/typed_balanced/alpha_0p35] [gmean] 2026-07-20T18:54:08 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_balanced/alpha_0p35
[b15-round2/typed_balanced/alpha_0p35] [gmean] 2026-07-20T18:54:08 budgets=iscas99__b15_1:278
[b15-round2/typed_balanced/alpha_0p35] [gmean] 2026-07-20T18:54:08 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_balanced/alpha_0p35] [gmean] 2026-07-20T18:54:08 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.292064 sequence=5.292064
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.986675 sequence=10.278739
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.256690 sequence=12.535429
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.860891 sequence=14.396320
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.346525 sequence=15.742845
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.366005 sequence=17.108851
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.336043 sequence=18.444893
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=8 node=N507 type=control1 q_typed_residual_context=1.131292 sequence=19.576185
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=9 node=N3644 type=control0 q_typed_residual_context=1.638624 sequence=21.214809
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.475576 sequence=22.690385
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.938391 sequence=24.628776
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.682020 sequence=26.310796
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.393037 sequence=27.703833
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.937422 sequence=29.641255
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=3.040182 sequence=32.681437
[b15-round2/typed_balanced/alpha_0p35] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.627334 sequence=36.308771
