[b15-round2/typed_rank/alpha_0p05] [gmean] 2026-07-20T19:00:33 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_rank/alpha_0p05
[b15-round2/typed_rank/alpha_0p05] [gmean] 2026-07-20T19:00:33 budgets=iscas99__b15_1:278
[b15-round2/typed_rank/alpha_0p05] [gmean] 2026-07-20T19:00:33 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_rank/alpha_0p05] [gmean] 2026-07-20T19:00:33 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.235542 sequence=5.235542
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.686675 sequence=9.922217
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.043262 sequence=11.965479
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.769893 sequence=13.735372
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.188502 sequence=14.923874
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.093056 sequence=16.016930
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.986317 sequence=17.003246
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.052328 sequence=18.055575
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.990231 sequence=19.045805
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.139519 sequence=20.185324
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.297481 sequence=22.482805
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.608332 sequence=24.091137
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.262181 sequence=27.353318
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.177520 sequence=30.530839
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.844148 sequence=33.374986
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.849788 sequence=35.224774
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.740240 sequence=39.965014
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.631054 sequence=44.596068
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.325425 sequence=49.921493
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.825944 sequence=54.747437
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.207715 sequence=58.955151
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.810694 sequence=65.765845
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.155846 sequence=71.921691
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=6.032943 sequence=77.954634
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.718897 sequence=83.673531
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.956275 sequence=90.629806
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.433612 sequence=96.063419
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.451708 sequence=100.515127
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.421657 sequence=104.936784
[b15-round2/typed_rank/alpha_0p05] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.351966 sequence=109.288749
