[b15-round2/typed_balanced/alpha_0p50] [gmean] 2026-07-20T18:54:08 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_balanced/alpha_0p50
[b15-round2/typed_balanced/alpha_0p50] [gmean] 2026-07-20T18:54:08 budgets=iscas99__b15_1:278
[b15-round2/typed_balanced/alpha_0p50] [gmean] 2026-07-20T18:54:08 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_balanced/alpha_0p50] [gmean] 2026-07-20T18:54:08 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.333412 sequence=5.333412
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=5.136675 sequence=10.470087
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.369588 sequence=12.839675
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.921319 sequence=14.760994
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.437016 sequence=16.198010
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.460719 sequence=17.658728
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.430972 sequence=19.089701
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=8 node=N507 type=control1 q_typed_residual_context=1.216864 sequence=20.306565
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=9 node=N3644 type=control0 q_typed_residual_context=1.610546 sequence=21.917111
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.467848 sequence=23.384959
[b15-round2/typed_balanced/alpha_0p50] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=1.907274 sequence=25.292233
