[b15-round2/typed_balanced/alpha_0p05] [gmean] 2026-07-20T18:54:08 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_balanced/alpha_0p05
[b15-round2/typed_balanced/alpha_0p05] [gmean] 2026-07-20T18:54:08 budgets=iscas99__b15_1:278
[b15-round2/typed_balanced/alpha_0p05] [gmean] 2026-07-20T18:54:08 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_balanced/alpha_0p05] [gmean] 2026-07-20T18:54:08 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.209368 sequence=5.209368
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.686675 sequence=9.896043
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.030895 sequence=11.926937
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.740035 sequence=13.666973
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.183888 sequence=14.850860
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.088409 sequence=15.939269
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.007610 sequence=16.946879
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.045514 sequence=17.992393
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.987665 sequence=18.980058
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124442 sequence=20.104500
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.280913 sequence=22.385413
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.625582 sequence=24.010995
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.240372 sequence=27.251367
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.177520 sequence=30.428887
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.844148 sequence=33.273035
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=16 node=N2153 type=observe q_typed_residual_context=1.847704 sequence=35.120738
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=4.954040 sequence=40.074778
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=18 node=N2082 type=observe q_typed_residual_context=5.764999 sequence=45.839777
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=6.346918 sequence=52.186695
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=5.339985 sequence=57.526680
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.661763 sequence=62.188443
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=5.693886 sequence=67.882329
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=23 node=N496 type=control1 q_typed_residual_context=6.986314 sequence=74.868643
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=24 node=N5723 type=control0 q_typed_residual_context=4.779523 sequence=79.648166
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=6.241815 sequence=85.889981
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=26 node=N582 type=control1 q_typed_residual_context=7.137897 sequence=93.027877
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=8.007741 sequence=101.035618
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=28 node=N7511 type=control1 q_typed_residual_context=2.997408 sequence=104.033026
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=29 node=N7411 type=control1 q_typed_residual_context=3.371003 sequence=107.404029
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=3.535000 sequence=110.939029
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.445133 sequence=119.384162
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=32 node=N7891 type=control1 q_typed_residual_context=5.393016 sequence=124.777177
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_residual_context=5.020000 sequence=129.797177
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=34 node=N583 type=control1 q_typed_residual_context=7.296127 sequence=137.093304
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=35 node=N578 type=observe q_typed_residual_context=6.697100 sequence=143.790404
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=6.390000 sequence=150.180404
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=37 node=N2314 type=control1 q_typed_residual_context=7.430000 sequence=157.610404
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=38 node=N4649 type=control0 q_typed_residual_context=8.090000 sequence=165.700404
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=39 node=N2042 type=observe q_typed_residual_context=5.680000 sequence=171.380404
[b15-round2/typed_balanced/alpha_0p05] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=3.420000 sequence=174.800404
