[b15-round2/typed_rank/alpha_0p35] [gmean] 2026-07-20T19:00:33 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_rank/alpha_0p35
[b15-round2/typed_rank/alpha_0p35] [gmean] 2026-07-20T19:00:33 budgets=iscas99__b15_1:278
[b15-round2/typed_rank/alpha_0p35] [gmean] 2026-07-20T19:00:33 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_rank/alpha_0p35] [gmean] 2026-07-20T19:00:33 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.475284 sequence=5.475284
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.986675 sequence=10.461959
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.343262 sequence=12.805221
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=2.069893 sequence=14.875114
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.330013 sequence=16.205127
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.380417 sequence=17.585544
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.177972 sequence=18.763516
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=8 node=N507 type=control1 q_typed_residual_context=1.144377 sequence=19.907893
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=9 node=N3644 type=control0 q_typed_residual_context=1.661266 sequence=21.569159
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.563943 sequence=23.133102
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.050515 sequence=25.183618
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.507724 sequence=26.691341
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.389731 sequence=28.081073
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.979106 sequence=30.060178
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=3.040183 sequence=33.100361
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.627331 sequence=36.727692
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=2.221910 sequence=38.949602
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=5.671243 sequence=44.620845
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.671030 sequence=51.291875
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=20 node=N1372 type=observe q_typed_residual_context=5.770589 sequence=57.062464
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_residual_context=6.926596 sequence=63.989060
[b15-round2/typed_rank/alpha_0p35] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=6.202169 sequence=70.191229
