[b15-round2/typed_rank/alpha_0p50] [gmean] 2026-07-20T19:00:33 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_rank/alpha_0p50
[b15-round2/typed_rank/alpha_0p50] [gmean] 2026-07-20T19:00:33 budgets=iscas99__b15_1:278
[b15-round2/typed_rank/alpha_0p50] [gmean] 2026-07-20T19:00:33 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_rank/alpha_0p50] [gmean] 2026-07-20T19:00:33 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.595156 sequence=5.595156
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=5.136675 sequence=10.731830
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.493262 sequence=13.225093
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=2.219893 sequence=15.444985
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.413584 sequence=16.858569
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=6 node=N3742 type=control0 q_typed_residual_context=1.481340 sequence=18.339909
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=1.205130 sequence=19.545039
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=8 node=N507 type=control1 q_typed_residual_context=1.235576 sequence=20.780615
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=9 node=N3644 type=control0 q_typed_residual_context=1.642875 sequence=22.423490
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=10 node=N5143 type=observe q_typed_residual_context=1.591930 sequence=24.015420
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.067407 sequence=26.082827
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.568828 sequence=27.651655
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.389731 sequence=29.041386
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=2.124689 sequence=31.166075
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=3.190183 sequence=34.356258
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.777331 sequence=38.133589
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=2.297879 sequence=40.431468
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=5.821243 sequence=46.252710
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.821030 sequence=53.073740
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=20 node=N1372 type=observe q_typed_residual_context=5.920589 sequence=58.994329
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=21 node=N2101 type=observe q_typed_residual_context=7.076596 sequence=66.070925
[b15-round2/typed_rank/alpha_0p50] [plan iscas99__b15_1] [plan] step=22 node=N1532 type=observe q_typed_residual_context=6.352169 sequence=72.423094
