[b15-round2/typed_balanced/alpha_0p10] [gmean] 2026-07-20T18:54:08 out_dir=autoresearch/loop-260720-0945/model_training_round2/b15_selection/typed_balanced/alpha_0p10
[b15-round2/typed_balanced/alpha_0p10] [gmean] 2026-07-20T18:54:08 budgets=iscas99__b15_1:278
[b15-round2/typed_balanced/alpha_0p10] [gmean] 2026-07-20T18:54:08 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-round2/typed_balanced/alpha_0p10] [gmean] 2026-07-20T18:54:08 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.223150 sequence=5.223150
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.736675 sequence=9.959825
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.068527 sequence=12.028353
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.760178 sequence=13.788531
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.195524 sequence=14.984055
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.324375 sequence=16.308430
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.962411 sequence=17.270840
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.062005 sequence=18.332845
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.153088 sequence=19.485934
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=10 node=N3756 type=control0 q_typed_residual_context=1.155447 sequence=20.641381
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.516941 sequence=23.158322
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.243315 sequence=24.401637
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=13 node=N5203 type=control1 q_typed_residual_context=1.276585 sequence=25.678223
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=14 node=N2083 type=observe q_typed_residual_context=1.471969 sequence=27.150192
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=15 node=N3605 type=observe q_typed_residual_context=2.701386 sequence=29.851577
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=16 node=N2082 type=observe q_typed_residual_context=2.642035 sequence=32.493613
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=17 node=N1853 type=observe q_typed_residual_context=2.458123 sequence=34.951735
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=18 node=N737 type=control1 q_typed_residual_context=3.740619 sequence=38.692354
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=19 node=N1564 type=control1 q_typed_residual_context=2.642945 sequence=41.335299
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.854978 sequence=47.190277
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=21 node=N496 type=control1 q_typed_residual_context=3.232379 sequence=50.422656
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=22 node=N7516 type=observe q_typed_residual_context=2.592526 sequence=53.015182
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=23 node=N582 type=control1 q_typed_residual_context=5.774108 sequence=58.789290
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=24 node=N580 type=control1 q_typed_residual_context=2.126944 sequence=60.916234
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=25 node=N5234 type=observe q_typed_residual_context=1.110883 sequence=62.027116
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=26 node=N7511 type=control1 q_typed_residual_context=4.186835 sequence=66.213952
[b15-round2/typed_balanced/alpha_0p10] [plan iscas99__b15_1] [plan] step=27 node=N766 type=control1 q_typed_residual_context=6.937681 sequence=73.151633
