deep_node	original_net	original_gate	original_order
N1452	U207	AND	0
N1453	U208	AND	1
N1454	U209	AND	2
N1455	U210	AND	3
N1456	U211	AND	4
N1459	U214	NAND	7
N1460	U215	NAND	8
N1493	U248	NOT	41
N1494	U249	NOT	42
N1495	U250	NAND	43
N1528	U283	NAND	76
N1529	U284	NAND	77
N1530	U285	NAND	78
N1531	U286	NAND	79
N1532	U287	NAND	80
N1533	U288	NAND	81
N1534	U289	NAND	82
N1535	U290	NAND	83
N1536	U291	NAND	84
N1537	U292	NAND	85
N1538	U293	NAND	86
N1539	U294	NAND	87
N1540	U295	NAND	88
N1541	U296	NAND	89
N1542	U297	NAND	90
N1543	U298	NAND	91
N1544	U299	NAND	92
N1545	U300	NAND	93
N1546	U301	NAND	94
N1547	U302	NAND	95
N1548	U303	NAND	96
N1549	U304	NAND	97
N1550	U305	NAND	98
N1551	U306	NAND	99
N1552	U307	NAND	100
N1553	U308	NAND	101
N1554	U309	NAND	102
N1555	U310	NAND	103
N1556	U311	NAND	104
N1557	U312	NAND	105
N1558	U313	NAND	106
N1559	U314	NAND	107
N1560	U315	NAND	108
N1561	U316	NAND	109
N1562	U317	NAND	110
N1563	U318	NAND	111
N1564	U319	NAND	112
N1565	U320	NAND	113
N1566	U321	NAND	114
N1567	U322	NAND	115
N1568	U323	NAND	116
N1569	U324	NAND	117
N1570	U325	NAND	118
N1571	U326	NAND	119
N1572	U327	NAND	120
N1573	U328	NAND	121
N1574	U329	NAND	122
N1575	U330	NAND	123
N1576	U331	NAND	124
N1577	U332	NAND	125
N1578	U333	NAND	126
N1579	U334	NAND	127
N1580	U335	NAND	128
N1581	U336	NAND	129
N1582	U337	NAND	130
N1583	U338	NAND	131
N1584	U339	NAND	132
N1585	U340	NAND	133
N1586	U341	NAND	134
N1587	U342	NAND	135
N1588	U343	NAND	136
N1589	U344	NAND	137
N1590	U345	NAND	138
N1591	U346	NAND	139
N1622	U377	NOR	170
N1623	U378	NOR	171
N1624	U379	NOR	172
N1625	U380	NOR	173
N1626	U381	NOR	174
N1627	U382	NAND	175
N1628	U383	NOT	176
N1629	U384	NOT	177
N1630	U385	NOT	178
N1631	U386	NOT	179
N1632	U387	NAND	180
N1633	U388	NOT	181
N1634	U389	NAND	182
N1635	U390	NAND	183
N1636	U391	NAND	184
N1637	U392	NAND	185
N1638	U393	NAND	186
N1639	U394	NAND	187
N1640	U395	NAND	188
N1641	U396	NAND	189
N1642	U397	NAND	190
N1643	U398	NAND	191
N1644	U399	NAND	192
N1645	U400	NAND	193
N1646	U401	NAND	194
N1647	U402	NAND	195
N1648	U403	NAND	196
N1649	U404	NAND	197
N1650	U405	NAND	198
N1651	U406	NAND	199
N1652	U407	NAND	200
N1653	U408	NAND	201
N1654	U409	NAND	202
N1655	U410	NAND	203
N1656	U411	NAND	204
N1657	U412	NAND	205
N1658	U413	NAND	206
N1659	U414	NAND	207
N1660	U415	NAND	208
N1661	U416	NAND	209
N1662	U417	NAND	210
N1663	U418	NAND	211
