step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N29819,observe,0.6513161659240723,0.6513161659240723,0.05800018832087517,0.0005800018832087517,-0.24584372341632843,0.06171974539756775,0.05800018832087517,-0.014154653996229172,-0.1929991990327835,-0.03781082108616829,28299.40625,372.4569091796875,27926.94921875,30090.482421875,261.0044860839844,29829.478515625,-0.06329023838043213,0.2992357611656189,-0.06812521070241928,-6.329023838043213,-1.2957454659044743,-1.3855354161933064,-6.329023838043213,-6.329023838043213,-6.329023838043213,greedy,-6.329023838043213,0.0,heuristic_recall_pool
2,N29757,observe,0.4382251799106598,0.4382251799106598,0.1325196623802185,0.001325196623802185,-0.5179319381713867,-0.05772772431373596,-0.05772772431373596,-0.0026315078139305115,-0.21637819707393646,-0.040556568652391434,30091.666015625,260.9796142578125,29830.685546875,30178.544921875,280.89691162109375,29897.6484375,-0.002887141890823841,-0.0763174444437027,-0.002244765404611826,-0.2887141890823841,-0.1883588433265686,-0.2444527968764305,-0.2887141890823841,-6.617738027125597,-6.617738027125597,greedy,-0.2887141890823841,0.0,heuristic_recall_pool
3,N29794,observe,0.19892746210098267,0.19892746210098267,1.7395435571670532,0.01739543557167053,-0.5865662097930908,1.1049821376800537,1.1049821376800537,0.055719923228025436,-0.08197087794542313,-0.05386614426970482,30177.72265625,280.8861999511719,29896.8359375,29635.248046875,276.9943542480469,29358.25390625,0.01797599531710148,0.01385559607297182,0.018014682456851006,1.7975995317101479,8.41651801764965,6.28312374651432,1.7975995317101479,-4.820138495415449,-4.820138495415449,greedy,1.7975995317101479,0.0,heuristic_recall_pool
4,N8840,observe,0.10416792333126068,0.10416792333126068,2.7146804332733154,0.027146804332733154,-0.6714655160903931,1.716127872467041,1.716127872467041,0.07913324236869812,-0.051306091248989105,-0.06732577085494995,29634.63671875,276.9910583496094,29357.646484375,27712.982421875,273.72076416015625,27439.26171875,0.06484487652778625,0.011806497350335121,0.06534531712532043,6.4844876527786255,12.344132542610168,9.021026313304901,6.4844876527786255,1.6643491573631763,1.6643491573631763,greedy,6.4844876527786255,0.0,heuristic_recall_pool
5,N21937,observe,0.04568898677825928,0.04568898677825928,3.638777256011963,0.03638777256011963,-0.7529089450836182,2.2605185508728027,2.2605185508728027,0.0986652821302414,-0.011214934289455414,-0.08024202287197113,27714.015625,273.72454833984375,27440.291015625,26850.4921875,204.3935546875,26646.099609375,0.031158365309238434,0.2532874643802643,0.0289425291121006,3.1158365309238434,15.765824019908905,11.34135216474533,3.1158365309238434,4.78018568828702,4.78018568828702,greedy,3.1158365309238434,0.0,heuristic_recall_pool
6,N8672,observe,0.005900144577026367,0.005900144577026367,4.6502814292907715,0.046502814292907715,-0.8431989550590515,2.875112771987915,2.875112771987915,0.12248122692108154,0.02507205680012703,-0.09205763041973114,26849.138671875,204.38656616210938,26644.751953125,25925.857421875,160.0404815673828,25765.81640625,0.0343877412378788,0.21697162091732025,0.032987192273139954,3.43877412378788,19.77351689338684,14.129471242427826,3.43877412378788,8.2189598120749,8.2189598120749,greedy,3.43877412378788,0.0,heuristic_recall_pool
7,__buf_split_12980,observe,-0.05125844478607178,-0.05125844478607178,6.152324199676514,0.061523241996765135,-0.9629748463630676,3.941192626953125,3.941192626953125,0.16142123937606812,0.04009091481566429,-0.08948743343353271,25928.09375,160.0492706298828,25768.044921875,23749.169921875,151.35440063476562,23597.81640625,0.0840371772646904,0.05432620644569397,0.08422169834375381,8.40371772646904,26.23564076423645,18.66550314426422,8.40371772646904,16.62267753854394,16.62267753854394,greedy,8.40371772646904,0.0,heuristic_recall_pool
8,__buf_split_10165,observe,-0.14899298548698425,-0.14899298548698425,8.417311668395996,0.08417311668395996,-1.1167689561843872,5.652297019958496,5.652297019958496,0.21618005633354187,0.0183201115578413,-0.06718729436397552,23748.96875,151.3516845703125,23597.6171875,19836.021484375,140.9818878173828,19695.0390625,0.16476282477378845,0.06851457804441452,0.16538017988204956,16.476282477378845,35.68761432170868,25.13540780544281,16.476282477378845,33.098960015922785,33.098960015922785,greedy,16.476282477378845,0.0,heuristic_recall_pool
9,__buf_split_12981,observe,-0.2694510221481323,-0.2694510221481323,11.072772026062012,0.11072772026062011,-1.3060961961746216,7.81162166595459,7.81162166595459,0.2531680464744568,-0.039994195103645325,-0.02325419709086418,19840.48828125,140.98995971679688,19699.498046875,14995.958984375,146.76953125,14849.189453125,0.24417389929294586,-0.04099278897047043,0.2462148368358612,24.417389929294586,44.20119833946228,30.03790307044983,24.417389929294586,57.51634994521737,57.51634994521737,greedy,24.417389929294586,0.0,heuristic_recall_pool
10,__buf_split_10166,observe,-0.4325579106807709,-0.4325579106807709,14.476482391357422,0.14476482391357423,-1.5316659212112427,10.820271492004395,10.820271492004395,0.3143232464790344,-0.13695146143436432,0.041379883885383606,14996.009765625,146.7686767578125,14849.2412109375,9849.447265625,175.09913635253906,9674.34765625,0.34319546818733215,-0.19302797317504883,0.3484954833984375,34.319546818733215,56.72907853126526,37.7565131187439,34.319546818733215,91.83589676395059,91.83589676395059,greedy,34.319546818733215,0.0,heuristic_recall_pool
