deep_node	original_net	original_kind	original_gate	original_order	deep_gate	boundary_exact	local_truth_exact	global_signature_exact	deep_is_sink	paper_candidate_legal
N0	DATAI_31_	PI	INPUT	0	INPUT	True	True	True	False	False
N1	DATAI_30_	PI	INPUT	1	INPUT	True	True	True	False	False
N2	DATAI_29_	PI	INPUT	2	INPUT	True	True	True	False	False
N3	DATAI_28_	PI	INPUT	3	INPUT	True	True	True	False	False
N4	DATAI_27_	PI	INPUT	4	INPUT	True	True	True	False	False
N5	DATAI_26_	PI	INPUT	5	INPUT	True	True	True	False	False
N6	DATAI_25_	PI	INPUT	6	INPUT	True	True	True	False	False
N7	DATAI_24_	PI	INPUT	7	INPUT	True	True	True	False	False
N8	DATAI_23_	PI	INPUT	8	INPUT	True	True	True	False	False
N9	DATAI_22_	PI	INPUT	9	INPUT	True	True	True	False	False
N10	DATAI_21_	PI	INPUT	10	INPUT	True	True	True	False	False
N11	DATAI_20_	PI	INPUT	11	INPUT	True	True	True	False	False
N12	DATAI_19_	PI	INPUT	12	INPUT	True	True	True	False	False
N13	DATAI_18_	PI	INPUT	13	INPUT	True	True	True	False	False
N14	DATAI_17_	PI	INPUT	14	INPUT	True	True	True	False	False
N15	DATAI_16_	PI	INPUT	15	INPUT	True	True	True	False	False
N16	DATAI_15_	PI	INPUT	16	INPUT	True	True	True	False	False
N17	DATAI_14_	PI	INPUT	17	INPUT	True	True	True	False	False
N18	DATAI_13_	PI	INPUT	18	INPUT	True	True	True	False	False
N19	DATAI_12_	PI	INPUT	19	INPUT	True	True	True	False	False
N20	DATAI_11_	PI	INPUT	20	INPUT	True	True	True	False	False
N21	DATAI_10_	PI	INPUT	21	INPUT	True	True	True	False	False
N22	DATAI_9_	PI	INPUT	22	INPUT	True	True	True	False	False
N23	DATAI_8_	PI	INPUT	23	INPUT	True	True	True	False	False
N24	DATAI_7_	PI	INPUT	24	INPUT	True	True	True	False	False
N25	DATAI_6_	PI	INPUT	25	INPUT	True	True	True	False	False
N26	DATAI_5_	PI	INPUT	26	INPUT	True	True	True	False	False
N27	DATAI_4_	PI	INPUT	27	INPUT	True	True	True	False	False
N28	DATAI_3_	PI	INPUT	28	INPUT	True	True	True	False	False
N29	DATAI_2_	PI	INPUT	29	INPUT	True	True	True	False	False
N30	DATAI_1_	PI	INPUT	30	INPUT	True	True	True	False	False
N31	DATAI_0_	PI	INPUT	31	INPUT	True	True	True	False	False
N32	MEMORYFETCH_REG_SCAN_IN	PI	INPUT	32	INPUT	True	True	True	False	False
N33	NA_N	PI	INPUT	33	INPUT	True	True	True	False	False
N34	BS16_N	PI	INPUT	34	INPUT	True	True	True	False	False
N35	READY_N	PI	INPUT	35	INPUT	True	True	True	False	False
N36	HOLD	PI	INPUT	36	INPUT	True	True	True	False	False
N37	READREQUEST_REG_SCAN_IN	PI	INPUT	37	INPUT	True	True	True	False	False
N38	ADS_N_REG_SCAN_IN	PI	INPUT	38	INPUT	True	True	True	False	False
N39	CODEFETCH_REG_SCAN_IN	PI	INPUT	39	INPUT	True	True	True	False	False
N40	M_IO_N_REG_SCAN_IN	PI	INPUT	40	INPUT	True	True	True	False	False
N41	D_C_N_REG_SCAN_IN	PI	INPUT	41	INPUT	True	True	True	False	False
N42	REQUESTPENDING_REG_SCAN_IN	PI	INPUT	42	INPUT	True	True	True	False	False
N43	STATEBS16_REG_SCAN_IN	PI	INPUT	43	INPUT	True	True	True	False	False
N44	MORE_REG_SCAN_IN	PI	INPUT	44	INPUT	True	True	True	False	False
N45	FLUSH_REG_SCAN_IN	PI	INPUT	45	INPUT	True	True	True	False	False
N46	W_R_N_REG_SCAN_IN	PI	INPUT	46	INPUT	True	True	True	False	False
N47	BYTEENABLE_REG_0__SCAN_IN	PI	INPUT	47	INPUT	True	True	True	False	False
N48	BYTEENABLE_REG_1__SCAN_IN	PI	INPUT	48	INPUT	True	True	True	False	False
N49	BYTEENABLE_REG_2__SCAN_IN	PI	INPUT	49	INPUT	True	True	True	False	False
N50	BYTEENABLE_REG_3__SCAN_IN	PI	INPUT	50	INPUT	True	True	True	False	False
N51	REIP_REG_31__SCAN_IN	PI	INPUT	51	INPUT	True	True	True	False	False
N52	REIP_REG_30__SCAN_IN	PI	INPUT	52	INPUT	True	True	True	False	False
N53	REIP_REG_29__SCAN_IN	PI	INPUT	53	INPUT	True	True	True	False	False
N54	REIP_REG_28__SCAN_IN	PI	INPUT	54	INPUT	True	True	True	False	False
N55	REIP_REG_27__SCAN_IN	PI	INPUT	55	INPUT	True	True	True	False	False
N56	REIP_REG_26__SCAN_IN	PI	INPUT	56	INPUT	True	True	True	False	False
N57	REIP_REG_25__SCAN_IN	PI	INPUT	57	INPUT	True	True	True	False	False
N58	REIP_REG_24__SCAN_IN	PI	INPUT	58	INPUT	True	True	True	False	False
N59	REIP_REG_23__SCAN_IN	PI	INPUT	59	INPUT	True	True	True	False	False
N60	REIP_REG_22__SCAN_IN	PI	INPUT	60	INPUT	True	True	True	False	False
N61	REIP_REG_21__SCAN_IN	PI	INPUT	61	INPUT	True	True	True	False	False
N62	REIP_REG_20__SCAN_IN	PI	INPUT	62	INPUT	True	True	True	False	False
N63	REIP_REG_19__SCAN_IN	PI	INPUT	63	INPUT	True	True	True	False	False
N64	REIP_REG_18__SCAN_IN	PI	INPUT	64	INPUT	True	True	True	False	False
N65	REIP_REG_17__SCAN_IN	PI	INPUT	65	INPUT	True	True	True	False	False
N66	REIP_REG_16__SCAN_IN	PI	INPUT	66	INPUT	True	True	True	False	False
N67	BE_N_REG_3__SCAN_IN	PI	INPUT	67	INPUT	True	True	True	False	False
N68	BE_N_REG_2__SCAN_IN	PI	INPUT	68	INPUT	True	True	True	False	False
N69	BE_N_REG_1__SCAN_IN	PI	INPUT	69	INPUT	True	True	True	False	False
N70	BE_N_REG_0__SCAN_IN	PI	INPUT	70	INPUT	True	True	True	False	False
N71	ADDRESS_REG_29__SCAN_IN	PI	INPUT	71	INPUT	True	True	True	False	False
N72	ADDRESS_REG_28__SCAN_IN	PI	INPUT	72	INPUT	True	True	True	False	False
N73	ADDRESS_REG_27__SCAN_IN	PI	INPUT	73	INPUT	True	True	True	False	False
N74	ADDRESS_REG_26__SCAN_IN	PI	INPUT	74	INPUT	True	True	True	False	False
N75	ADDRESS_REG_25__SCAN_IN	PI	INPUT	75	INPUT	True	True	True	False	False
N76	ADDRESS_REG_24__SCAN_IN	PI	INPUT	76	INPUT	True	True	True	False	False
N77	ADDRESS_REG_23__SCAN_IN	PI	INPUT	77	INPUT	True	True	True	False	False
N78	ADDRESS_REG_22__SCAN_IN	PI	INPUT	78	INPUT	True	True	True	False	False
N79	ADDRESS_REG_21__SCAN_IN	PI	INPUT	79	INPUT	True	True	True	False	False
N80	ADDRESS_REG_20__SCAN_IN	PI	INPUT	80	INPUT	True	True	True	False	False
N81	ADDRESS_REG_19__SCAN_IN	PI	INPUT	81	INPUT	True	True	True	False	False
N82	ADDRESS_REG_18__SCAN_IN	PI	INPUT	82	INPUT	True	True	True	False	False
N83	ADDRESS_REG_17__SCAN_IN	PI	INPUT	83	INPUT	True	True	True	False	False
N84	ADDRESS_REG_16__SCAN_IN	PI	INPUT	84	INPUT	True	True	True	False	False
N85	ADDRESS_REG_15__SCAN_IN	PI	INPUT	85	INPUT	True	True	True	False	False
N86	ADDRESS_REG_14__SCAN_IN	PI	INPUT	86	INPUT	True	True	True	False	False
N87	ADDRESS_REG_13__SCAN_IN	PI	INPUT	87	INPUT	True	True	True	False	False
N88	ADDRESS_REG_12__SCAN_IN	PI	INPUT	88	INPUT	True	True	True	False	False
N89	ADDRESS_REG_11__SCAN_IN	PI	INPUT	89	INPUT	True	True	True	False	False
N90	ADDRESS_REG_10__SCAN_IN	PI	INPUT	90	INPUT	True	True	True	False	False
N91	ADDRESS_REG_9__SCAN_IN	PI	INPUT	91	INPUT	True	True	True	False	False
N92	ADDRESS_REG_8__SCAN_IN	PI	INPUT	92	INPUT	True	True	True	False	False
N93	ADDRESS_REG_7__SCAN_IN	PI	INPUT	93	INPUT	True	True	True	False	False
N94	ADDRESS_REG_6__SCAN_IN	PI	INPUT	94	INPUT	True	True	True	False	False
N95	ADDRESS_REG_5__SCAN_IN	PI	INPUT	95	INPUT	True	True	True	False	False
N96	ADDRESS_REG_4__SCAN_IN	PI	INPUT	96	INPUT	True	True	True	False	False
N97	ADDRESS_REG_3__SCAN_IN	PI	INPUT	97	INPUT	True	True	True	False	False
N98	ADDRESS_REG_2__SCAN_IN	PI	INPUT	98	INPUT	True	True	True	False	False
N99	ADDRESS_REG_1__SCAN_IN	PI	INPUT	99	INPUT	True	True	True	False	False
N100	ADDRESS_REG_0__SCAN_IN	PI	INPUT	100	INPUT	True	True	True	False	False
N101	STATE_REG_2__SCAN_IN	PI	INPUT	101	INPUT	True	True	True	False	False
N102	STATE_REG_1__SCAN_IN	PI	INPUT	102	INPUT	True	True	True	False	False
N103	STATE_REG_0__SCAN_IN	PI	INPUT	103	INPUT	True	True	True	False	False
N104	DATAWIDTH_REG_0__SCAN_IN	PI	INPUT	104	INPUT	True	True	True	False	False
