step,node,type,q_pred,score_pred,reward_pred,fc_pred,pattern_pred,return_pred,guarded_reward,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,bounded_residual_hybrid_pred,step_value,sequence_score,lookahead_score,objective_score,objective,planner,score_adjusted,diversity_penalty,candidate_strategy,original_net,recovery_status,recovery_source_gate,recovery_synthetic_branch,safe_insertable
1,N15671,observe,0.40233609080314636,0.40233609080314636,0.17679321765899658,0.0017679321765899658,-0.0835162103176117,0.8303040862083435,0.17679321765899658,-0.008960179053246975,-0.0513671450316906,-0.042171865701675415,33288.25,13955.947265625,19332.3046875,32399.279296875,13781.88671875,18617.392578125,0.026705240830779076,0.012472141534090042,0.03698018193244934,2.6705240830779076,0.1110793985426426,-0.6442435793578625,0.17679321765899658,0.17679321765899658,0.3602322041988373,0.3602322041988373,cumulative,beam,0.17679321765899658,0.0,hard_fault_cluster,,missing_mapping,,,False
2,N7891,control1,0.3677266240119934,0.3677266240119934,0.17830738425254822,0.0017830738425254821,-0.10126723349094391,0.8363455533981323,0.17830738425254822,-0.009387495927512646,-0.056065142154693604,-0.04602672904729843,32398.84375,13781.1015625,18617.7421875,32247.6640625,13816.8046875,18430.859375,0.004666206426918507,-0.0025907307863235474,0.010037887841463089,0.46662064269185066,0.07590334489941597,-0.6850863583385944,0.17830738425254822,0.3551006019115448,0.3882264494895935,0.3882264494895935,cumulative,beam,0.17830738425254822,0.0,hard_fault_cluster,R2099_U180,structural_exact,NOT,False,True
3,N26888,observe,0.37034544348716736,0.37034544348716736,0.2099190652370453,0.0020991906523704527,-0.10567788779735565,0.8444991111755371,0.2099190652370453,-0.009730750694870949,-0.053910400718450546,-0.04235181212425232,32247.3828125,13817.1162109375,18430.265625,31882.982421875,13630.908203125,18252.07421875,0.011300154030323029,0.013476618565618992,0.009668412618339062,1.1300154030323029,0.08134310692548752,-0.7094705253839493,0.2099190652370453,0.5650196671485901,0.4362232983112335,0.4362232983112335,cumulative,beam,0.2099190652370453,0.0,hard_fault_cluster,,missing_mapping,,,False
4,N15670,observe,0.36340951919555664,0.36340951919555664,0.22630423307418823,0.0022630423307418825,-0.11974053084850311,0.8428990244865417,0.22630423307418823,-0.008957143872976303,-0.05051448568701744,-0.04120871424674988,31883.85546875,13631.5205078125,18252.3359375,31731.57421875,13576.8662109375,18154.70703125,0.004776123911142349,0.004009405616670847,0.005348844453692436,0.4776123911142349,0.17348887026309967,-0.6284135729074478,0.22630423307418823,0.7913239002227783,0.4611562490463257,0.4611562490463257,cumulative,beam,0.22630423307418823,0.0,hard_fault_cluster,,missing_mapping,,,False
5,N7510,control1,0.3522510826587677,0.3522510826587677,0.23485201597213745,0.0023485201597213744,-0.13205057382583618,0.8407646417617798,0.23485201597213745,-0.008789480663836002,-0.050061438232660294,-0.041284143924713135,31731.36328125,13576.896484375,18154.466796875,31563.28515625,13520.33203125,18042.953125,0.0052969083189964294,0.004166228696703911,0.006142492406070232,0.5296908318996429,0.196668591350317,-0.6100439019501209,0.23485201597213745,1.0261759161949158,0.46986621618270874,0.46986621618270874,cumulative,beam,0.23485201597213745,0.0,hard_fault_cluster,R2144_U63,structural_exact,AND,False,True
6,N1409,control1,0.3498325049877167,0.3498325049877167,0.2350142002105713,0.0023501420021057127,-0.13214893639087677,0.8388969898223877,0.2350142002105713,-0.008815689012408257,-0.04947585612535477,-0.04052262753248215,31569.861328125,13515.39453125,18054.466796875,31542.06640625,13547.1123046875,17994.955078125,0.0008804258541204035,-0.0023467885330319405,0.0032962323166429996,0.08804258541204035,0.19234228879213333,-0.6130911037325859,0.2350142002105713,1.261190116405487,0.47219520807266235,0.47219520807266235,cumulative,beam,0.2350142002105713,0.0,hard_fault_cluster,U3277,structural_exact,NAND,False,True
7,N15945,observe,0.35288968682289124,0.35288968682289124,0.23718100786209106,0.002371810078620911,-0.13215848803520203,0.8409461379051208,0.23718100786209106,-0.008816080167889595,-0.04946713149547577,-0.04051128774881363,31535.8359375,13551.6875,17984.1484375,31381.0234375,13495.654296875,17885.369140625,0.00490909768268466,0.0041347770020365715,0.00549257593229413,0.490909768268466,0.1965191289782524,-0.6120762303471565,0.23718100786209106,1.4983711242675781,0.461490660905838,0.461490660905838,cumulative,beam,0.23718100786209106,0.0,hard_fault_cluster,,missing_mapping,,,False
8,N26697,observe,0.3573090136051178,0.3573090136051178,0.22430965304374695,0.0022430965304374695,-0.13034678995609283,0.8468136191368103,0.22430965304374695,-0.0087065938860178,-0.05191337689757347,-0.04369249939918518,31380.11328125,13495.1640625,17884.94921875,31330.341796875,13536.8671875,17793.474609375,0.0015860836720094085,-0.0030902272555977106,0.0051146140322089195,0.15860836720094085,0.2004638835787773,-0.6028785705566406,0.22430965304374695,1.722680777311325,0.4213199019432068,0.4213199019432068,cumulative,beam,0.22430965304374695,0.0,hard_fault_cluster,,missing_mapping,,,False
9,N25746,observe,0.3938329517841339,0.3938329517841339,0.19701024889945984,0.0019701024889945983,-0.10515190660953522,0.8864386081695557,0.19701024889945984,-0.00926877185702324,-0.05223054066300392,-0.042066775262355804,31330.1171875,13537.052734375,17793.064453125,31097.396484375,13407.240234375,17690.15625,0.007428018841892481,0.009589421562850475,0.005783613305538893,0.7428018841892481,0.1565716713666916,-0.65601497143507,0.19701024889945984,1.919691026210785,0.4016106128692627,0.4016106128692627,cumulative,beam,0.19701024889945984,0.0,hard_fault_cluster,,missing_mapping,,,False
10,N26860,observe,0.38898032903671265,0.38898032903671265,0.20460036396980286,0.0020460036396980287,-0.1097404956817627,0.8963156938552856,0.20460036396980286,-0.0094428276643157,-0.05315616726875305,-0.04250849783420563,31097.451171875,13407.150390625,17690.30078125,30924.57421875,13326.7578125,17597.81640625,0.005559199955314398,0.0059962463565170765,0.005227970890700817,0.5559199955314398,0.15663329139351845,-0.6690537519752979,0.20460036396980286,2.1242913901805878,0.4108506143093109,0.4108506143093109,cumulative,beam,0.20460036396980286,0.0,hard_fault_cluster,,missing_mapping,,,False
