* Log file for the circuit autoresearch/deeptpi_table2_restored_bench/max_aig.bench.
* Number of faults detected by each test pattern:

test    1: 00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001 1495 faults detected
test    2: 11101001100100001001001000010011011010110110000010010001011001000100101111001001100001110100001011011011111110011110111100010101101110111101010110101100110010001101100011011010011010111010111000100000100011101110111011100011111110001010001100110100011100011101111011110000101001000100100111010001011001000000011101101001111101101000110001100011010010000100010011011011001111110101000111100001000110100110010100110100000100001100101011000011100101011000111110010110000010101001001010011001000011000111100010011010 010001110001101001010100001101111001001110101100110000110100101010101001001111110001100010111011101100101000100010111111110001001  456 faults detected
test    3: 01001110100101101101001110110110000010010110011001011001100100010010101110001110111010101001000111101001101111100110011110100101110100100010011110111111100001011010000110010101101100100001001110101010010111010011001110010100000100010001010001100100100001001010101100100110111001011001100110100101010111111011001011111001000000000010111001001101000001010001101001001101111100010101101010100001011110101010100010011110101011110111100110100110011111011111110000000010001100110101010000101000010111100101110101110011 111010111101011101111000101111000111111001100100101000001000000001001110111100000011101100001100100101011110001111011110111010100  404 faults detected
test    4: 00100011101100111101001111110011101010100101100111001010011000001100000111011101011111110101101001101100101010111101001110011101110110011110010001111101101000010010111111010011110110101110010001000011111001100000110010111110001010010111011101111000010000001110001111011111100010111101110110110110010011100111010000101010110101011010101100011110111111011110011011000110001010111101010000011110100100001110000011000101110001111001100000110100011100001110001000001100110011100011001010001010000011111000110110000000 011010000111011010001101110101011001011000111110000010111101010111110101110000011001110100000100011110111111100101011010011100001  371 faults detected
test    5: 01001101000101110000101000101100100001101000101010100110010101000100001000000010001010111010110111011101001111111011010010010111011011000111100010101001111111011100101000011110110101111000010110100110110100101000011100001011110101001010010001000001100000110110101001010100011101111101101001111000110000010100001011111111011111010011010011001001101111000000101000110111101111001011101010000100001001010101110110111110101111011011011110011111100010100000111111101111111110000110101001001000101110100001001011111010 101100111111100001001101110111100101000111011100110010001111010110000000110000010011010100010000101001000011000001111100000011000  304 faults detected
test    6: 11000100000101101111101001101001011110111010110100111001001110000011101000101000010110111100111100010101011000001010101110110110110011001101011101101111010000110101100101000011111101010110000001111001110010111100011110011010010110110110101100101101000110110101000110110111100100000101101000010100100011100110100010111111100110001000111101101001100010100000100000000111011001111011111000010111001001001111100110000010000111111011010010111000101111011010101111101001010000011000110011010001100110010000001110001010 100011100001110111111101110101101011001000000010010011011101011110100000110100100001101011001100010110001110001100110101011001100  180 faults detected
test    7: 11110110111111111000110111100110101001010010101100010011011101100100110111001000000001000011110100111111111100100110111011100001111011001111011010101001001000010101000000101010101010101101011000110011000010101010111011011110010111000100111000111000001101100111101010111000010000001001100000000000000000010010001011110010000101000000110110100000001101111000011011101110111001101110011000101011001101010100011001111001100001001111111010000001011100010000100100100100110000100010000101100011110000010000010100010100 001101011110100011001011001010111100101101111111000110000011100000110100000000000101101100110000000001000011000000111110100111100  191 faults detected
test    8: 11000010101011001001010101101111111000011001101010010001001010110110000100011000000101011011000011111110011000100101001000111001011110010110000100011110011110010111110010011101011111100111001010111011111010010101000101000100000011101001110100111101111110110111111110011000110000110111101000001011000010000010110011110011101001010111000010101100101011101110000111010111100101011010111101011000001001011011111110010110000100001111011001100110010010110110111011001010110001000101101011101111000001010000101000000001 010001111101110101100001011110010110010110111110110110100101000100010110100010011011100011110001000001100001001010101110100010001  117 faults detected
test    9: 11001101100110010010010011001100001001110010111101000010001011100000000001111001110010000000111111011000011000011101110010110010010100000110011011101110001100100100111010010011010110100111000010111110010000000111100001100110000001101110000011010010011000101101101110100100000111110101110111101011111001110111111001101110001111110011001000011111111001111011100001100001100000011011101110000000011100010101110011010111100110010111111000101001001000010011111111111000000000101111101000010010100010010001110010000010 011111111110111100011000000101010010100000101000100011111011101101000100111111000101111000011011100111101011110011000111100000001   75 faults detected
test   10: 00101110111111000011111101111001110001011010010000011110010010000010000101001011101110101011110111011110111001011001100001000000010101010100111001110101101011010011101001011011011010100000010111011011011100100101110001010000010001001100000010000111000101011011001011001101110001111000110000010110100111010001000001000101110100001010010001011011001010001000000001001110011100100011110100100101110110111010000011011001000101111100110110101011010101011101011110010000100011111011100111011011010001011101010100110001 110000011111001001110000110000000111010010101010001101101010111111101101011000101010110010100011100001110010111010111110100011101  132 faults detected
test   11: 00010010101000101101010010111101000101110101011100011101101011010001001011011111001011111100100111111001000100100100000110001100000100010110011001110110011001011110100001001011011000011110100111111011010101100011011011101111110001001100000111111000100110110110101111101010100111101011100100000110011010111100001000101010000110000101011110000101001101001100100011110110110100000101100000111111110000011010011111000110100100010111111110100000011100101011110100000110010001110001101001111010110110111000111100010011 110101110001011111010110001001000111101100101000100110010111001111001111111100101110111000011111011111110001011110000010011111100   96 faults detected
test   12: 01101000011011000010101110110000010011011000011110101101101101011111001111010101000010110011010100000100101100101011100111110011000110111111000111100100110011101001000001100001000110111111010010101001010101111101110100111111011101111000101001010010001011000111110010101011111000100110010110001011100011011111100011101011001001000011010100000000000100010001111010111000000011111110010001010110011010011000110111111001101001000010010011110100100011100010011011100110011110000000001010110100011110111011011100101110 000100010111100101001011111010111110011000000101011001101010010010001100000010011001011101111001100010101100001110001110011111101   51 faults detected
test   13: 01101011011011101011010110110100011010110101000001111000000110000000000100011111111011101101001100111100011101110000011111011000100111100101111101001100000010111011111001111111000010001011110011100101111110100100101000001000001101001010000100011101101110001110000101010000100001011011111001011110110101000000110111101010101110000001001000001010011110111010101011111010010100001101010100011110011011011011110010110010110010011000100110101111011000110101011110010010000000001110010110110110110001011100101101110001 100001100111011101011011110000010111001100011110100001011111110101001000101001111111010011010001011011111010000110000010001110100   84 faults detected
test   14: 00010000001110011110001011101001111011110111100011100001100111110010110011100011000010011100111011011110111111111101000100111111100110111101011101100100110111110000001011111011100010010000001101101100110001001001100111001111110110100000111001010011111011001010110111000111110100011000011110101001010110000110100111010100100111110100000010000111000011010111100000000010010110010100001101010010101000010111011101110111010100110101111000011110110101111101001010011100101100011110100101110000100000001000110100100011 110011111111111100000001111100110101001111000000001110101111001100010010111011001111001001000111100010010010011111011001101000101   26 faults detected
test   15: 01001101011100100100000110110111100111110100101111000011101001001011110001110011010101000001001011100011000010011000010001111110111010101000000110010001110111001001001001000001101001100110100001111111010100001100010110000010010001101011000100010011111101000000001101111110011000111111000111111010000000000001000000000010111101001100001000110010001101100100010011011100111001111000111010010111001011111101110111111100111001111000100110001101001111010111011110010110111111111111111011000100010101101000000010111011 100110110011111110100111010010011010110001011100011100110101010011000011111111100000010000110000101101110000001001110000001101101   12 faults detected
test   16: 11011011011000100011110001011111100000011011010111101111111111011010101001010101110001100110111001111100001000011010010110101111001011000000010101001000110001010010100001100101100010011110001101101001110011100100111100011101100000110011110100000100001100110110010110111110011011111011100000111101011011010010111000011110101100101100010110101011100010010011011000111101111101001101111000100100100110010001001010110100101010110111100011111001101111011111101111111000110101111111010000000100000000100101000010101100 001111111000010101010010100011100011111011110101100111111010001000011011011101000110100000001011011001010000101011101010000101101   12 faults detected
test   17: 01010001000000111001001111011110101110101011001001000101011001001110011110100001000010101100000100001001011100100110001000101001010011101011010101010100011111100000100000011010010010101011101010100011011000000110100101000111000001111011100111010001001100101111101011011011010100000101011010001111011000101010000101100010110100111011000000010110001110111010001010001010111011001011110101110111100101101100110010110001100010010011101000111101000111001011110110110101111110110000101110001101101011010110101000001111 001110011000101000110111111111000011010001000001101101110010010111000101100101100001000110110011110011101110011110110111110011001   14 faults detected
test   18: 10101111111101001011010000110110011100100001110011010001100010001111000100001111011011111011011110111010110100011101110100010001101010000111100110010101000011001011001111011101010110001010111100000000110011110000010011001101000111100111010111000100101001010101010110001100111001011100111001011001000000111010101100011100101110101101111111111101101101101100111001000100011000101110010011100011100010100100001111101010101010011001111110011111111000011100011110111001101100011010110010111111101011011100101111101100 011111011100111011101100100010100000111111111011000011000101110101001100010110111000101111000110000101100010011010111101000110000   41 faults detected
test   19: 00010111110110110100000111001110000011011001100110011010001010000001000011111000000111101011111101110000011010101101011001101011011101101111101011101100010100111000101010110110110010000001010000111001000100111011101001111101011000110100101101101000010111101001111010010011000000111111101011001100110001011010001000011100101100000001110010100011110011111101110110011101111011110010111100111111100110110111011110110100110101000100011001010110001001011111101110001100110001001010010101011011010110001010111100100110 010011100100011110111110101011100010110000111100011001000101111101000111111000000011110000110101001011010011000011101000001101101   51 faults detected
test   20: 10110010111100000001011101110100000101001110000100000100100010101111111111101011110110110100010111101100010010000000111010000111110000110000101111100100110110101110100110101010011001101100110101010010110100101010001011010111111000001111111111001101011100000101010000101101100010001100011111011111110110000010111101010101111100000010100110001100011100001011100111101001001010101010001000011010111111000011100011100000100001101100011011011000011001110000001110001111000010111000010011011001000101011100110100100101 000101000110010001111001100000001100100000101010010010111000110110010000001101110111100010100111111110110000000101001110101000101    3 faults detected
