[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:22:04 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_toplist_sa/epoch_012/old1_new1
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:22:04 budgets=iscas99__b15_1:278
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:22:04 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:22:04 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] ensemble_checkpoints=2 score_field=q_typed_residual_context lcb_alpha=0.0
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.264824 sequence=5.264824
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.995440
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.049499 sequence=12.044939
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.772014 sequence=13.816953
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.173012 sequence=14.989964
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.302194 sequence=16.292158
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.886342 sequence=17.178500
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.076769 sequence=18.255268
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.083544 sequence=19.338813
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.168629 sequence=20.507442
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.508009 sequence=23.015451
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.173596 sequence=24.189047
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.211605 sequence=25.400652
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.536768 sequence=26.937419
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.905038 sequence=29.842457
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.128360 sequence=32.970817
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.992820 sequence=34.963637
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.878540 sequence=39.842177
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369741 sequence=46.211918
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908002 sequence=52.119920
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871418 sequence=54.991337
[b15-anchor/prefix_toplist_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.174271 sequence=62.165608
