[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_toplist_sa/best_final_horizon/old2_new1
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 budgets=iscas99__b15_1:278
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [gmean] 2026-07-21T10:16:45 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] ensemble_checkpoints=3 score_field=q_typed_residual_context lcb_alpha=0.0
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.245365 sequence=5.245365
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.975981
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.061998 sequence=12.037979
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.756959 sequence=13.794938
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.172003 sequence=14.966941
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.317144 sequence=16.284084
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.909215 sequence=17.193299
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.071751 sequence=18.265051
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.113480 sequence=19.378530
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.184952 sequence=20.563483
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.514454 sequence=23.077936
[b15-anchor/prefix_toplist_sa/best_final_horizon/old2_new1] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.173415 sequence=24.251351
