[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [gmean] 2026-07-21T10:09:59 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_cql_sa/epoch_012/old2_new1
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [gmean] 2026-07-21T10:09:59 budgets=iscas99__b15_1:278
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [gmean] 2026-07-21T10:09:59 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [gmean] 2026-07-21T10:09:59 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] ensemble_checkpoints=3 score_field=q_typed_residual_context lcb_alpha=0.0
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.244919 sequence=5.244919
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.975535
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.068632 sequence=12.044167
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.754882 sequence=13.799050
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.171704 sequence=14.970754
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.319725 sequence=16.290479
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.905235 sequence=17.195714
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.062779 sequence=18.258493
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.112707 sequence=19.371200
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.186575 sequence=20.557775
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.519085 sequence=23.076860
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.175842 sequence=24.252702
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.230383 sequence=25.483085
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.531073 sequence=27.014158
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.907269 sequence=29.921427
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.128360 sequence=33.049787
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.992386 sequence=35.042173
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.878540 sequence=39.920713
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369741 sequence=46.290454
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908003 sequence=52.198457
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871417 sequence=55.069874
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.161622 sequence=62.231495
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=5.343943 sequence=67.575438
[b15-anchor/prefix_cql_sa/epoch_012/old2_new1] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.413752 sequence=73.989191
