[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_cql_sa/epoch_012/old1_new1
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 budgets=iscas99__b15_1:278
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [gmean] 2026-07-21T10:03:49 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] ensemble_checkpoints=2 score_field=q_typed_residual_context lcb_alpha=0.0
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.255226 sequence=5.255226
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.985842
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.051667 sequence=12.037509
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.756329 sequence=13.793839
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=5 node=N3742 type=control0 q_typed_residual_context=1.175586 sequence=14.969425
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.314433 sequence=16.283857
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.896769 sequence=17.180627
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.060290 sequence=18.240917
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.092533 sequence=19.333449
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=10 node=N3756 type=control0 q_typed_residual_context=1.171511 sequence=20.504961
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.507579 sequence=23.012540
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.178381 sequence=24.190921
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.219350 sequence=25.410272
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.535381 sequence=26.945653
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.895664 sequence=29.841317
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.128551 sequence=32.969868
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.993659 sequence=34.963527
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.878353 sequence=39.841880
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369596 sequence=46.211476
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908111 sequence=52.119586
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871569 sequence=54.991156
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.172743 sequence=62.163899
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=23 node=N1532 type=observe q_typed_residual_context=5.343792 sequence=67.507690
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.409007 sequence=73.916698
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=25 node=N496 type=control1 q_typed_residual_context=3.453295 sequence=77.369992
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=1.597644 sequence=78.967637
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=27 node=N1437 type=control1 q_typed_residual_context=4.467997 sequence=83.435634
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=28 node=N5234 type=observe q_typed_residual_context=6.106140 sequence=89.541774
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=29 node=N7511 type=control1 q_typed_residual_context=4.056184 sequence=93.597957
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=0.919036 sequence=94.516993
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=8.342479 sequence=102.859473
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=32 node=N2042 type=observe q_typed_residual_context=0.421479 sequence=103.280952
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=33 node=N583 type=control1 q_typed_residual_context=6.107735 sequence=109.388687
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=34 node=N2044 type=observe q_typed_residual_context=3.604224 sequence=112.992911
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=35 node=N2040 type=observe q_typed_residual_context=1.249356 sequence=114.242266
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=36 node=N3903 type=control0 q_typed_residual_context=0.796186 sequence=115.038452
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=2.310085 sequence=117.348537
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=38 node=N3896 type=control0 q_typed_residual_context=0.937332 sequence=118.285868
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=39 node=N4656 type=control0 q_typed_residual_context=3.065695 sequence=121.351564
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=40 node=N3889 type=control0 q_typed_residual_context=0.876359 sequence=122.227923
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=41 node=N3882 type=control0 q_typed_residual_context=1.005011 sequence=123.232934
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=42 node=N3805 type=control0 q_typed_residual_context=0.990323 sequence=124.223258
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=43 node=N4663 type=control0 q_typed_residual_context=1.704418 sequence=125.927676
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=44 node=N3701 type=control0 q_typed_residual_context=1.147590 sequence=127.075266
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=45 node=N4670 type=control0 q_typed_residual_context=2.131416 sequence=129.206681
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=46 node=N7883 type=control1 q_typed_residual_context=1.993954 sequence=131.200635
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=47 node=N7884 type=control1 q_typed_residual_context=1.814482 sequence=133.015117
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=48 node=N7882 type=control1 q_typed_residual_context=2.004989 sequence=135.020106
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=49 node=N4677 type=control0 q_typed_residual_context=3.005074 sequence=138.025180
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=50 node=N7885 type=control1 q_typed_residual_context=1.537655 sequence=139.562835
[b15-anchor/prefix_cql_sa/epoch_012/old1_new1] [plan iscas99__b15_1] [plan] step=51 node=N7886 type=control1 q_typed_residual_context=1.389253 sequence=140.952088
