[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [gmean] 2026-07-21T10:27:41 out_dir=autoresearch/loop-260720-0945/model_training_round5/b15_selection/anchored_ensemble/prefix_toplist_sa/epoch_012/old3_new1
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [gmean] 2026-07-21T10:27:41 budgets=iscas99__b15_1:278
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [gmean] 2026-07-21T10:27:41 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [gmean] 2026-07-21T10:27:41 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] ensemble_checkpoints=4 score_field=q_typed_residual_context lcb_alpha=0.0
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.245886 sequence=5.245886
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.730616 sequence=9.976502
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.074691 sequence=12.051193
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.760567 sequence=13.811759
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=5 node=N3756 type=control0 q_typed_residual_context=1.171186 sequence=14.982945
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=6 node=N3644 type=control0 q_typed_residual_context=1.314958 sequence=16.297903
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.905235 sequence=17.203139
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.074904 sequence=18.278042
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=1.114185 sequence=19.392228
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.185351 sequence=20.577579
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.517968 sequence=23.095547
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=12 node=N5723 type=control0 q_typed_residual_context=1.171857 sequence=24.267404
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=13 node=N2081 type=observe q_typed_residual_context=1.231510 sequence=25.498914
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=14 node=N737 type=control1 q_typed_residual_context=1.535248 sequence=27.034162
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=15 node=N580 type=control1 q_typed_residual_context=2.907269 sequence=29.941430
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=16 node=N5203 type=control1 q_typed_residual_context=3.128360 sequence=33.069790
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=17 node=N2153 type=observe q_typed_residual_context=1.992820 sequence=35.062610
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=18 node=N1853 type=observe q_typed_residual_context=4.878540 sequence=39.941150
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=19 node=N1860 type=observe q_typed_residual_context=6.369741 sequence=46.310891
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=20 node=N2101 type=observe q_typed_residual_context=5.908002 sequence=52.218893
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=2.871418 sequence=55.090310
[b15-anchor/prefix_toplist_sa/epoch_012/old3_new1] [plan iscas99__b15_1] [plan] step=22 node=N582 type=control1 q_typed_residual_context=7.161624 sequence=62.251935
