deep_node	original_net	original_gate	original_order
N769	U30	NAND	2
N770	U31	NAND	3
N771	U32	NAND	4
N772	U33	NAND	5
N773	U34	NAND	6
N774	U35	NAND	7
N775	U36	NAND	8
N776	U37	NAND	9
N777	U38	NAND	10
N778	U39	NAND	11
N779	U40	NAND	12
N780	U41	NAND	13
N781	U42	NAND	14
N782	U43	NAND	15
N783	U44	NAND	16
N784	U45	NAND	17
N785	U46	NAND	18
N786	U47	NAND	19
N787	U48	NAND	20
N788	U49	NAND	21
N789	U50	NAND	22
N790	U51	NAND	23
N791	U52	NAND	24
N792	U53	NAND	25
N793	U54	NAND	26
N794	U55	NAND	27
N795	U56	NAND	28
N796	U57	NAND	29
N797	U58	NAND	30
N798	U59	NAND	31
N799	U60	NAND	32
N800	U61	NAND	33
N801	U62	NAND	34
N802	U63	NAND	35
N803	U64	NAND	36
N804	U65	NAND	37
N805	U66	NAND	38
N806	U67	NAND	39
N807	U68	NAND	40
N808	U69	NAND	41
N809	U70	NAND	42
N810	U71	NAND	43
N811	U72	NAND	44
N812	U73	NAND	45
N813	U74	NAND	46
N814	U75	NAND	47
N815	U76	NAND	48
N816	U77	NAND	49
N817	U78	NAND	50
N818	U79	NAND	51
N819	U80	NAND	52
N820	U81	NAND	53
N821	U82	NAND	54
N822	U83	NAND	55
N823	U84	NAND	56
N824	U85	NAND	57
N825	U86	NAND	58
N826	U87	NAND	59
N827	U88	NAND	60
N828	U89	NAND	61
N829	U90	NAND	62
N830	U91	NAND	63
N831	U92	NAND	64
N832	U93	NAND	65
N833	U94	NAND	66
N834	U95	NAND	67
N835	U96	NAND	68
N836	U97	NAND	69
N837	U98	NAND	70
N838	U99	NAND	71
N839	U100	NAND	72
N840	U101	NAND	73
N841	U102	NAND	74
N842	U103	NAND	75
N843	U104	NAND	76
N844	U105	NAND	77
N845	U106	NAND	78
N846	U107	NAND	79
N847	U108	NAND	80
N848	U109	NAND	81
N849	U110	NAND	82
N850	U111	NAND	83
N851	U112	NAND	84
N852	U113	NAND	85
N853	U114	NAND	86
N854	U115	NAND	87
N855	U116	NAND	88
N856	U117	NAND	89
N857	U118	NAND	90
N858	U119	NAND	91
N859	U120	NAND	92
N860	U121	NAND	93
N861	U122	NAND	94
N862	U123	NAND	95
N863	U124	NAND	96
N864	U125	NAND	97
N865	U126	NAND	98
N866	U127	NAND	99
N867	U128	NAND	100
N868	U129	NAND	101
N869	U130	NAND	102
N870	U131	NAND	103
N871	U132	NAND	104
N872	U133	NAND	105
N873	U134	NAND	106
N874	U135	NAND	107
N875	U136	NAND	108
N876	U137	NAND	109
N877	U138	NAND	110
N878	U139	NAND	111
N879	U140	NAND	112
N880	U141	NAND	113
N881	U142	NAND	114
N882	U143	NAND	115
N883	U144	NAND	116
N884	U145	NAND	117
N885	U146	NAND	118
N886	U147	NAND	119
N887	U148	NAND	120
N888	U149	NAND	121
N889	U150	NAND	122
N890	U151	NAND	123
N891	U152	NAND	124
N892	U153	NAND	125
N893	U154	NAND	126
N894	U155	NAND	127
N895	U156	NAND	128
N896	U157	NAND	129
N897	U158	NOT	130
N898	U159	NOT	131
N899	U160	AND	132
N900	U161	NOT	133
N901	U162	NOT	134
N902	U163	AND	135
N903	U164	NAND	136
N904	U165	NAND	137
N905	U166	NAND	138
N906	U167	NOT	139
N907	U168	NAND	140
N908	U169	NAND	141
N909	U170	NAND	142
N910	U171	NAND	143
N911	U172	NAND	144
N912	U173	NAND	145
N913	U174	NAND	146
N914	U175	NAND	147
N915	U176	NAND	148
N916	U177	NAND	149
N917	U178	NAND	150
N918	U179	NAND	151
N919	U180	NAND	152
N920	U181	NAND	153
N921	U182	NAND	154
N922	U183	NAND	155
N923	U184	NAND	156
N924	U185	NAND	157
N925	U186	NAND	158
N926	U187	NAND	159
N927	U188	NAND	160
N928	U189	NAND	161
N929	U190	NAND	162
N930	U191	NAND	163
N931	U192	NAND	164
N932	U193	NAND	165
N933	U194	NAND	166
N934	U195	NAND	167
N935	U196	NAND	168
N936	U197	NAND	169
N937	U198	NAND	170
N938	U199	NAND	171
N939	U200	NAND	172
N940	U201	NAND	173
N941	U202	NAND	174
N942	U203	NAND	175
N943	U204	NAND	176
N944	U205	NAND	177
N945	U206	NAND	178
N946	U207	NAND	179
N947	U208	NAND	180
N948	U209	NAND	181
N949	U210	NAND	182
N950	U211	NAND	183
N951	U212	NAND	184
N952	U213	NAND	185
N953	U214	NAND	186
N954	U215	NAND	187
N955	U216	NAND	188
N956	U217	NAND	189
N957	U218	NAND	190
N958	U219	NAND	191
N959	U220	NAND	192
N960	U221	NAND	193
N961	U222	NAND	194
N962	U223	NAND	195
N963	U224	NAND	196
N964	U225	NAND	197
N965	U226	NAND	198
N966	U227	NAND	199
N967	U228	NAND	200
N968	U229	NAND	201
N969	U230	NAND	202
N970	U231	NAND	203
N971	U232	NAND	204
