deep_node	original_net	original_kind	original_gate	original_order	deep_gate	boundary_exact	local_truth_exact	global_signature_exact	deep_is_sink	paper_candidate_legal
N0	P3_WR_REG_SCAN_IN	PI	INPUT	0	INPUT	True	True	True	False	False
N1	SI_31_	PI	INPUT	1	INPUT	True	True	True	False	False
N2	SI_30_	PI	INPUT	2	INPUT	True	True	True	False	False
N3	SI_29_	PI	INPUT	3	INPUT	True	True	True	False	False
N4	SI_28_	PI	INPUT	4	INPUT	True	True	True	False	False
N5	SI_27_	PI	INPUT	5	INPUT	True	True	True	False	False
N6	SI_26_	PI	INPUT	6	INPUT	True	True	True	False	False
N7	SI_25_	PI	INPUT	7	INPUT	True	True	True	False	False
N8	SI_24_	PI	INPUT	8	INPUT	True	True	True	False	False
N9	SI_23_	PI	INPUT	9	INPUT	True	True	True	False	False
N10	SI_22_	PI	INPUT	10	INPUT	True	True	True	False	False
N11	SI_21_	PI	INPUT	11	INPUT	True	True	True	False	False
N12	SI_20_	PI	INPUT	12	INPUT	True	True	True	False	False
N13	SI_19_	PI	INPUT	13	INPUT	True	True	True	False	False
N14	SI_18_	PI	INPUT	14	INPUT	True	True	True	False	False
N15	SI_17_	PI	INPUT	15	INPUT	True	True	True	False	False
N16	SI_16_	PI	INPUT	16	INPUT	True	True	True	False	False
N17	SI_15_	PI	INPUT	17	INPUT	True	True	True	False	False
N18	SI_14_	PI	INPUT	18	INPUT	True	True	True	False	False
N19	SI_13_	PI	INPUT	19	INPUT	True	True	True	False	False
N20	SI_12_	PI	INPUT	20	INPUT	True	True	True	False	False
N21	SI_11_	PI	INPUT	21	INPUT	True	True	True	False	False
N22	SI_10_	PI	INPUT	22	INPUT	True	True	True	False	False
N23	SI_9_	PI	INPUT	23	INPUT	True	True	True	False	False
N24	SI_8_	PI	INPUT	24	INPUT	True	True	True	False	False
N25	SI_7_	PI	INPUT	25	INPUT	True	True	True	False	False
N26	SI_6_	PI	INPUT	26	INPUT	True	True	True	False	False
N27	SI_5_	PI	INPUT	27	INPUT	True	True	True	False	False
N28	SI_4_	PI	INPUT	28	INPUT	True	True	True	False	False
N29	SI_3_	PI	INPUT	29	INPUT	True	True	True	False	False
N30	SI_2_	PI	INPUT	30	INPUT	True	True	True	False	False
N31	SI_1_	PI	INPUT	31	INPUT	True	True	True	False	False
N32	SI_0_	PI	INPUT	32	INPUT	True	True	True	False	False
N33	P3_RD_REG_SCAN_IN	PI	INPUT	33	INPUT	True	True	True	False	False
N34	P3_STATE_REG_SCAN_IN	PI	INPUT	34	INPUT	True	True	True	False	False
N35	P3_REG3_REG_7__SCAN_IN	PI	INPUT	35	INPUT	True	True	True	False	False
N36	P3_REG3_REG_27__SCAN_IN	PI	INPUT	36	INPUT	True	True	True	False	False
N37	P3_REG3_REG_14__SCAN_IN	PI	INPUT	37	INPUT	True	True	True	False	False
N38	P3_REG3_REG_23__SCAN_IN	PI	INPUT	38	INPUT	True	True	True	False	False
N39	P3_REG3_REG_10__SCAN_IN	PI	INPUT	39	INPUT	True	True	True	False	False
N40	P3_REG3_REG_3__SCAN_IN	PI	INPUT	40	INPUT	True	True	True	False	False
N41	P3_REG3_REG_19__SCAN_IN	PI	INPUT	41	INPUT	True	True	True	False	False
N42	P3_REG3_REG_28__SCAN_IN	PI	INPUT	42	INPUT	True	True	True	False	False
N43	P3_REG3_REG_8__SCAN_IN	PI	INPUT	43	INPUT	True	True	True	False	False
N44	P3_REG3_REG_1__SCAN_IN	PI	INPUT	44	INPUT	True	True	True	False	False
N45	P3_REG3_REG_21__SCAN_IN	PI	INPUT	45	INPUT	True	True	True	False	False
N46	P3_REG3_REG_12__SCAN_IN	PI	INPUT	46	INPUT	True	True	True	False	False
N47	P3_REG3_REG_25__SCAN_IN	PI	INPUT	47	INPUT	True	True	True	False	False
N48	P3_REG3_REG_16__SCAN_IN	PI	INPUT	48	INPUT	True	True	True	False	False
N49	P3_REG3_REG_5__SCAN_IN	PI	INPUT	49	INPUT	True	True	True	False	False
N50	P3_REG3_REG_17__SCAN_IN	PI	INPUT	50	INPUT	True	True	True	False	False
N51	P3_REG3_REG_24__SCAN_IN	PI	INPUT	51	INPUT	True	True	True	False	False
N52	P3_REG3_REG_4__SCAN_IN	PI	INPUT	52	INPUT	True	True	True	False	False
N53	P3_REG3_REG_9__SCAN_IN	PI	INPUT	53	INPUT	True	True	True	False	False
N54	P3_REG3_REG_0__SCAN_IN	PI	INPUT	54	INPUT	True	True	True	False	False
N55	P3_REG3_REG_20__SCAN_IN	PI	INPUT	55	INPUT	True	True	True	False	False
N56	P3_REG3_REG_13__SCAN_IN	PI	INPUT	56	INPUT	True	True	True	False	False
N57	P3_REG3_REG_22__SCAN_IN	PI	INPUT	57	INPUT	True	True	True	False	False
N58	P3_REG3_REG_11__SCAN_IN	PI	INPUT	58	INPUT	True	True	True	False	False
N59	P3_REG3_REG_2__SCAN_IN	PI	INPUT	59	INPUT	True	True	True	False	False
N60	P3_REG3_REG_18__SCAN_IN	PI	INPUT	60	INPUT	True	True	True	False	False
N61	P3_REG3_REG_6__SCAN_IN	PI	INPUT	61	INPUT	True	True	True	False	False
N62	P3_REG3_REG_26__SCAN_IN	PI	INPUT	62	INPUT	True	True	True	False	False
N63	P3_REG3_REG_15__SCAN_IN	PI	INPUT	63	INPUT	True	True	True	False	False
N64	P3_B_REG_SCAN_IN	PI	INPUT	64	INPUT	True	True	True	False	False
N65	P3_DATAO_REG_31__SCAN_IN	PI	INPUT	65	INPUT	True	True	True	False	False
N66	P3_DATAO_REG_30__SCAN_IN	PI	INPUT	66	INPUT	True	True	True	False	False
N67	P3_DATAO_REG_29__SCAN_IN	PI	INPUT	67	INPUT	True	True	True	False	False
N68	P3_DATAO_REG_28__SCAN_IN	PI	INPUT	68	INPUT	True	True	True	False	False
