step,node,type,q_pred,q_pred_context,score_pred,reward_pred,reward_pred_context,fc_pred,pattern_pred,return_pred,guarded_reward,guarded_reward_context,hard_reduction_total_pred,hard_reduction_sa0_pred,hard_reduction_sa1_pred,derived_hard_count_pre_total_pred,derived_hard_count_pre_sa0_pred,derived_hard_count_pre_sa1_pred,derived_hard_count_post_total_pred,derived_hard_count_post_sa0_pred,derived_hard_count_post_sa1_pred,derived_hard_reduction_total_pred,derived_hard_reduction_sa0_pred,derived_hard_reduction_sa1_pred,derived_hard_reduction_hybrid_pred,hybrid_pred,hybrid_pred_context,bounded_residual_hybrid_pred,bounded_residual_hybrid_pred_context,step_value,sequence_score,lookahead_score,planner,score_adjusted,diversity_penalty,candidate_strategy
1,N7687,control1,1.2437291145324707,7.189512446522713,1.2437291145324707,0.59945148229599,7.001425965130329,0.0059945148229599,0.31708329916000366,0.03648373484611511,0.03648373484611511,3.9501692804694173,0.07339302450418472,0.18372367322444916,0.04589810594916344,105194.2109375,42436.03125,62758.1796875,107740.15625,45197.671875,62542.48046875,-0.024202333763241768,-0.06507772952318192,0.0034369896166026592,-2.420233376324177,7.975237667560577,4.964322591573,7.498286254703999,4.943642640858888,7.189512446522713,7.189512446522713,7.189512446522713,greedy,7.189512446522713,0.0,hard_fault_cluster
2,N27366,control1,1.4368488788604736,5.642388555407524,1.4368488788604736,0.6452041268348694,4.246296964585781,0.0064520412683486935,0.36792126297950745,0.017780879512429237,0.017780879512429237,-1.5337681004405022,0.06575426459312439,0.1710960417985916,0.04723215475678444,107755.265625,45218.421875,62536.84765625,108303.21875,45695.21875,62608.0,-0.0050851632840931416,-0.01054430566728115,-0.0011377667542546988,-0.5085163284093142,7.238411465659738,4.3625314146280285,6.741172710899264,4.148995605111122,5.642388555407524,12.831901001930238,12.831901001930238,greedy,5.642388555407524,0.0,hard_fault_cluster
3,N29386,control1,1.0576751232147217,1.6664982229471206,1.0576751232147217,0.547620415687561,0.8241906806826593,0.005476204156875611,0.3661365807056427,0.012558775022625923,0.012558775022625923,-4.271603948771953,0.057799894362688065,0.158107191324234,0.03985660523176193,108304.109375,45696.5859375,62607.5234375,108634.0,45881.03515625,62752.96875,-0.0030459659174084663,-0.0040363892912864685,-0.0023231282830238342,-0.30459659174084663,6.340168626978993,2.0476673036813735,5.920034233946353,2.1325926929712296,1.6664982229471206,14.498399224877359,14.498399224877359,greedy,1.6664982229471206,0.0,hard_fault_cluster
4,N29526,control0,0.8035445809364319,1.2665135890245438,0.8035445809364319,0.5027744770050049,1.1470040053129196,0.005027744770050049,0.3898496925830841,0.015984931960701942,0.015984931960701942,-1.5387749993801116,0.05102985352277756,0.1568434089422226,0.039714302867650986,108634.4921875,45881.4296875,62753.0625,108481.6484375,45674.1875,62807.4609375,0.0014069541357457638,0.0045169079676270485,-0.0008668650407344103,0.14069541357457638,5.621744761243463,1.0200968432426454,5.232675204519182,1.060966627597809,1.2665135890245438,15.764912813901903,15.764912813901903,greedy,1.2665135890245438,0.0,hard_fault_cluster
5,N28742,control0,0.5839641094207764,3.1383756294846537,0.5839641094207764,0.4662806987762451,1.9651229311525822,0.004662806987762451,0.40618234872817993,0.019033582881093025,0.019033582881093025,0.17255984246730804,0.04886985570192337,0.15780751407146454,0.03910868987441063,108480.296875,45672.38671875,62807.9140625,108533.5234375,45603.7734375,62929.75,-0.000490656471811235,0.001502292463555932,-0.001939818263053894,-0.049065647181123495,5.372299851849675,2.2453597545623776,5.008314140606672,2.2494166493415833,3.1383756294846537,18.903288443386558,18.903288443386558,greedy,3.1383756294846537,0.0,hard_fault_cluster
6,N31045,control0,0.7775110602378845,2.8887438848614693,0.7775110602378845,0.483404278755188,2.271876426041126,0.00483404278755188,0.4173208475112915,0.020180584862828255,0.020180584862828255,0.15651781082153315,0.05010153725743294,0.16335782408714294,0.04128037765622139,108535.125,45605.79296875,62929.3359375,108226.53125,45387.9921875,62838.5390625,0.0028432614635676146,0.0047757262364029884,0.0014428385766223073,0.28432614635676146,5.51373858936131,2.572733165025711,5.136049941647798,2.6319827330112453,2.8887438848614693,21.792032328248027,21.792032328248027,greedy,2.8887438848614693,0.0,hard_fault_cluster
7,N29528,control0,1.0095936059951782,1.8750221446156503,1.0095936059951782,0.5170572996139526,1.454121620953083,0.005170572996139527,0.4271101653575897,0.01917652226984501,0.01917652226984501,-0.4965950179100037,0.05045884847640991,0.1672336310148239,0.04286309331655502,108225.90625,45387.3984375,62838.5078125,107614.328125,45020.66796875,62593.66015625,0.005650940351188183,0.008080006577074528,0.003896458772942424,0.5650940351188183,5.582118669524789,1.9773258483409881,5.179943303111941,1.8427700436115266,1.8750221446156503,23.667054472863676,23.667054472863676,greedy,1.8750221446156503,0.0,hard_fault_cluster
8,N29527,control0,1.0646121501922607,1.7120815187692642,1.0646121501922607,0.5432854890823364,1.4880120426416397,0.005432854890823364,0.4336702525615692,0.023266689851880074,0.023266689851880074,-0.01642507314682007,0.05210745334625244,0.16785858571529388,0.04158833250403404,107614.78125,45021.0859375,62593.6953125,107490.953125,44946.8046875,62544.14453125,0.00115066091530025,0.0016499212943017483,0.0007916257600300014,0.115066091530025,5.777297513559461,2.1678195369243625,5.352383379358798,1.9645730030536654,1.7120815187692642,25.37913599163294,25.37913599163294,greedy,1.7120815187692642,0.0,hard_fault_cluster
9,N29529,control0,1.1874489784240723,1.8213049650192261,1.1874489784240723,0.5786923170089722,1.6103066086769104,0.005786923170089722,0.44129273295402527,0.021258534863591194,0.021258534863591194,-0.6342741298675537,0.052955131977796555,0.1700962334871292,0.04191458225250244,107490.609375,44946.4921875,62544.12109375,106858.390625,44577.640625,62280.75,0.005881618242710829,0.008206459693610668,0.004210964776575565,0.5881618242710829,5.895464049652219,2.0161485338211063,5.445500910747796,1.9993016862869264,1.8213049650192261,27.200440956652166,27.200440956652166,greedy,1.8213049650192261,0.0,hard_fault_cluster
10,N31018,control0,1.2385560274124146,1.7795445188879966,1.2385560274124146,0.6040960550308228,1.6323248878121377,0.0060409605503082275,0.4473913609981537,0.021621355786919594,0.021621355786919594,-0.2910358566045762,0.05372074991464615,0.1709894984960556,0.04145197570323944,106859.125,44578.25,62280.87890625,106543.390625,44401.1328125,62142.25390625,0.0029546786099672318,0.003973174840211868,0.002225803444162011,0.2954678609967232,5.997792402282357,2.600225273370743,5.5285043441690505,2.572943345308304,1.7795445188879966,28.97998547554016,28.97998547554016,greedy,1.7795445188879966,0.0,hard_fault_cluster
