[b15-r6-local/a0.20/d48] [gmean] 2026-07-21T10:35:12 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p20_decay_48
[b15-r6-local/a0.20/d48] [gmean] 2026-07-21T10:35:12 budgets=iscas99__b15_1:278
[b15-r6-local/a0.20/d48] [gmean] 2026-07-21T10:35:12 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.20/d48] [gmean] 2026-07-21T10:35:12 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.237061 sequence=5.237061
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.788470 sequence=10.025531
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.042310 sequence=12.067842
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.651999 sequence=13.719841
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.256711 sequence=14.976552
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058805 sequence=16.035357
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.981116 sequence=17.016472
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.135774 sequence=18.152246
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.960582 sequence=19.112828
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124509 sequence=20.237337
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.527660
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.557033 sequence=24.084693
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.346446 sequence=27.431139
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.054009 sequence=30.485148
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.644744 sequence=33.129893
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.946111 sequence=35.076003
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.800383 sequence=39.876386
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.687299 sequence=44.563685
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.373951 sequence=49.937636
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.910567 sequence=54.848203
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.289563 sequence=59.137766
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.673197 sequence=65.810963
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.082676 sequence=71.893639
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.052430 sequence=77.946069
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.058656 sequence=82.004725
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.805208 sequence=88.809933
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.402540 sequence=93.212473
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.424604 sequence=97.637076
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.758175 sequence=102.395251
[b15-r6-local/a0.20/d48] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=5.291439 sequence=107.686691
