[b15-r6-local/a0.25/d24] [gmean] 2026-07-21T10:38:25 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p25_decay_24
[b15-r6-local/a0.25/d24] [gmean] 2026-07-21T10:38:25 budgets=iscas99__b15_1:278
[b15-r6-local/a0.25/d24] [gmean] 2026-07-21T10:38:25 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.25/d24] [gmean] 2026-07-21T10:38:25 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.247430 sequence=5.247430
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.822507 sequence=10.069937
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.052070 sequence=12.122007
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.640168 sequence=13.762175
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.262984 sequence=15.025160
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058749 sequence=16.083909
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.981444 sequence=17.065353
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.144138 sequence=18.209491
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.961430 sequence=19.170921
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124507 sequence=20.295428
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.585752
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.557314 sequence=24.143066
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.344288 sequence=27.487354
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.057433 sequence=30.544787
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.654639 sequence=33.199426
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.933603 sequence=35.133028
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.788891 sequence=39.921920
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.674252 sequence=44.596171
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.360070 sequence=49.956241
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.889216 sequence=54.845457
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.266364 sequence=59.111821
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.691313 sequence=65.803134
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.091894 sequence=71.895028
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.024453 sequence=77.919481
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.087992 sequence=82.007473
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.824065 sequence=88.831538
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.370801 sequence=93.202338
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.449446 sequence=97.651784
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.791931 sequence=102.443715
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=5.256807 sequence=107.700523
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=31 node=N7411 type=control1 q_typed_residual_context=6.358731 sequence=114.059254
[b15-r6-local/a0.25/d24] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=5.981045 sequence=120.040299
