[b15-r6-local/a0.20/d8] [gmean] 2026-07-21T10:35:12 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p20_decay_8
[b15-r6-local/a0.20/d8] [gmean] 2026-07-21T10:35:12 budgets=iscas99__b15_1:278
[b15-r6-local/a0.20/d8] [gmean] 2026-07-21T10:35:12 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.20/d8] [gmean] 2026-07-21T10:35:12 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.237061 sequence=5.237061
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.773454 sequence=10.010515
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.033086 sequence=12.043601
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.670221 sequence=13.713822
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.242466 sequence=14.956288
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058981 sequence=16.015269
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.979637 sequence=16.994906
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.081902 sequence=18.076808
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.952325 sequence=19.029133
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124536 sequence=20.153669
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.443993
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.588936 sequence=24.032929
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.288359 sequence=27.321288
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.108542 sequence=30.429830
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.759393 sequence=33.189223
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.830459 sequence=35.019681
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.711044 sequence=39.730725
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.599136 sequence=44.329861
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.290535 sequence=49.620395
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.794547 sequence=54.414942
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.174132 sequence=58.589073
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.756557 sequence=65.345631
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.122210 sequence=71.467841
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=24 node=N582 type=control1 q_typed_residual_context=5.979142 sequence=77.446983
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=25 node=N7516 type=observe q_typed_residual_context=5.708981 sequence=83.155964
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.921708 sequence=90.077672
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=5.491367 sequence=95.569040
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.396165 sequence=99.965205
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.365618 sequence=104.330822
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=30 node=N7411 type=control1 q_typed_residual_context=4.399990 sequence=108.730812
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=31 node=N4635 type=control0 q_typed_residual_context=7.842835 sequence=116.573647
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=32 node=N7511 type=control1 q_typed_residual_context=2.921159 sequence=119.494807
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=33 node=N2042 type=observe q_typed_residual_context=6.126665 sequence=125.621472
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=34 node=N7413 type=control1 q_typed_residual_context=4.753573 sequence=130.375044
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=35 node=N2044 type=observe q_typed_residual_context=6.227853 sequence=136.602897
[b15-r6-local/a0.20/d8] [plan iscas99__b15_1] [plan] step=36 node=N2040 type=observe q_typed_residual_context=5.897518 sequence=142.500415
