[b15-r6-local/a0.30/d24] [gmean] 2026-07-21T10:41:37 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p30_decay_24
[b15-r6-local/a0.30/d24] [gmean] 2026-07-21T10:41:37 budgets=iscas99__b15_1:278
[b15-r6-local/a0.30/d24] [gmean] 2026-07-21T10:41:37 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.30/d24] [gmean] 2026-07-21T10:41:37 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=1 node=N672 type=control1 q_typed_residual_context=5.268069 sequence=5.268069
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.586280 sequence=9.854349
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.081448 sequence=11.935797
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.727571 sequence=13.663368
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.194504 sequence=14.857872
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058584 sequence=15.916457
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.970225 sequence=16.886682
[b15-r6-local/a0.30/d24] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.169314 sequence=18.055996
