[b15-r6-local/a0.10/d0] [gmean] 2026-07-21T10:44:56 out_dir=autoresearch/loop-260720-0945/model_training_round6/b15_selection/cone_local/alpha_0p10_decay_0
[b15-r6-local/a0.10/d0] [gmean] 2026-07-21T10:44:56 budgets=iscas99__b15_1:278
[b15-r6-local/a0.10/d0] [gmean] 2026-07-21T10:44:56 variant_start id=greedy__cumulative__q_typed_residual_context__bw1__d1__c48__g1p0__candhard_fault_cluster__div0p0__s0
[b15-r6-local/a0.10/d0] [gmean] 2026-07-21T10:44:56 [1/1] plan_start benchmark=iscas99__b15_1 budget=278 planner=greedy score=q_typed_residual_context
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] torch_deterministic=true
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] candidate_allowlist=autoresearch/original-netlist-recovery-260712/exact_itc99/b15_C/exact_candidate_nodes.txt nodes=7918
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] latent_norm_clip_ratio=4 latent_norm_limit=30.875631
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=1 node=N677 type=control1 q_typed_residual_context=5.216323 sequence=5.216323
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=2 node=N2155 type=observe q_typed_residual_context=4.714170 sequence=9.930493
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=3 node=N502 type=control1 q_typed_residual_context=2.018830 sequence=11.949323
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=4 node=N762 type=control1 q_typed_residual_context=1.683757 sequence=13.633080
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=5 node=N3644 type=control0 q_typed_residual_context=1.237625 sequence=14.870705
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=6 node=N3756 type=control0 q_typed_residual_context=1.058999 sequence=15.929703
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=7 node=N557 type=control1 q_typed_residual_context=0.979737 sequence=16.909440
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=8 node=N5143 type=observe q_typed_residual_context=1.091912 sequence=18.001352
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=9 node=N507 type=control1 q_typed_residual_context=0.954604 sequence=18.955956
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=10 node=N3742 type=control0 q_typed_residual_context=1.124526 sequence=20.080482
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=11 node=N564 type=control1 q_typed_residual_context=2.290324 sequence=22.370806
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=12 node=N5203 type=control1 q_typed_residual_context=1.574397 sequence=23.945204
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=13 node=N5866 type=observe q_typed_residual_context=3.317301 sequence=27.262505
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=14 node=N580 type=control1 q_typed_residual_context=3.079332 sequence=30.341837
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=15 node=N737 type=control1 q_typed_residual_context=2.694148 sequence=33.035984
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=16 node=N1853 type=observe q_typed_residual_context=1.899788 sequence=34.935772
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=17 node=N2082 type=observe q_typed_residual_context=4.767099 sequence=39.702870
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=18 node=N2153 type=observe q_typed_residual_context=4.656753 sequence=44.359623
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=19 node=N2101 type=observe q_typed_residual_context=5.347102 sequence=49.706726
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=20 node=N1860 type=observe q_typed_residual_context=4.875944 sequence=54.582669
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=21 node=N1372 type=observe q_typed_residual_context=4.257715 sequence=58.840384
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=22 node=N496 type=control1 q_typed_residual_context=6.694378 sequence=65.534762
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=23 node=N5723 type=control0 q_typed_residual_context=6.091881 sequence=71.626642
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=24 node=N7516 type=observe q_typed_residual_context=6.028570 sequence=77.655213
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=25 node=N582 type=control1 q_typed_residual_context=4.079962 sequence=81.735174
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=26 node=N766 type=control1 q_typed_residual_context=6.816801 sequence=88.551975
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=27 node=N5234 type=observe q_typed_residual_context=4.386184 sequence=92.938160
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=28 node=N1437 type=control1 q_typed_residual_context=4.435176 sequence=97.373336
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=29 node=N583 type=control1 q_typed_residual_context=4.769782 sequence=102.143118
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=30 node=N2040 type=observe q_typed_residual_context=5.282133 sequence=107.425251
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=31 node=N7411 type=control1 q_typed_residual_context=6.346345 sequence=113.771596
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=32 node=N4635 type=control0 q_typed_residual_context=5.949748 sequence=119.721344
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=33 node=N2044 type=observe q_typed_residual_context=6.287835 sequence=126.009179
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=34 node=N1532 type=observe q_typed_residual_context=4.663282 sequence=130.672462
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=35 node=N2042 type=observe q_typed_residual_context=4.758207 sequence=135.430669
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=36 node=N7413 type=control1 q_typed_residual_context=5.697646 sequence=141.128315
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=37 node=N4649 type=control0 q_typed_residual_context=8.270000 sequence=149.398315
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=38 node=N7891 type=control1 q_typed_residual_context=5.973727 sequence=155.372042
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=39 node=N7511 type=control1 q_typed_residual_context=2.990000 sequence=158.362042
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=40 node=N7881 type=control1 q_typed_residual_context=4.509910 sequence=162.871952
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=41 node=N7882 type=control1 q_typed_residual_context=3.507422 sequence=166.379374
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=42 node=N7883 type=control1 q_typed_residual_context=5.025384 sequence=171.404759
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=43 node=N3805 type=control0 q_typed_residual_context=0.748557 sequence=172.153316
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=44 node=N7884 type=control1 q_typed_residual_context=2.978249 sequence=175.131565
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=45 node=N4656 type=control0 q_typed_residual_context=4.968899 sequence=180.100464
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=46 node=N7885 type=control1 q_typed_residual_context=0.951212 sequence=181.051676
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=47 node=N3701 type=control0 q_typed_residual_context=0.908762 sequence=181.960438
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=48 node=N7886 type=control1 q_typed_residual_context=1.022643 sequence=182.983081
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=49 node=N7887 type=control1 q_typed_residual_context=0.980036 sequence=183.963117
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=50 node=N3903 type=control0 q_typed_residual_context=0.921891 sequence=184.885008
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=51 node=N4663 type=control0 q_typed_residual_context=1.225291 sequence=186.110299
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=52 node=N704 type=observe q_typed_residual_context=1.679336 sequence=187.789635
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=53 node=N724 type=observe q_typed_residual_context=1.905417 sequence=189.695052
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=54 node=N713 type=observe q_typed_residual_context=2.293108 sequence=191.988160
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=55 node=N4677 type=control0 q_typed_residual_context=1.344675 sequence=193.332836
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=56 node=N4670 type=control0 q_typed_residual_context=0.986262 sequence=194.319097
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=57 node=N3896 type=control0 q_typed_residual_context=0.954283 sequence=195.273381
[b15-r6-local/a0.10/d0] [plan iscas99__b15_1] [plan] step=58 node=N3889 type=control0 q_typed_residual_context=1.018717 sequence=196.292098
